source_term	target_term	category	confidence
diabetic neuropathy	диабетическая нейропатия	diagnosis	approved
diabetic retinopathy	диабетическая ретинопатия	diagnosis	approved
dialysate	диализат	medication	approved
dialysis	диализ	procedure	approved
dialysis access	место подключения	procedure	approved
dialysis machine	диализный аппарат	other_medical	approved
diaper rash	опрелость	symptom	approved
diaphragm	влагалищная диафрагма	other_medical	approved
diaphragm	диафрагма	anatomy	approved
diarrhea	диарея	symptom	approved
diarrhea	понос	symptom	approved
diastolic reading	диастолическое давление	test	approved
dietitian	диетолог	other_medical	approved
diffuse axonal injury	диффузное аксональное повреждение	diagnosis	approved
digestion	пищеварение	other_medical	approved
digestive tract	пищеварительный тракт	anatomy	approved
digital thermometer	цифровой термометр	other_medical	approved
digital thermometer	электронный термометр	other_medical	approved
dilated eye exam	офтальмоскопия при расширенном зрачке	test	approved
dim vision	мутное зрение	symptom	approved
dimenhydrinate	дименгидринат	medication	approved
diphtheria	дифтерия	diagnosis	approved
discomfort	дискомфорт	symptom	approved
discs	диски	anatomy	approved
disinfectant cleaner	дезинфицирующее моющее средство	other_medical	approved
disorientation	дезориентация	symptom	approved
disposable respirator	одноразовый респиратор	other_medical	approved
dizziness	головокружение	symptom	approved
dizzy	головокружение	symptom	approved
do not resuscitate order	распоряжение об отказе от реанимации	other_medical	approved
dong quai	дягель лекарственный	medication	approved
dopamine	дофамин	medication	approved
doppler ultrasound	ультразвуковое доплеровское исследование	procedure	approved
dose	доза	other_medical	approved
dose	дозировка	other_medical	approved
double knee to chest	прижимание колен к груди	procedure	approved
double vision	двоение в глазах	symptom	approved
double vision	двойное зрение	symptom	approved
douching	спринцевание	procedure	approved
doxycycline	доксициклин	medication	approved
doxylamine	доксиламин	medication	approved
drain the infection	дренирование	procedure	approved
drainage	выделение	symptom	approved
drainage	выделения	symptom	approved
drainage from skin wounds	выделения из ран	symptom	approved
dressing	повязка	other_medical	approved
drooling	обильное слюноотделение	symptom	approved
drooling	слюнотечение	symptom	approved
dropper	пипетка	other_medical	approved
drowning	утопление	diagnosis	approved
drug resistance	устойчивость к лекарствам	other_medical	approved
dry eyes	сухость глаз	symptom	approved
dry mouth	сухость во рту	symptom	approved
dtap	акдс	medication	approved
dual-energy x-ray absorptiometry	двухэнергетическая рентгеновская абсорбциометрия	test	approved
dulcolax	dulcolax	medication	approved
dulcolax	дульколакс	medication	approved
dull pain	тупая боль	symptom	approved
duodenum	двенадцатиперстная кишка	anatomy	approved
dwell time	время нахождения жидкости	other_medical	approved
dxa scan	dxa сканирование	test	approved
dye injection	введение красителя	procedure	approved
dysphagia	дисфагия	diagnosis	approved
dysphagia	затруднение глотания	symptom	approved
dysuria	боль при мочеиспускании	symptom	approved
ear canal	слуховой проход	anatomy	approved
ear drainage	выделения из уха	symptom	approved
ear fullness	заложенность в ухе	symptom	approved
ear infection	ушная инфекция	diagnosis	approved
ear pain	боль в ухе	symptom	approved
ear pain	боль в ушах	symptom	approved
earache	ушная боль	symptom	approved
eardrum	барабанная перепонка	anatomy	approved
early delivery	преждевременные роды	symptom	approved
early labor	ранняя фаза родов	procedure	approved
eating problems	проблемы с приемом пищи	symptom	approved
ecg	экг	test	approved
echocardiogram	эхокардиограмма	test	approved
eclampsia	эклампсия	diagnosis	approved
eczema	экзема	diagnosis	approved
eeg	ээг	test	approved
effortful swallow	глотание с усилием	procedure	approved
egd	фгдс	test	approved
ekg	экг	test	approved
elbow	локоть	anatomy	approved
elbow flexion and extension	сгибание и разгибание локтя	procedure	approved
elbow joint	локтевой сустав	anatomy	approved
elbow press up	отжимание с упором на локти	procedure	approved
electric breast pump	электрический молокоотсос	other_medical	approved
electrical activity of the brain	электрическая активность мозга	other_medical	approved
electrical impulse	электрический импульс	other_medical	approved
electrical shock	электрошок	procedure	approved
electrical stimulation	электростимуляция	procedure	approved
electrocardiogram	экг	test	approved
electrocardiogram	электрокардиограмма	test	approved
electrodes	электроды	other_medical	approved
electroencephalogram	электроэнцефалограмма	test	approved
electrolyte drinks	напитки с содержанием электролитов	medication	approved
electrolytes	электролиты	medication	approved
electromyogram	электромиография	test	approved
electromyography	электромиография	test	approved
electrophysiology study	электрофизиологическое исследование	test	approved
emergency care	скорая помощь	procedure	approved
emergency department	отделение неотложной помощи	other_medical	approved
emg	эмг	test	approved
emotional changes	эмоциональные изменения	symptom	approved
emphysema	эмфизема	diagnosis	approved
end-stage renal failure	терминальная стадия почечной недостаточности	diagnosis	approved
endogastroduodenoscopy	эндоскопия верхних отделов	test	approved
enemas	клизмы	procedure	approved
engorgement	нагрубание молочных желез	diagnosis	approved
enlarged heart	увеличенное сердце	diagnosis	approved
epidural hematoma	эпидуральная гематома	diagnosis	approved
epilepsy	эпилепсия	diagnosis	approved
episiotomy	эпизиотомия	procedure	approved
eps	эфи	test	approved
ercp	эрхпг	procedure	approved
erectile dysfunction	эректильная дисфункция	symptom	approved
esophagus	пищевод	anatomy	approved
estrogen	эстроген	anatomy	approved
estrogen cream	вагинальный крем с эстрогеном	medication	approved
estrogen replacement therapy	заместительная терапия эстрогеном	procedure	approved
estrogen ring	вагинальное кольцо с эстрогеном	medication	approved
estrogen tablet	вагинальная таблетка с эстрогеном	medication	approved
exam table	смотровое кресло	other_medical	approved
excessive bleeding	сильное кровотечение	symptom	approved
excessive crying	слишком много плачет	symptom	approved
excessive crying	чрезмерная плаксивость	symptom	approved
exchange	цикл обмена	procedure	approved
excisional biopsy	эксцизионная биопсия	procedure	approved
exercise	физические упражнения	procedure	approved
exercise bike	велотренажер	procedure	approved
exercise session	занятие упражнениями	procedure	approved
exercise stress test	нагрузочный тест на тренажере	test	approved
expiration date	срок годности	other_medical	approved
external radiation therapy	внешняя лучевая терапия	procedure	approved
external rotation	внешнее вращение	procedure	approved
extreme thirst	сильная жажда	symptom	approved
eye burns	жжение глаз	symptom	approved
eye dilation	осмотр глазного дна	procedure	approved
eye discharge	выделения из глаз	symptom	approved
eye discomfort	дискомфорт в глазах	symptom	approved
eye drops	глазные капли	medication	approved
eye exam	проверка зрения	procedure	approved
eye injury	повреждения глаз	symptom	approved
eye motion under the lid	движение глаз под веками	symptom	approved
eye pain	боль в глазах	symptom	approved
eye pressure test	измерение внутриглазного давления	test	approved
eye specialist	окулист	other_medical	approved
eye surgery	хирургическое вмешательство на глазах	procedure	approved
face shield	защитная повязка	other_medical	approved
facemask	защитная маска	other_medical	approved
facial strengthening exercises	упражнения для укрепления мышц лица	procedure	approved
facial strengthening exercises	упражнения на укрепление лица	procedure	approved
faint	слабость	symptom	approved
fainting	обморок	symptom	approved
fainting	обмороки	symptom	approved
fall asleep during the day	засыпание в течение дня	symptom	approved
fall risk assessment	оценка риска падений	test	approved
fallopian tube	фалопиева труба	anatomy	approved
false labor	ложные схватки	symptom	approved
family medicine doctor	семейный врач	other_medical	approved
fast breathing	одышка	symptom	approved
fast heart beat	учащенное сердцебиение	symptom	approved
fast heart beats	ускоренное сердцебиение	symptom	approved
faster heartbeat	учащенное сердцебиение	symptom	approved
fasting	натощак	procedure	approved
fasting blood sugar	анализ крови на сахар натощак	test	approved
fasting blood sugar test	анализ уровня сахара натощак	test	approved
fasting plasma glucose	анализ глюкозы плазмы натощак	test	approved
fatigue	сильная усталость	symptom	approved
fatigue	усталость	symptom	approved
fatigue	утомляемость	symptom	approved
fatigue	чувство усталости	symptom	approved
feeding cues	признаки голода	symptom	approved
feeding cues	признаки готовности к сосанию	other_medical	approved
feeding tube	катетер для энтерального питания	procedure	approved
feeding tubes	кормление через зонд	procedure	approved
feel very tired	испытывать сильную усталость	symptom	approved
feeling dizzy	головокружение	symptom	approved
feeling faint	слабость	symptom	approved
feeling hopeless	безысходность	symptom	approved
feeling sad	чувство грусти	symptom	approved
feeling tired	чувство усталости	symptom	approved
feeling very tired or weak	сильная усталость или слабость	symptom	approved
feeling worthless	чувство своей ничтожности	symptom	approved
female pelvic exam	гинекологический осмотр	procedure	approved
femur	бедренная кость	anatomy	approved
fetal heart rate	частота сердечных сокращений плода	test	approved
fetal membranes rupture	повреждение плодных оболочек	symptom	approved
fetal movement	подвижность плода	symptom	approved
fetal movement count	подсчет частоты шевеления плода	test	approved
fever	высокая температура	symptom	approved
fever	жар	symptom	approved
fever	лихорадка	symptom	approved
fever	повышение температуры	symptom	approved
fever	повышенная температура	symptom	approved
fever	температура	symptom	approved
fever and chills	высокая температура и озноб	symptom	approved
fever reducing medicine	жаропонижающее лекарство	medication	approved
fever-reducing medicine	жаропонижающие препараты	medication	approved
fevers	высокая температура	symptom	approved
fiber	клетчатка	other_medical	approved
fiber supplements	добавки с клетчаткой	medication	approved
fiberall	файберол	medication	approved
fiberglass cast	стекловолокно	procedure	approved
fibula	малая берцовая кость	anatomy	approved
fine needle aspiration	тонкоигольная аспирационная биопсия	procedure	approved
finger stick	забор крови из пальца	procedure	approved
fingernails	ногти на ручках	anatomy	approved
fingers	пальцы	anatomy	approved
first aid class	оказание первой помощи	procedure	approved
fist	кулак	anatomy	approved
flat head syndrome	синдром плоской головы	diagnosis	approved
flat spots on baby's head	синдром плоской головы	diagnosis	approved
floaters	плавающие объекты	symptom	approved
floating spots	плавающие точки перед глазами	symptom	approved
flu	грипп	diagnosis	approved
flu shot	прививка от гриппа	procedure	approved
flu signs	симптомы гриппа	symptom	approved
flu vaccine	вакцинация от гриппа	procedure	approved
flu vaccine	прививка от гриппа	medication	approved
flu virus	вирус гриппа	other_medical	approved
fluid buildup	скопление жидкости	symptom	approved
fluttering	учащенное сердцебиение	symptom	approved
foamy urine	пенная моча	symptom	approved
folic acid	фолиевая кислота	medication	approved
follow up visit	контрольный осмотр	procedure	approved
fontanelle	родничок	anatomy	approved
food diary	дневник питания	other_medical	approved
foot care	уход за ногами	procedure	approved
foot check	осмотр ног	procedure	approved
foot press	надавливание на ступню	procedure	approved
forearm	предплечье	anatomy	approved
forearm pronation and supination	пронация и супинация предплечья	procedure	approved
foreskin	крайняя плоть	anatomy	approved
formula	молочная смесь	medication	approved
fragile bones	хрупкие кости	symptom	approved
frontal lobe	лобная доля	anatomy	approved
fungi	грибки	other_medical	approved
fungus	грибок	other_medical	approved
gabapentin	габапентин	medication	approved
gas	повышенное газообразование	symptom	approved
gas pains	вздутия	symptom	approved
gasping sounds	тяжелое дыхание	symptom	approved
gastric electrical stimulation	электростимуляция желудка	procedure	approved
gastric emptying scan	сканирование опорожнения желудка	test	approved
gastroparesis	гастропарез	diagnosis	approved
gauze	салфетка	other_medical	approved
gauze dressing	марлевая повязка	other_medical	approved
gel pad	гелевая подушечка	other_medical	approved
generic medicine	дженерик	medication	approved
genetic problems	генетические проблемы	diagnosis	approved
genital area	область гениталий	anatomy	approved
genital warts	генитальные бородавки	diagnosis	approved
genitals	гениталии	anatomy	approved
gestational diabetes	гестационный диабет	diagnosis	approved
gestational hypertension	гестационная гипертензия	diagnosis	approved
ginseng	женьшень	medication	approved
glans	головка пениса	anatomy	approved
glargine	гларгин	medication	approved
glaucoma	глаукома	diagnosis	approved
glucagon	глюкагон	medication	approved
glucagon shot	инъекция глюкагона	procedure	approved
glucophage	глюкофаж	medication	approved
glucose	глюкоза	other_medical	approved
glucose level	уровень глюкозы	test	approved
glucose levels	уровень глюкозы	test	approved
glucose meter	глюкометр	test	approved
glucose meter	измеритель глюкозы	test	approved
glucose screening	часовой глюкозотолерантный тест	test	approved
glucose tablets	таблетки глюкозы	medication	approved
glucose testing	анализ крови на содержание глюкозы	test	approved
glucose testing	анализ на определение уровня сахара в крови	test	approved
glucose tolerance test	глюкозотолерантный тест	test	approved
glucose tolerance test	тест на толерантность к глюкозе	test	approved
gluteal sets	упражнения на ягодицы	procedure	approved
good leg	здоровая нога	anatomy	approved
graft	графт	anatomy	approved
graft	имплантат	procedure	approved
grasping reflex	хватательный рефлекс	other_medical	approved
gray stools	стул серого цвета	symptom	approved
green mucus	зеленая мокрота	symptom	approved
groin site	область паха	anatomy	approved
grounding pad	заземляющая накладка	other_medical	approved
group b strep	стрептококк группы b	diagnosis	approved
group b streptococcus	стрептококк группы в	diagnosis	approved
growth spurts	периоды резкого увеличения роста	symptom	approved
gum problems	проблемы с деснами	symptom	approved
gums	десны	anatomy	approved
haemophilus influenzae type b	гемофильная инфекция типа b	diagnosis	approved
hair dryness	сухость волос	symptom	approved
hair loss	выпадение волос	symptom	approved
hair loss	потеря волос	symptom	approved
hamstring stretch	растягивание задней поверхности бедра	procedure	approved
hand expression	сцеживание руками	procedure	approved
hand sanitizer	дезинфицирующее средство для рук	medication	approved
hand sanitizer	дезинфицирующее средство на основе спирта	other_medical	approved
hand washing	мытье рук	procedure	approved
handrail	перила	other_medical	approved
hard stools	твердый стул	symptom	approved
hardening of blood vessels	уменьшение эластичности кровеносных сосудов	diagnosis	approved
harmful substance	вредные вещества	other_medical	approved
hazy vision	затуманивание зрения	symptom	approved
hba1c	hba1c	test	approved
hdl	лпвп	test	approved
head and neck cancer	опухоли головы и гортани	diagnosis	approved
head and neck cancer	опухоли головы и шеи	diagnosis	approved
head coil	катушка для головы	other_medical	approved
head congestion	ощущение давления в области головы	symptom	approved
head disease	болезни головы	diagnosis	approved
head injury	травма головы	symptom	approved
head lice	головные вши	diagnosis	approved
headache	головная боль	symptom	approved
headache and confusion	головная боль и чувство замешательства	symptom	approved
headaches	головные боли	symptom	approved
health care power of attorney	доверенность на принятие медицинских решений	other_medical	approved
health care provider	врач	other_medical	approved
health care proxy	доверенность на право представлять интересы больного	other_medical	approved
healthy diet	здоровое питание	other_medical	approved
healthy weight	здоровый вес	other_medical	approved
hearing loss	потеря слуха	diagnosis	approved
hearing loss	ухудшение слуха	symptom	approved
hearing problems	проблемы со слухом	symptom	approved
hearing test	проверка слуха	test	approved
heart	сердце	anatomy	approved
heart angioplasty	коронарная ангиопластика	procedure	approved
heart attack	инфаркт	diagnosis	approved
heart attack	инфаркт миокарда	diagnosis	approved
heart attack	сердечный приступ	diagnosis	approved
heart beat	удар сердца	other_medical	approved
heart beating fast	учащенное сердцебиение	symptom	approved
heart cath	коронарография	procedure	approved
heart damage	повреждение сердца	diagnosis	approved
heart disease	болезни сердца	diagnosis	approved
heart disease	заболевания сердца	diagnosis	approved
heart disease	сердечно-сосудистое заболевание	diagnosis	approved
heart disease	сердечно-сосудистые болезни	diagnosis	approved
heart disease	сердечно-сосудистые заболевания	diagnosis	approved
heart disease	сердечное заболевание	diagnosis	approved
heart disease	сердечные заболевания	diagnosis	approved
heart failure	сердечная недостаточность	diagnosis	approved
heart medicines	сердечные лекарства	medication	approved
heart monitor	сердечный монитор	test	approved
heart muscle	сердечная мышца	anatomy	approved
heart pacemaker	кардиостимулятор	other_medical	approved
heart palpitations	учащенное сердцебиение	symptom	approved
heart problem	проблемы с сердцем	diagnosis	approved
heart problems	проблемы с сердцем	symptom	approved
heart pumps	сердце прокачивает кровь	other_medical	approved
heart rate	пульс	test	approved
heart rate	сердечный ритм	test	approved
heart rate	сердцебиение	other_medical	approved
heart rate	сердцебиение ребенка	test	approved
heart rate changes	изменение сердечного ритма	symptom	approved
heart valve	сердечный клапан	anatomy	approved
heart valve problems	пороки клапанов сердца	diagnosis	approved
heart walls motion	движение стенок сердца	other_medical	approved
heart's activity	работа сердца	anatomy	approved
heartburn	жжение в области сердца	symptom	approved
heartburn	изжога	symptom	approved
heat cramps	тепловые судороги	symptom	approved
heat exhaustion	тепловое истощение	diagnosis	approved
heat stroke	тепловой удар	diagnosis	approved
heavy bleeding	сильное кровотечение	symptom	approved
heavy exercise	интенсивные физические нагрузки	procedure	approved
heavy menstrual periods	обильные менструации	symptom	approved
heel	пятка	anatomy	approved
heel raises	поднятие пятки	procedure	approved
hematoma	гематома	diagnosis	approved
hematuria	кровь в моче	symptom	approved
hemodialysis	гемодиализ	procedure	approved
hemoglobin a1c	гемоглобин a1c	test	approved
hemoglobin a1c	гликированный гемоглобин	test	approved
hemophilia	гемофилия	diagnosis	approved
hemoptysis	отхаркивание крови	symptom	approved
hemoptysis	харканье с кровью	symptom	approved
hemorrhoids	геморрой	diagnosis	approved
heparin	гепарин	medication	approved
hepatitis	гепатит	diagnosis	approved
hepatitis a	гепатит а	diagnosis	approved
hepatitis b	гепатит в	diagnosis	approved
herpes	герпес	diagnosis	approved
hib	hib	medication	approved
hiccups	икота	symptom	approved
high blood calcium	высокий уровень кальция в крови	diagnosis	approved
high blood cholesterol	высокий уровень холестерина	diagnosis	approved
high blood cholesterol	повышенное содержание холестерина	diagnosis	approved
high blood pressure	высокое давление	diagnosis	approved
high blood pressure	высокое кровяное давление	diagnosis	approved
high blood pressure	повышение артериального давления	diagnosis	approved
high blood pressure	повышенное артериальное давление	symptom	approved
high blood pressure	повышенное давление	diagnosis	approved
high blood pressure	повышенное кровяное давление	diagnosis	approved
high blood sugar	высокий уровень сахара в крови	symptom	approved
high blood sugar	повышенное содержание сахара в крови	symptom	approved
high blood sugar	повышенный уровень сахара в крови	symptom	approved
high cholesterol	высокий уровень холестерина	diagnosis	approved
high cholesterol	высокий холестерин	diagnosis	approved
high cholesterol	повышенный уровень холестерина	diagnosis	approved
high density lipoproteins	липопротеиды высокой плотности	test	approved
high fiber diet	диета с высоким содержанием клетчатки	other_medical	approved
high fiber food	продукты с высоким содержанием клетчатки	other_medical	approved
hip	бедро	anatomy	approved
hip abduction	отведение бедер	procedure	approved
hip abduction	отведение бедра	procedure	approved
hip and knee bending	сгибание ноги в бедре и колене	procedure	approved
hip extension	растяжение мышц бедра	procedure	approved
hip flexion	сгибание бедер	procedure	approved
hip joint	тазобедренный сустав	anatomy	approved
hip outward and inward	движения бедер внутрь и наружу	procedure	approved
hip rolls	накатывания таза	procedure	approved
hip rotation	поворот бедра	procedure	approved
hipbone	тазовая кость	anatomy	approved
hippocampus	гипокамп	anatomy	approved
hiv	вич	diagnosis	approved
hiv testing	тест на вич	test	approved
hives	крапивница	symptom	approved
hoarse voice	хриплый голос	symptom	approved
hodgkin's lymphoma	лимфома ходжкина	diagnosis	approved
hold your breath	задержать дыхание	procedure	approved
holter monitor	холтеровский монитор	test	approved
holter monitoring	мониторинг холтера	test	approved
home care	уход на дому	procedure	approved
home remedies	народные средства	medication	approved
hopelessness	безнадежность	symptom	approved
hopelessness	чувство безнадежности	symptom	approved
hormone levels	уровень гормонов	test	approved
hormone replacement therapy	заместительная гормональная терапия	procedure	approved
hormone therapy	гормональная терапия	procedure	approved
hospital gown	больничная одежда	other_medical	approved
hospital gown	больничный халат	other_medical	approved
hot flashes	приливы	symptom	approved
hot treatment	тепловое лечение	procedure	approved
hpv	впч	diagnosis	approved
hpv vaccine	вакцина против впч	medication	approved
hrt	згт	procedure	approved
hsv	герпес	diagnosis	approved
humalog	humalog	medication	approved
human immunodeficiency virus	вирус иммунодефицита человека	diagnosis	approved
human papillomavirus	вирус папилломы человека	diagnosis	approved
humidifier	увлажнитель	other_medical	approved
hypercalcemia	гиперкальциемия	diagnosis	approved
hyperglycemia	гипергликемия	diagnosis	approved
hypertension	гипертензия	diagnosis	approved
hypertension	гипертония	diagnosis	approved
hypoglycemia	гипогликемия	diagnosis	approved
hypoglycemia unawareness	неосведомленность о гипогликемии	symptom	approved
hypothermia	гипотермия	diagnosis	approved
hypothyroidism	гипотиреоз	diagnosis	approved
ibuprofen	ибупрофен	medication	approved
icd	икд	procedure	approved
ice application	прикладывание льда	procedure	approved
ice pack	пакет со льдом	other_medical	approved
ice therapy	прикладывание льда	procedure	approved
icu	отделение интенсивной терапии	other_medical	approved
immune system	иммунная система	anatomy	approved
immunizations	иммунизация	medication	approved
immunosuppression	иммунодепрессия	diagnosis	approved
immunotherapy	иммунотерапия	procedure	approved
implant therapy	имплантированная терапия	procedure	approved
implanted pump	имплантированная помпа	other_medical	approved
impotence	импотенция	symptom	approved
inability to move an arm or leg	невозможность пошевелить конечностями	symptom	approved
inactive ingredients	неактивные ингредиенты	other_medical	approved
incentive spirometer	стимулирующий спирометр	procedure	approved
incision	надрез	procedure	approved
incision	разрез	procedure	approved
incision	шов	anatomy	approved
incision drainage	выделения из шва	symptom	approved
incision pain	боль в области разреза	symptom	approved
incision swelling	отек в области шва	symptom	approved
incision swelling	отек швов	symptom	approved
incontinence	недержание	diagnosis	approved
increased hunger	повышенное чувство голода	symptom	approved
increased urine output	повышенное выделение мочи	symptom	approved
index finger	указательный палец	anatomy	approved
indigestion	нарушение пищеварения	symptom	approved
indigestion	проблемы с пищеварением	symptom	approved
individualized education program	индивидуальная программа обучения	other_medical	approved
infant cpr	искусственное дыхание и непрямой массаж сердца	procedure	approved
infant formula	детская смесь	medication	approved
infant/child cpr course	курс сердечно-легочной реанимации детей	procedure	approved
infected wounds	инфицированные раны	diagnosis	approved
infection	заражение	diagnosis	approved
infection	инфекция	diagnosis	approved
infection signs	признаки инфекции	symptom	approved
infections	инфекции	diagnosis	approved
infections	инфекционные заболевания	diagnosis	approved
infections	инфицирование	diagnosis	approved
inflamed throat	воспаление горла	symptom	approved
influenza	грипп	diagnosis	approved
inhalation anthrax	легочная форма болезни	diagnosis	approved
inhaler	ингалятор	other_medical	approved
inhalers	ингаляторы	medication	approved
injection	инъекция	procedure	approved
injection site	место инъекции	anatomy	approved
injection site	место укола	other_medical	approved
injections	инъекции	procedure	approved
injured arm	травмированная рука	anatomy	approved
injured foot	травмированная нога	symptom	approved
injured leg	травмированная ног	anatomy	approved
injured leg	травмированная нога	anatomy	approved
insomnia	бессонница	diagnosis	approved
insulin	инсулин	medication	approved
insulin dose	доза инсулина	other_medical	approved
insulin injection	инъекция инсулина	procedure	approved
insulin injection	укол инсулина	procedure	approved
insulin pen	инсулиновый шприц	medication	approved
insulin reaction	инсулиновая реакция	diagnosis	approved
insulin shock	инсулиновый шок	diagnosis	approved
insulin shots	уколы инсулина	medication	approved
insulin syringe	шприц для введения инсулина	procedure	approved
insulin units	единицы инсулина	other_medical	approved
intensive care unit	отделение интенсивной терапии	other_medical	approved
internal radiation therapy	внутренняя лучевая терапия	procedure	approved
intracerebral hematoma	внутримозговая гематома	diagnosis	approved
intracerebral hemorrhage	внутримозговое кровоизлияние	diagnosis	approved
intraocular pressure	внутриглазное давление	symptom	approved
intravenous	внутривенно	other_medical	approved
intravenous	внутривенное введение	procedure	approved
intravenous	внутривенный катетер	procedure	approved
intravenous	внутривенных вливаний	procedure	approved
intravenous	капельница	procedure	approved
intravenous	катетер	other_medical	approved
intravenous line	внутривенная капельница	procedure	approved
intraventricular hemorrhage	внутрижелудочковое кровоизлияние	diagnosis	approved
iodine solution	раствор йода	medication	approved
iron level	уровень железа	test	approved
iron rich baby formula	молочная смесь, обогащенная железом	medication	approved
iron tablets	железосодержащие таблетки	medication	approved
irregular heart beat	неравномерное сердцебиение	symptom	approved
irregular heart beat	неровное сердцебиение	symptom	approved
irregular heart beats	нерегулярное сердцебиение	symptom	approved
irregular heartbeat	нерегулярный импульс	symptom	approved
irregular heartbeats	нерегулярное сердцебиение	symptom	approved
irritability	раздражительность	symptom	approved
irritable	раздражительность	symptom	approved
irritable bowel syndrome	синдром раздраженного кишечника	diagnosis	approved
irritated throat	раздражение горла	symptom	approved
itching	зуд	symptom	approved
itchy nose	зуд в носу	symptom	approved
itchy skin	зуд на коже	symptom	approved
itchy throat	першение в горле	symptom	approved
iud	внутриматочная спираль	other_medical	approved
iv	внутривенно	procedure	approved
iv	внутривенное введение	procedure	approved
iv	внутривенный катетер	procedure	approved
iv	капельница	procedure	approved
iv	катетер	procedure	approved
iv catheter	внутривенный катетер	procedure	approved
iv contrast	внутривенное контрастное вещество	medication	approved
iv line	капельница	other_medical	approved
iv pump	насос для внутривенных вливаний	other_medical	approved
jaundice	желтуха	diagnosis	approved
jaundice	пожелтение	symptom	approved
jaw strengthening	укрепление челюстей	procedure	approved
joint	сустав	anatomy	approved
joint enlargement	увеличение сустава	symptom	approved
joint extension	переразгибание суставов	procedure	approved
joint inflammation	воспаление суставов	symptom	approved
joint injury	травмы суставов	symptom	approved
joint instability	нестабильность сустава	symptom	approved
joint pain	боль в суставах	symptom	approved
joint pain	боль в суставе	symptom	approved
joint replacement	замена сустава	procedure	approved
joint space	суставная щель	anatomy	approved
joint stiffness	скованность сустава	symptom	approved
joint swelling	опухание сустава	symptom	approved
joints	суставы	anatomy	approved
kegel exercises	упражнения кегеля	procedure	approved
kidney damage	поражение почек	diagnosis	approved
kidney disease	заболевание почек	diagnosis	approved
kidney disease	заболевания почек	diagnosis	approved
kidney failure	отказ почек	diagnosis	approved
kidney failure	почечная недостаточность	diagnosis	approved
kidney stones	камни в почках	diagnosis	approved
kidney transplant	пересадка почек	procedure	approved
kidneys	почки	anatomy	approved
knee	колено	anatomy	approved
knee extension	выпрямление колена	procedure	approved
knee flexion	сгибание коленей	procedure	approved
knee joint	коленный сустав	anatomy	approved
knee push	прижимание колена	procedure	approved
knee to chest	прижимание колена к груди	procedure	approved
knuckles	суставы пальцев	anatomy	approved
lab tests	лабораторные анализы	test	approved
labia	половые губы	anatomy	approved
labor and delivery	роды	procedure	approved
lack energy	нехватка сил	symptom	approved
lack of appetite	отсутствие аппетита	symptom	approved
lack of breathing	прекращение дыхания	symptom	approved
lack of energy	упадок сил	symptom	approved
lack of hunger	отсутствие аппетита	symptom	approved
lack of oxygen	кислородное голодание	symptom	approved
lack of oxygen during birth	недостаток кислорода во время родов	diagnosis	approved
lack of sex drive	отсутствие сексуального влечения	symptom	approved
lactation specialist	специалист по вопросам кормления грудью	other_medical	approved
lactation specialist	специалист по грудному вскармливанию	other_medical	approved
lancet	ланцет	test	approved
lancing device	ланцетное устройство	test	approved
lanolin	ланолин	medication	approved
lantus	lantus	medication	approved
laparoscopic	лапароскопическая операция	procedure	approved
laparoscopic appendectomy	лапароскопическая аппендэктомия	procedure	approved
large baby	увеличение плода	symptom	approved
large bowel	толстая кишка	anatomy	approved
large intestine	толстая кишка	anatomy	approved
large intestine	толстый кишечник	anatomy	approved
large intestines	толстый кишечник	anatomy	approved
laser treatment	лазерная коррекция	procedure	approved
laser treatment	лазерное лечение	procedure	approved
latch	прикладывание к груди	procedure	approved
latch on	прикладывание к груди	procedure	approved
latch on	присасываться	other_medical	approved
latent infection	латентная форма	diagnosis	approved
latex allergy	аллергия на латекс	diagnosis	approved
laxative	слабительное	medication	approved
laxatives	слабительные	medication	approved
ldl	лпнп	test	approved
lead poisoning	отравление свинцом	diagnosis	approved
leads	электроды	procedure	approved
learning problems	проблемы с обучением	symptom	approved
leep	leep	procedure	approved
leep	петлевая эксцизия шейки матки	procedure	approved
left atrium	левое предсердие	anatomy	approved
leg	нога	anatomy	approved
leg cramps	спазмы в ногах	symptom	approved
leg discomfort	дискомфорт ног	symptom	approved
leg extensions	вытягивание ног	procedure	approved
leg movements	движение ног	test	approved
lens	хрусталик	anatomy	approved
leukemia	лейкемия	diagnosis	approved
levemir	levemir	medication	approved
lice cream	крем от вшей	medication	approved
lice eggs	яйца вшей	other_medical	approved
lice lotion	лосьон от вшей	medication	approved
ligament	связка	anatomy	approved
ligaments	связки	anatomy	approved
light box	лайтбокс	procedure	approved
light headed	слабость	symptom	approved
light sensitivity	чувствительность к свету	symptom	approved
light-headed	головокружение	symptom	approved
lightheaded	головокружение	symptom	approved
lightheaded	головокружение при вставании	symptom	approved
lightheaded	легкость в голове	symptom	approved
lightheaded	помутнение сознания	symptom	approved
lightheadedness	головокружение	symptom	approved
limb loss	потеря конечности	symptom	approved
limited joint use	ограниченная подвижность сустава	symptom	approved
lip balm	бальзам для губ	medication	approved
lip balm	увлажняющий бальзам для губ	medication	approved
lip closure	смыкание губ	procedure	approved
lip hold exercise	удержание предмета губами	procedure	approved
lips	губы	anatomy	approved
liquid concentrate formula	жидкая концентрированная смесь	medication	approved
liquid medicine	жидкое лекарство	medication	approved
lispro insulin	инсулин лиспро	medication	approved
