RU	EN	Category
enlarged heart	увеличенное сердце	diagnosis
epidural hematoma	эпидуральная гематома	diagnosis
epilepsy	эпилепсия	diagnosis
episiotomy	эпизиотомия	procedure
eps	эфи	test
ercp	эрхпг	procedure
erectile dysfunction	эректильная дисфункция	symptom
esophagus	пищевод	anatomy
estrogen	эстроген	anatomy
estrogen cream	вагинальный крем с эстрогеном	medication
estrogen replacement therapy	заместительная терапия эстрогеном	procedure
estrogen ring	вагинальное кольцо с эстрогеном	medication
estrogen tablet	вагинальная таблетка с эстрогеном	medication
exam table	смотровое кресло	other_medical
excessive bleeding	сильное кровотечение	symptom
excessive crying	слишком много плачет	symptom
excessive crying	чрезмерная плаксивость	symptom
exchange	цикл обмена	procedure
excisional biopsy	эксцизионная биопсия	procedure
exercise	физические упражнения	procedure
exercise bike	велотренажер	procedure
exercise session	занятие упражнениями	procedure
exercise stress test	нагрузочный тест на тренажере	test
expiration date	срок годности	other_medical
external radiation therapy	внешняя лучевая терапия	procedure
external rotation	внешнее вращение	procedure
extreme thirst	сильная жажда	symptom
eye burns	жжение глаз	symptom
eye dilation	осмотр глазного дна	procedure
eye discharge	выделения из глаз	symptom
eye discomfort	дискомфорт в глазах	symptom
eye drops	глазные капли	medication
eye exam	проверка зрения	procedure
eye injury	повреждения глаз	symptom
eye motion under the lid	движение глаз под веками	symptom
eye pain	боль в глазах	symptom
eye pressure test	измерение внутриглазного давления	test
eye specialist	окулист	other_medical
eye surgery	хирургическое вмешательство на глазах	procedure
face shield	защитная повязка	other_medical
facemask	защитная маска	other_medical
facial strengthening exercises	упражнения для укрепления мышц лица	procedure
facial strengthening exercises	упражнения на укрепление лица	procedure
faint	слабость	symptom
fainting	обморок	symptom
fainting	обмороки	symptom
fall asleep during the day	засыпание в течение дня	symptom
fall risk assessment	оценка риска падений	test
fallopian tube	фалопиева труба	anatomy
false labor	ложные схватки	symptom
family medicine doctor	семейный врач	other_medical
fast breathing	одышка	symptom
fast heart beat	учащенное сердцебиение	symptom
fast heart beats	ускоренное сердцебиение	symptom
faster heartbeat	учащенное сердцебиение	symptom
fasting	натощак	procedure
fasting blood sugar	анализ крови на сахар натощак	test
fasting blood sugar test	анализ уровня сахара натощак	test
fasting plasma glucose	анализ глюкозы плазмы натощак	test
fatigue	сильная усталость	symptom
fatigue	усталость	symptom
fatigue	утомляемость	symptom
fatigue	чувство усталости	symptom
feeding cues	признаки голода	symptom
feeding cues	признаки готовности к сосанию	other_medical
feeding tube	катетер для энтерального питания	procedure
feeding tubes	кормление через зонд	procedure
feel very tired	испытывать сильную усталость	symptom
feeling dizzy	головокружение	symptom
feeling faint	слабость	symptom
feeling hopeless	безысходность	symptom
feeling sad	чувство грусти	symptom
feeling tired	чувство усталости	symptom
feeling very tired or weak	сильная усталость или слабость	symptom
feeling worthless	чувство своей ничтожности	symptom
female pelvic exam	гинекологический осмотр	procedure
femur	бедренная кость	anatomy
fetal heart rate	частота сердечных сокращений плода	test
fetal membranes rupture	повреждение плодных оболочек	symptom
fetal movement	подвижность плода	symptom
fetal movement count	подсчет частоты шевеления плода	test
fever	высокая температура	symptom
fever	жар	symptom
fever	лихорадка	symptom
fever	повышение температуры	symptom
fever	повышенная температура	symptom
fever	температура	symptom
fever and chills	высокая температура и озноб	symptom
fever reducing medicine	жаропонижающее лекарство	medication
fever-reducing medicine	жаропонижающие препараты	medication
fevers	высокая температура	symptom
fiber	клетчатка	other_medical
fiber supplements	добавки с клетчаткой	medication
fiberall	файберол	medication
fiberglass cast	стекловолокно	procedure
fibula	малая берцовая кость	anatomy
fine needle aspiration	тонкоигольная аспирационная биопсия	procedure
finger stick	забор крови из пальца	procedure
fingernails	ногти на ручках	anatomy
fingers	пальцы	anatomy
first aid class	оказание первой помощи	procedure
fist	кулак	anatomy
flat head syndrome	синдром плоской головы	diagnosis
flat spots on baby's head	синдром плоской головы	diagnosis
floaters	плавающие объекты	symptom
floating spots	плавающие точки перед глазами	symptom
flu	грипп	diagnosis
flu shot	прививка от гриппа	procedure
flu signs	симптомы гриппа	symptom
flu vaccine	вакцинация от гриппа	procedure
flu vaccine	прививка от гриппа	medication
flu virus	вирус гриппа	other_medical
fluid buildup	скопление жидкости	symptom
fluttering	учащенное сердцебиение	symptom
foamy urine	пенная моча	symptom
folic acid	фолиевая кислота	medication
follow up visit	контрольный осмотр	procedure
fontanelle	родничок	anatomy
food diary	дневник питания	other_medical
foot care	уход за ногами	procedure
foot check	осмотр ног	procedure
foot press	надавливание на ступню	procedure
forearm	предплечье	anatomy
forearm pronation and supination	пронация и супинация предплечья	procedure
foreskin	крайняя плоть	anatomy
formula	молочная смесь	medication
fragile bones	хрупкие кости	symptom
frontal lobe	лобная доля	anatomy
fungi	грибки	other_medical
fungus	грибок	other_medical
gabapentin	габапентин	medication
gas	повышенное газообразование	symptom
gas pains	вздутия	symptom
gasping sounds	тяжелое дыхание	symptom
gastric electrical stimulation	электростимуляция желудка	procedure
gastric emptying scan	сканирование опорожнения желудка	test
gastroparesis	гастропарез	diagnosis
gauze	салфетка	other_medical
gauze dressing	марлевая повязка	other_medical
gel pad	гелевая подушечка	other_medical
generic medicine	дженерик	medication
genetic problems	генетические проблемы	diagnosis
genital area	область гениталий	anatomy
genital warts	генитальные бородавки	diagnosis
genitals	гениталии	anatomy
gestational diabetes	гестационный диабет	diagnosis
gestational hypertension	гестационная гипертензия	diagnosis
ginseng	женьшень	medication
glans	головка пениса	anatomy
glargine	гларгин	medication
glaucoma	глаукома	diagnosis
glucagon	глюкагон	medication
glucagon shot	инъекция глюкагона	procedure
glucophage	глюкофаж	medication
glucose	глюкоза	other_medical
glucose level	уровень глюкозы	test
glucose levels	уровень глюкозы	test
glucose meter	глюкометр	test
glucose meter	измеритель глюкозы	test
glucose screening	часовой глюкозотолерантный тест	test
glucose tablets	таблетки глюкозы	medication
glucose testing	анализ крови на содержание глюкозы	test
glucose testing	анализ на определение уровня сахара в крови	test
glucose tolerance test	глюкозотолерантный тест	test
glucose tolerance test	тест на толерантность к глюкозе	test
gluteal sets	упражнения на ягодицы	procedure
good leg	здоровая нога	anatomy
graft	графт	anatomy
graft	имплантат	procedure
grasping reflex	хватательный рефлекс	other_medical
gray stools	стул серого цвета	symptom
green mucus	зеленая мокрота	symptom
groin site	область паха	anatomy
grounding pad	заземляющая накладка	other_medical
group b strep	стрептококк группы b	diagnosis
group b streptococcus	стрептококк группы в	diagnosis
growth spurts	периоды резкого увеличения роста	symptom
gum problems	проблемы с деснами	symptom
gums	десны	anatomy
haemophilus influenzae type b	гемофильная инфекция типа b	diagnosis
hair dryness	сухость волос	symptom
hair loss	выпадение волос	symptom
hair loss	потеря волос	symptom
hamstring stretch	растягивание задней поверхности бедра	procedure
hand expression	сцеживание руками	procedure
hand sanitizer	дезинфицирующее средство для рук	medication
hand sanitizer	дезинфицирующее средство на основе спирта	other_medical
hand washing	мытье рук	procedure
handrail	перила	other_medical
hard stools	твердый стул	symptom
hardening of blood vessels	уменьшение эластичности кровеносных сосудов	diagnosis
harmful substance	вредные вещества	other_medical
hazy vision	затуманивание зрения	symptom
hba1c	hba1c	test
hdl	лпвп	test
head and neck cancer	опухоли головы и гортани	diagnosis
head and neck cancer	опухоли головы и шеи	diagnosis
head coil	катушка для головы	other_medical
head congestion	ощущение давления в области головы	symptom
head disease	болезни головы	diagnosis
head injury	травма головы	symptom
head lice	головные вши	diagnosis
headache	головная боль	symptom
headache and confusion	головная боль и чувство замешательства	symptom
headaches	головные боли	symptom
health care power of attorney	доверенность на принятие медицинских решений	other_medical
health care provider	врач	other_medical
health care proxy	доверенность на право представлять интересы больного	other_medical
healthy diet	здоровое питание	other_medical
healthy weight	здоровый вес	other_medical
hearing loss	потеря слуха	diagnosis
hearing loss	ухудшение слуха	symptom
hearing problems	проблемы со слухом	symptom
hearing test	проверка слуха	test
heart	сердце	anatomy
heart angioplasty	коронарная ангиопластика	procedure
heart attack	инфаркт	diagnosis
heart attack	инфаркт миокарда	diagnosis
heart attack	сердечный приступ	diagnosis
heart beat	удар сердца	other_medical
heart beating fast	учащенное сердцебиение	symptom
heart cath	коронарография	procedure
heart damage	повреждение сердца	diagnosis
heart disease	болезни сердца	diagnosis
heart disease	заболевания сердца	diagnosis
heart disease	сердечно-сосудистое заболевание	diagnosis
heart disease	сердечно-сосудистые болезни	diagnosis
heart disease	сердечно-сосудистые заболевания	diagnosis
heart disease	сердечное заболевание	diagnosis
heart disease	сердечные заболевания	diagnosis
heart failure	сердечная недостаточность	diagnosis
heart medicines	сердечные лекарства	medication
heart monitor	сердечный монитор	test
heart muscle	сердечная мышца	anatomy
heart pacemaker	кардиостимулятор	other_medical
heart palpitations	учащенное сердцебиение	symptom
heart problem	проблемы с сердцем	diagnosis
heart problems	проблемы с сердцем	symptom
heart pumps	сердце прокачивает кровь	other_medical
heart rate	пульс	test
heart rate	сердечный ритм	test
heart rate	сердцебиение	other_medical
heart rate	сердцебиение ребенка	test
heart rate changes	изменение сердечного ритма	symptom
heart valve	сердечный клапан	anatomy
heart valve problems	пороки клапанов сердца	diagnosis
heart walls motion	движение стенок сердца	other_medical
heart's activity	работа сердца	anatomy
heartburn	жжение в области сердца	symptom
heartburn	изжога	symptom
heat cramps	тепловые судороги	symptom
heat exhaustion	тепловое истощение	diagnosis
heat stroke	тепловой удар	diagnosis
heavy bleeding	сильное кровотечение	symptom
heavy exercise	интенсивные физические нагрузки	procedure
heavy menstrual periods	обильные менструации	symptom
heel	пятка	anatomy
heel raises	поднятие пятки	procedure
hematoma	гематома	diagnosis
hematuria	кровь в моче	symptom
hemodialysis	гемодиализ	procedure
hemoglobin a1c	гемоглобин a1c	test
hemoglobin a1c	гликированный гемоглобин	test
hemophilia	гемофилия	diagnosis
hemoptysis	отхаркивание крови	symptom
hemoptysis	харканье с кровью	symptom
hemorrhoids	геморрой	diagnosis
heparin	гепарин	medication
hepatitis	гепатит	diagnosis
hepatitis a	гепатит а	diagnosis
hepatitis b	гепатит в	diagnosis
herpes	герпес	diagnosis
hib	hib	medication
hiccups	икота	symptom
high blood calcium	высокий уровень кальция в крови	diagnosis
high blood cholesterol	высокий уровень холестерина	diagnosis
high blood cholesterol	повышенное содержание холестерина	diagnosis
high blood pressure	высокое давление	diagnosis
high blood pressure	высокое кровяное давление	diagnosis
high blood pressure	повышение артериального давления	diagnosis
high blood pressure	повышенное артериальное давление	symptom
high blood pressure	повышенное давление	diagnosis
high blood pressure	повышенное кровяное давление	diagnosis
high blood sugar	высокий уровень сахара в крови	symptom
high blood sugar	повышенное содержание сахара в крови	symptom
high blood sugar	повышенный уровень сахара в крови	symptom
high cholesterol	высокий уровень холестерина	diagnosis
high cholesterol	высокий холестерин	diagnosis
high cholesterol	повышенный уровень холестерина	diagnosis
high density lipoproteins	липопротеиды высокой плотности	test
high fiber diet	диета с высоким содержанием клетчатки	other_medical
high fiber food	продукты с высоким содержанием клетчатки	other_medical
hip	бедро	anatomy
hip abduction	отведение бедер	procedure
hip abduction	отведение бедра	procedure
hip and knee bending	сгибание ноги в бедре и колене	procedure
hip extension	растяжение мышц бедра	procedure
hip flexion	сгибание бедер	procedure
hip joint	тазобедренный сустав	anatomy
hip outward and inward	движения бедер внутрь и наружу	procedure
hip rolls	накатывания таза	procedure
hip rotation	поворот бедра	procedure
hipbone	тазовая кость	anatomy
hippocampus	гипокамп	anatomy
hiv	вич	diagnosis
hiv testing	тест на вич	test
hives	крапивница	symptom
hoarse voice	хриплый голос	symptom
hodgkin's lymphoma	лимфома ходжкина	diagnosis
hold your breath	задержать дыхание	procedure
holter monitor	холтеровский монитор	test
holter monitoring	мониторинг холтера	test
home care	уход на дому	procedure
home remedies	народные средства	medication
hopelessness	безнадежность	symptom
hopelessness	чувство безнадежности	symptom
hormone levels	уровень гормонов	test
hormone replacement therapy	заместительная гормональная терапия	procedure
hormone therapy	гормональная терапия	procedure
hospital gown	больничная одежда	other_medical
hospital gown	больничный халат	other_medical
hot flashes	приливы	symptom
hot treatment	тепловое лечение	procedure
hpv	впч	diagnosis
hpv vaccine	вакцина против впч	medication
hrt	згт	procedure
hsv	герпес	diagnosis
humalog	humalog	medication
human immunodeficiency virus	вирус иммунодефицита человека	diagnosis
human papillomavirus	вирус папилломы человека	diagnosis
humidifier	увлажнитель	other_medical
hypercalcemia	гиперкальциемия	diagnosis
hyperglycemia	гипергликемия	diagnosis
hypertension	гипертензия	diagnosis
hypertension	гипертония	diagnosis
hypoglycemia	гипогликемия	diagnosis
hypoglycemia unawareness	неосведомленность о гипогликемии	symptom
hypothermia	гипотермия	diagnosis
hypothyroidism	гипотиреоз	diagnosis
ibuprofen	ибупрофен	medication
icd	икд	procedure
ice application	прикладывание льда	procedure
ice pack	пакет со льдом	other_medical
ice therapy	прикладывание льда	procedure
icu	отделение интенсивной терапии	other_medical
immune system	иммунная система	anatomy
immunizations	иммунизация	medication
immunosuppression	иммунодепрессия	diagnosis
immunotherapy	иммунотерапия	procedure
implant therapy	имплантированная терапия	procedure
implanted pump	имплантированная помпа	other_medical
impotence	импотенция	symptom
inability to move an arm or leg	невозможность пошевелить конечностями	symptom
inactive ingredients	неактивные ингредиенты	other_medical
incentive spirometer	стимулирующий спирометр	procedure
incision	надрез	procedure
incision	разрез	procedure
incision	шов	anatomy
incision drainage	выделения из шва	symptom
incision pain	боль в области разреза	symptom
incision swelling	отек в области шва	symptom
incision swelling	отек швов	symptom
incontinence	недержание	diagnosis
increased hunger	повышенное чувство голода	symptom
increased urine output	повышенное выделение мочи	symptom
index finger	указательный палец	anatomy
indigestion	нарушение пищеварения	symptom
indigestion	проблемы с пищеварением	symptom
individualized education program	индивидуальная программа обучения	other_medical
infant cpr	искусственное дыхание и непрямой массаж сердца	procedure
infant formula	детская смесь	medication
infant/child cpr course	курс сердечно-легочной реанимации детей	procedure
infected wounds	инфицированные раны	diagnosis
infection	заражение	diagnosis
infection	инфекция	diagnosis
infection signs	признаки инфекции	symptom
infections	инфекции	diagnosis
infections	инфекционные заболевания	diagnosis
infections	инфицирование	diagnosis
inflamed throat	воспаление горла	symptom
influenza	грипп	diagnosis
inhalation anthrax	легочная форма болезни	diagnosis
inhaler	ингалятор	other_medical
inhalers	ингаляторы	medication
injection	инъекция	procedure
injection site	место инъекции	anatomy
injection site	место укола	other_medical
injections	инъекции	procedure
injured arm	травмированная рука	anatomy
injured foot	травмированная нога	symptom
injured leg	травмированная ног	anatomy
injured leg	травмированная нога	anatomy
insomnia	бессонница	diagnosis
insulin	инсулин	medication
insulin dose	доза инсулина	other_medical
insulin injection	инъекция инсулина	procedure
insulin injection	укол инсулина	procedure
insulin pen	инсулиновый шприц	medication
insulin reaction	инсулиновая реакция	diagnosis
insulin shock	инсулиновый шок	diagnosis
insulin shots	уколы инсулина	medication
insulin syringe	шприц для введения инсулина	procedure
insulin units	единицы инсулина	other_medical
intensive care unit	отделение интенсивной терапии	other_medical
internal radiation therapy	внутренняя лучевая терапия	procedure
intracerebral hematoma	внутримозговая гематома	diagnosis
intracerebral hemorrhage	внутримозговое кровоизлияние	diagnosis
intraocular pressure	внутриглазное давление	symptom
intravenous	внутривенно	other_medical
intravenous	внутривенное введение	procedure
intravenous	внутривенный катетер	procedure
intravenous	внутривенных вливаний	procedure
intravenous	капельница	procedure
intravenous	катетер	other_medical
intravenous line	внутривенная капельница	procedure
intraventricular hemorrhage	внутрижелудочковое кровоизлияние	diagnosis
iodine solution	раствор йода	medication
iron level	уровень железа	test
iron rich baby formula	молочная смесь, обогащенная железом	medication
iron tablets	железосодержащие таблетки	medication
irregular heart beat	неравномерное сердцебиение	symptom
irregular heart beat	неровное сердцебиение	symptom
irregular heart beats	нерегулярное сердцебиение	symptom
irregular heartbeat	нерегулярный импульс	symptom
irregular heartbeats	нерегулярное сердцебиение	symptom
irritability	раздражительность	symptom
irritable	раздражительность	symptom
irritable bowel syndrome	синдром раздраженного кишечника	diagnosis
irritated throat	раздражение горла	symptom
itching	зуд	symptom
itchy nose	зуд в носу	symptom
itchy skin	зуд на коже	symptom
itchy throat	першение в горле	symptom
iud	внутриматочная спираль	other_medical
iv	внутривенно	procedure
iv	внутривенное введение	procedure
iv	внутривенный катетер	procedure
iv	капельница	procedure
iv	катетер	procedure
iv catheter	внутривенный катетер	procedure
iv contrast	внутривенное контрастное вещество	medication
iv line	капельница	other_medical
iv pump	насос для внутривенных вливаний	other_medical
jaundice	желтуха	diagnosis
jaundice	пожелтение	symptom
jaw strengthening	укрепление челюстей	procedure
joint	сустав	anatomy
joint enlargement	увеличение сустава	symptom
joint extension	переразгибание суставов	procedure
joint inflammation	воспаление суставов	symptom
joint injury	травмы суставов	symptom
joint instability	нестабильность сустава	symptom
joint pain	боль в суставах	symptom
joint pain	боль в суставе	symptom
joint replacement	замена сустава	procedure
joint space	суставная щель	anatomy
joint stiffness	скованность сустава	symptom
joint swelling	опухание сустава	symptom
joints	суставы	anatomy
kegel exercises	упражнения кегеля	procedure
kidney damage	поражение почек	diagnosis
kidney disease	заболевание почек	diagnosis
kidney disease	заболевания почек	diagnosis
kidney failure	отказ почек	diagnosis
kidney failure	почечная недостаточность	diagnosis
kidney stones	камни в почках	diagnosis
kidney transplant	пересадка почек	procedure
kidneys	почки	anatomy
knee	колено	anatomy
knee extension	выпрямление колена	procedure
knee flexion	сгибание коленей	procedure
knee joint	коленный сустав	anatomy
knee push	прижимание колена	procedure
knee to chest	прижимание колена к груди	procedure
knuckles	суставы пальцев	anatomy
lab tests	лабораторные анализы	test
labia	половые губы	anatomy
labor and delivery	роды	procedure
lack energy	нехватка сил	symptom
lack of appetite	отсутствие аппетита	symptom
lack of breathing	прекращение дыхания	symptom
lack of energy	упадок сил	symptom
lack of hunger	отсутствие аппетита	symptom
lack of oxygen	кислородное голодание	symptom
lack of oxygen during birth	недостаток кислорода во время родов	diagnosis
lack of sex drive	отсутствие сексуального влечения	symptom
lactation specialist	специалист по вопросам кормления грудью	other_medical
lactation specialist	специалист по грудному вскармливанию	other_medical
lancet	ланцет	test
lancing device	ланцетное устройство	test
lanolin	ланолин	medication
lantus	lantus	medication
laparoscopic	лапароскопическая операция	procedure
laparoscopic appendectomy	лапароскопическая аппендэктомия	procedure
large baby	увеличение плода	symptom
large bowel	толстая кишка	anatomy
large intestine	толстая кишка	anatomy
large intestine	толстый кишечник	anatomy
large intestines	толстый кишечник	anatomy
laser treatment	лазерная коррекция	procedure
laser treatment	лазерное лечение	procedure
latch	прикладывание к груди	procedure
latch on	прикладывание к груди	procedure
latch on	присасываться	other_medical
latent infection	латентная форма	diagnosis
latex allergy	аллергия на латекс	diagnosis
laxative	слабительное	medication
laxatives	слабительные	medication
ldl	лпнп	test
lead poisoning	отравление свинцом	diagnosis
leads	электроды	procedure
learning problems	проблемы с обучением	symptom
leep	leep	procedure
leep	петлевая эксцизия шейки матки	procedure
left atrium	левое предсердие	anatomy
leg	нога	anatomy
leg cramps	спазмы в ногах	symptom
leg discomfort	дискомфорт ног	symptom
leg extensions	вытягивание ног	procedure
leg movements	движение ног	test
lens	хрусталик	anatomy
leukemia	лейкемия	diagnosis
levemir	levemir	medication
lice cream	крем от вшей	medication
lice eggs	яйца вшей	other_medical
lice lotion	лосьон от вшей	medication
ligament	связка	anatomy
ligaments	связки	anatomy
light box	лайтбокс	procedure
light headed	слабость	symptom
light sensitivity	чувствительность к свету	symptom
light-headed	головокружение	symptom
lightheaded	головокружение	symptom
lightheaded	головокружение при вставании	symptom
lightheaded	легкость в голове	symptom
lightheaded	помутнение сознания	symptom
lightheadedness	головокружение	symptom
limb loss	потеря конечности	symptom
limited joint use	ограниченная подвижность сустава	symptom
lip balm	бальзам для губ	medication
lip balm	увлажняющий бальзам для губ	medication
lip closure	смыкание губ	procedure
lip hold exercise	удержание предмета губами	procedure
lips	губы	anatomy
liquid concentrate formula	жидкая концентрированная смесь	medication
liquid medicine	жидкое лекарство	medication
lispro insulin	инсулин лиспро	medication
little finger	мизинец	anatomy
liver	печень	anatomy
liver failure	отказ печени	diagnosis
liver imaging	обследование печени	procedure
living will	завещание на случай недееспособности	other_medical
local anesthetic	местная анестезия	medication
lochia	лохии	symptom
long term problems	долгосрочные проблемы со здоровьем	diagnosis
loop electrosurgical excision procedure	петлевая электрохирургическая эксцизия	procedure
lose balance	потерять равновесие	symptom
loss of appetite	отсутствие аппетита	symptom
loss of appetite	потеря аппетита	symptom
loss of awareness	потеря психической ориентированности	symptom
loss of balance	нарушение равновесия	symptom
loss of central vision	потеря центрального зрения	symptom
loss of communication ability	потеря способности общаться	symptom
loss of consciousness	потеря сознания	symptom
loss of energy	упадок сил	symptom
loss of feeling	потеря чувствительности	symptom
loss of height	потеря веса	symptom
loss of interest	потеря интереса	symptom
loss of interest in sex	потеря интереса к сексу	symptom
loss of memory	потеря памяти	symptom
loss of peripheral vision	потеря бокового зрения	symptom
loss of sense of smell	потеря обоняния	symptom
loud snoring	громкий храп	symptom
low back exercises	упражнения для нижней спины	procedure
low back pain	боль в пояснице	diagnosis
low back stretch	растягивание нижнего отдела спины	procedure
low blood cell count	низкое число кровяных клеток	symptom
low blood sugar	низкий уровень сахара в крови	symptom
low blood sugar	низкое содержание сахара в крови	diagnosis
low density lipoproteins	липопротеиды низкой плотности	test
low estrogen levels	низкий уровень эстрогена	symptom
low fat foods	нежирные продукты	other_medical
low sodium	низкий уровень натрия	symptom
lower arm	предплечье	anatomy
lower back	поясница	anatomy
lower back pain	боль в пояснице	symptom
lower back pressure	давление в нижней части спины	symptom
lp shunt	пояснично-перитонеальный шунт	other_medical
lumbar curve	поясничный изгиб	anatomy
lumbar extension	растягивание мышц поясницы	procedure
lumbar puncture	люмбальная пункция	procedure
lumbar spine	поясничный отдел позвоночника	anatomy
lumbar spine stretches	растягивание поясничного отдела позвоночника	procedure
lump	новообразование	symptom
lump	припухлость	symptom
lumpectomy	лампэктомия	procedure
lung	легкое	anatomy
lung cancer	рак легких	diagnosis
lung disease	легочное заболевание	diagnosis
lung diseases	заболевания легких	diagnosis
lung function tests	тесты функции легких	test
lung infection	легочная инфекция	diagnosis
lung medicine	лекарства для легких	medication
lungs	легкие	anatomy
lupus	волчанка	diagnosis
lymph nodes	лимфатические узлы	anatomy
lymph nodes	лимфоузлы	anatomy
lymphoma	лимфома	diagnosis
magnesium citrate	цитрат магния	medication
magnetic resonance image	мрт	test
magnetic resonance imaging	магнитно-резонансная томография	test
malignant tumors	злокачественные опухоли	diagnosis
mammogram	маммограмма	test
mammogram	маммография	test
manual breast pump	ручной молокоотсос	other_medical
masako maneuver	маневр масако	procedure
mastectomy	мастэктомия	procedure
meal planning	планирование приемом пищи	procedure
measles	корь	diagnosis
medical decisions	медицинские решения	other_medical
medical problems	заболевания	diagnosis
medical treatment	медицинское лечение	procedure
medicated lice shampoo	шампунь от вшей	medication
medicine	лекарства	medication
medicine bottle	флакон с лекарством	other_medical
medicine dose	дозировка лекарства	other_medical
medicine dose	дозировка медикамента	medication
medicine safety	безопасность при приеме лекарств	other_medical
medicine spoon	мерная ложка	other_medical
medicine stress test	нагрузочный тест с помощью лекарства	test
medicines	лекарства	medication
melanoma	меланома	diagnosis
memory loss	потеря памяти	symptom
memory loss	проблемы с памятью	symptom
meningococcal	менингокок	diagnosis
menopause	менопауза	diagnosis
menstrual cycles	менструальный цикл	anatomy
menstrual period	менструация	other_medical
mental health professional	специалист по психическому здоровью	other_medical
mental retardation	умственная отсталость	diagnosis
metal fragments	металлические осколки	other_medical
metallic taste	металлический привкус	symptom
metamucil	метамуцил	medication
metastasis	метастазирование	diagnosis
metastasis	метастазы	diagnosis
metformin	метформин	medication
methicillin resistant staphylococcus aureus	метициллинрезистентный золотистый стафилококк	diagnosis
microalbuminuria test	анализ на микроальбумины	test
middle ear	среднее ухо	anatomy
middle ear infection	воспаление среднего уха	diagnosis
migraine	мигрень	diagnosis
migraine headache	мигрень	diagnosis
mild cramping	легкие судороги	symptom
milk flow	выделение молока	other_medical
milliliter	миллилитр	other_medical
mini stroke	микроинсульт	diagnosis
mini-squats	мини-приседания	procedure
miralax	miralax	medication
miralax	миралакс	medication
miscarriage	выкидыш	diagnosis
mist	туман	other_medical
mixed incontinence	смешанное недержание	diagnosis
mmr	mmr	medication
modified barium swallow	рентгенологическое исследование пищевода с барием	test
modified biophysical profile	модифицированный биофизический профиль	test
mole	родинка	anatomy
monosaturated fats	мононенасыщенные жиры	other_medical
mood changes	изменения настроения	symptom
mood swings	перепады настроения	symptom
mood swings	смена настроения	symptom
morning sickness	токсикоз	symptom
morphine	морфин	medication
mouth infection	инфекция ротовой полости	diagnosis
mouth sores	боль во рту	symptom
mouth sores	язвы в ротовой полости	symptom
mouth sores	язвы во рту	symptom
mouth ulcers	язвы во рту	symptom
mouthpiece	мундштук	other_medical
mouthwash	ополаскиватель для полости рта	medication
mri	магнитно-резонансная томография	test
mri	мрт	test
mrsa	мрзс	diagnosis
mucus	мокрота	symptom
mucus	слизь	symptom
mucus plug	слизистая пробка	symptom
mucus with bowel movements	слизь в каловых массах	symptom
muga	радионуклидная ангиография	test
multi-infarct dementia	мультиинфарктная деменция	diagnosis
multivitamin supplement	поливитамины и минеральные добавки	medication
mumbled speech	невнятная речь	symptom
mumps	паротит	diagnosis
muscle aches	боль в мышцах	symptom
muscle aches	мышечные боли	symptom
muscle cramps	спазм мышц	symptom
muscle loss	потеря мышечной массы	symptom
muscle pain	боль в мышцах	symptom
muscle spasms	спазмы мышц	symptom
muscle tension	напряжение мышц	symptom
muscle twitch	подергивание мышцы	symptom
muscle weakness	мышечная слабость	symptom
muscle weakness	слабость мышц	symptom
muscles	мышцы	anatomy
myocardial infarction	инфаркт миокарда	diagnosis
nails	ногти	anatomy
naloxone	налоксон	medication
naproxen	напроксен	medication
narcolepsy	нарколепсия	diagnosis
narrow stools	тонкий стул	symptom
narrowed blood vessels	суженные кровеносные сосуды	diagnosis
narrowed blood vessels	сузившиеся кровеносные сосуды	symptom
nasal discharge	выделения из носа	symptom
nasal drainage	выделения из носа	symptom
nasal spray	назальный спрей	medication
nausea	тошнота	symptom
nausea and vomiting	тошнота и рвота	symptom
nausea or vomiting	тошнота или рвота	symptom
navel	пупок	anatomy
nebulizer	небулайзер	other_medical
nebulizer treatment	небулайзерная терапия	procedure
neck	шея	anatomy
neck pain	боль в шее	symptom
neck stiffness	скованность в шее	symptom
needle	игла	other_medical
needle disposal	контейнер для использованных игл	other_medical
needle disposal box	контейнер для использованных игл	other_medical
needles and syringes	иглы и шприцы	other_medical
neosporin	неоспорин	medication
nephropathy	нефропатия	diagnosis
nerve conduction study	исследование нервной проводимости	test
nerve conduction test	исследование нервной проводимости	test
nerve conduction test	тест нервной проводимости	test
nerve damage	поражение нервных окончаний	diagnosis
nerve injury	повреждение нервов	diagnosis
nerves	нервы	anatomy
neurofibrillary tangles	нейрофибриллярные клубки	other_medical
neutropenia	нейтропенией	diagnosis
neutropenia	нейтропения	diagnosis
nicotine	никотин	other_medical
nicotine patch	никотиновый пластырь	medication
night sweats	ночная потливость	symptom
night sweats	потоотделение во время сна	symptom
night sweats	потоотделение ночью	symptom
night terrors	ночные страхи	diagnosis
nipple	сосок	anatomy
nipple soreness	боли в сосках	symptom
nipples	соски	anatomy
nit comb	гребень для вычесывания гнид	procedure
nitroglycerin	нитроглицерин	medication
nitroglycerin patch	нитроглицериновый пластырь	medication
nitroglycerin spray	спрей нитроглицерина	medication
nitroglycerin tablet	таблетка нитроглицерина	medication
nits	гниды	other_medical
non-hodgkin's lymphoma	неходжкинская лимфома	diagnosis
non-small cell lung cancer	немелкоклеточный рак легкого	diagnosis
non-stress test	нестрессовый тест	test
non-weight bearing	без нагрузки на ногу	procedure
normal curves in back	правильная осанка	other_medical
not breathing	не дышит	symptom
novolog	novolog	medication
