Russian	English	Category	Confidence	Sources	Issues
везикулярный стоматит	vesicular		reference_only	baldwin_reference	
везикулярный стоматит	stomatitis		reference_only	baldwin_reference	
везикулярный, пузырчатый	vesicular		reference_only	baldwin_reference	
веко	palpebrae		reference_only	baldwin_reference	
вектор	vector		reference_only	baldwin_reference	
векторная психология	vector		reference_only	baldwin_reference	
векторная психология	psychology		reference_only	baldwin_reference	
величина	dimension		reference_only	baldwin_reference	
величина	quantity		reference_only	baldwin_reference	
величина	size		reference_only	baldwin_reference	
величина	value		reference_only	baldwin_reference	
величина, размер	magnitude		reference_only	baldwin_reference	
велотренажер	exercise bike	procedure	reference_only	my_medlineplus	
венепункция/венопункция, забор крови из вены	venepuncture		reference_only	baldwin_reference	
венепункция/венопункция, забор крови из вены	venipuncture		reference_only	baldwin_reference	
венерическая лимфогранулёма, болезнь Дюрана-Николя-Фавра (хроническое заболевание, передающееся половым путем	venereum		reference_only	baldwin_reference	
венерическая язва	genital		reference_only	baldwin_reference	
венерические заболевания	sexually transmitted infections	diagnosis	reference_only	my_medlineplus	
венерическое заболевание	VD		reference_only	baldwin_reference	
венерическое заболевание	disease		reference_only	baldwin_reference	
венесекция, вскрытие вены	venesection		reference_only	baldwin_reference	
венечная катаракта	coronary		reference_only	baldwin_reference	
венечный шов	suture		reference_only	baldwin_reference	
венечный шов	coronal		reference_only	baldwin_reference	
венлафаксин	venlafaxine	medication	reference_only	my_medlineplus	
венный	venous		reference_only	baldwin_reference	
венный конкремент, флеболит	concrement		reference_only	baldwin_reference	
венный пульс	venous		reference_only	baldwin_reference	
венный пульс	pulse		reference_only	baldwin_reference	
венозная аортография	venous		reference_only	baldwin_reference	
венозная аортография	aortography		reference_only	baldwin_reference	
венозная гиперемия	hyperemia		reference_only	baldwin_reference	
венозная кровь	blood		reference_only	baldwin_reference	
венозное давление	venous		reference_only	baldwin_reference	
венозное кровотечение	venous		reference_only	baldwin_reference	
венозное кровотечение	hemorrhage		reference_only	baldwin_reference	
венозное русло	venous		reference_only	baldwin_reference	
венозный	venous		reference_only	baldwin_reference	
венозный анастомоз	venous		reference_only	baldwin_reference	
венозный анастомоз	shunt		reference_only	baldwin_reference	
венозный возврат	return		reference_only	baldwin_reference	
венозный застой, веностаз	engorgement		reference_only	baldwin_reference	
венозный катетер	catheter		reference_only	baldwin_reference	
венозный клапан	vein		reference_only	baldwin_reference	
венозный клапан	valve		reference_only	baldwin_reference	
венозный отток	venous		reference_only	baldwin_reference	
венозный отток	return		reference_only	baldwin_reference	
венозный стаз, венозный застой, веностаз, венозная гиперемия	coach-class syndrome		reference_only	baldwin_reference	
венозный стаз, венозный застой, веностаз, венозная гиперемия	coach-class		reference_only	baldwin_reference	
венозный стаз, венозный застой, веностаз, венозная гиперемия	venous stasis		reference_only	baldwin_reference	
венозный тромбоз	venous		reference_only	baldwin_reference	
веностаз (застой крови в венах	venostasis		reference_only	baldwin_reference	
венотомия, флеботомия	cirsotomy		reference_only	baldwin_reference	
вентилятор	ventilator		reference_only	baldwin_reference	
вентральный, брюшной	ventral		reference_only	baldwin_reference	
вентрикуло-перитонеальный шунт	vp shunt	other_medical	reference_only	my_medlineplus	
вентрикулярный катетер	catheter		reference_only	baldwin_reference	
венэктазия, флебэктазия (стойкое расширение вен	venectasia		reference_only	baldwin_reference	
венэктомия, флебэктомия	venectomy		reference_only	baldwin_reference	
вербальная парафазия	verbal		reference_only	baldwin_reference	
вербальная парафразия	paraphrasia		reference_only	baldwin_reference	
вербальная реакция	response		reference_only	baldwin_reference	
вербальный, словесный	verbal		reference_only	baldwin_reference	
веретено	spindle		reference_only	baldwin_reference	
веретеноклеточная липома	lipoma		reference_only	baldwin_reference	
веретенообразная аневризма	aneurysm		reference_only	baldwin_reference	
веретенообразная структура	spindle		reference_only	baldwin_reference	
вернуть в исходное положение	reset		reference_only	baldwin_reference	
Вероятностная выборка, син. Случайная	Probability sample, syn. Random sample		reference_only	vaccine_pdf_WHO	
вероятностный	actuarial		reference_only	baldwin_reference	
Вероятность	Probability		reference_only	vaccine_pdf_WHO	
вертебральная ангиография	angiography		reference_only	baldwin_reference	
вертикальный [перинатальный] путь переноса, передача от матери к плоду	mother-to-child		reference_only	baldwin_reference	
вертикальный нистагм	vertical		reference_only	baldwin_reference	
вертикальный нистагм	nystagmus		reference_only	baldwin_reference	
верхнечелюстная артерия	maxillary		reference_only	baldwin_reference	
верхний	cephalic		reference_only	baldwin_reference	
верхний	superior		reference_only	baldwin_reference	
верхний зуб	maxillary		reference_only	baldwin_reference	
верхний клык	eyetooth		reference_only	baldwin_reference	
верхний пищеварительный тракт	tract		reference_only	baldwin_reference	
верхний слой	skin		reference_only	baldwin_reference	
верхняя барабанная артерия	artery		reference_only	baldwin_reference	
верхняя брыжеечная артерия	artery		reference_only	baldwin_reference	
верхняя гортанная артерия	artery		reference_only	baldwin_reference	
Верхняя граница, предел	Upper limit		reference_only	vaccine_pdf_WHO	
верхняя доля	superior		reference_only	baldwin_reference	
верхняя доля	lobe		reference_only	baldwin_reference	
верхняя коленная артерия	artery		reference_only	baldwin_reference	
верхняя конечность	upper		reference_only	baldwin_reference	
верхняя конечность	UE		reference_only	baldwin_reference	
верхняя челюсть	maxilla		reference_only	baldwin_reference	
верхняя челюсть	supramaxilla		reference_only	baldwin_reference	
верхушечная пневмония	apical		reference_only	baldwin_reference	
верхушка	apex		reference_only	baldwin_reference	
верхушка	summit		reference_only	baldwin_reference	
верхушка корня зуба	apex		reference_only	baldwin_reference	
верхушка лёгкого	apex		reference_only	baldwin_reference	
верхушка, верхняя часть	vertex		reference_only	baldwin_reference	
вершина	height		reference_only	baldwin_reference	
вершина	summit		reference_only	baldwin_reference	
вершина, пик	peak		reference_only	baldwin_reference	
вес при рождении	weight		reference_only	baldwin_reference	
вес ребенка	child's weight	other_medical	reference_only	my_medlineplus	
вес, масса	weight		reference_only	baldwin_reference	
вестибулярное расстройство	disorder		reference_only	baldwin_reference	
вестибулярный аппарат	apparatus		reference_only	baldwin_reference	
вестибулярный нистагм	nystagmus		reference_only	baldwin_reference	
вестибулярный порог	threshold		reference_only	baldwin_reference	
весы	scale		reference_only	baldwin_reference	
весы для грудных детей	scales		reference_only	baldwin_reference	
весящий больше нормы	overweight		reference_only	baldwin_reference	
ветвящийся	dendritic		reference_only	baldwin_reference	
ветеринарная аптека	veterinary		reference_only	baldwin_reference	
ветеринарная аптека	drugstore		reference_only	baldwin_reference	
ветеринарная аптека	pharmacy		reference_only	baldwin_reference	
ветеринарный врач, ветеринар	vet (DVM		reference_only	baldwin_reference	
ветеринарный врач, ветеринар	DVM		reference_only	baldwin_reference	
ветряная оспа	varicella	diagnosis	reference_only	baldwin_reference|my_medlineplus|vaccine_pdf_WHO	
ветряная оспа	chickenpox	diagnosis	reference_only	my_medlineplus	
Ветряная оспа	Chickenpox, syn. Varicella		reference_only	vaccine_pdf_WHO	
ветряная оспа (ветрянка	varicella		reference_only	baldwin_reference	
вещество	agent		reference_only	baldwin_reference	
вещество	material		reference_only	baldwin_reference	
вещество	matter		reference_only	baldwin_reference	
вещество, вызывающее привыкание/зависимость	substance		reference_only	baldwin_reference	
вещество, материал	substance		reference_only	baldwin_reference	
вживляемый	implantable		reference_only	baldwin_reference	
взаимодействие	correlation		reference_only	baldwin_reference	
взаимодействие	intercourse		reference_only	baldwin_reference	
взаимодействие	reaction		reference_only	baldwin_reference	
Взаимодействие	Interaction		reference_only	vaccine_pdf_WHO	
взаимодействие с другими лекарственными средствами	interaction		reference_only	baldwin_reference	
взаимодействие с другими лекарственными средствами	drug		reference_only	baldwin_reference	
взаимодействие, интеракция	interaction		reference_only	baldwin_reference	
взаимодействовать	react		reference_only	baldwin_reference	
взаимозаменяемый, равноценный	interchangeable		reference_only	baldwin_reference	
взаимоотношения	rapport		reference_only	baldwin_reference	
взаимопонимание	rapport		reference_only	baldwin_reference	
взбалтывание, перемешивание	agitation		reference_only	baldwin_reference	
взвесь магнезии	magnesia		reference_only	baldwin_reference	
Взвешенное среднее значение	Weighted average		reference_only	vaccine_pdf_WHO	
взвешивать	weight		reference_only	baldwin_reference	
вздутие	distension		reference_only	baldwin_reference	
вздутие	bloated	symptom	reference_only	my_medlineplus	
вздутие живота	distension		reference_only	baldwin_reference	
вздутие живота	bloating	symptom	reference_only	baldwin_reference|my_medlineplus	
вздутие живота	abdominal distension	symptom	reference_only	my_medlineplus	
вздутие живота	bloated	symptom	reference_only	my_medlineplus	
вздутие, вспучивание	bloat		reference_only	baldwin_reference	
вздутия	gas pains	symptom	reference_only	my_medlineplus	
вздутость, вздутие, вспучивание	inflation		reference_only	baldwin_reference	
вздутый	bloated		reference_only	baldwin_reference	
вздутый живот	abdomen		reference_only	baldwin_reference	
взрослеть	age		reference_only	baldwin_reference	
взрослый	adult		reference_only	baldwin_reference	
взрывная речь	logospasm		reference_only	baldwin_reference	
взятие пробы	sampling		reference_only	baldwin_reference	
Взятие пробы для последующего	Collection of specimen for viral culture		reference_only	vaccine_pdf_WHO	
вибрационное заболевание	vibration		reference_only	baldwin_reference	
вибрационный массаж	massage		reference_only	baldwin_reference	
вибрация грудной клетки	thrill		reference_only	baldwin_reference	
вибрировать	oscillate		reference_only	baldwin_reference	
вибрировать	pulsate		reference_only	baldwin_reference	
вибрировать	pulse		reference_only	baldwin_reference	
вид	form		reference_only	baldwin_reference	
вид	type		reference_only	baldwin_reference	
вид физических упражнений	exercise		reference_only	baldwin_reference	
вид, род	kind		reference_only	baldwin_reference	
видение	vision		reference_only	baldwin_reference	
видеть сон	dream		reference_only	baldwin_reference	
видимый	visual		reference_only	baldwin_reference	
визит к врачу	appointment		reference_only	baldwin_reference	
визуализация	imaging		reference_only	baldwin_reference	
визуальная аналоговая шкала боли	VAS		reference_only	baldwin_reference	
визуальное восприятие	perception		reference_only	baldwin_reference	
визуальные перемены	change		reference_only	baldwin_reference	
визуальный	visual		reference_only	baldwin_reference	
викарное носовое кровотечение	cephalomenia		reference_only	baldwin_reference	
виниры (зубные накладки, устанавливаемые на переднюю часть зубов	veneer		reference_only	baldwin_reference	
винить себя	self-blaming		reference_only	baldwin_reference	
винтовой штифт для корня зуба	screw		reference_only	baldwin_reference	
виремия, вирусемия (наличие вируса в крови	viremia		reference_only	baldwin_reference	
виртуальная терапия, ВР-терапия	VRT		reference_only	baldwin_reference	
виртуальный секс	cybersex		reference_only	baldwin_reference	
вирулентный	virulent		reference_only	baldwin_reference	
Вирус	Virus (pl. viruses or viridae		reference_only	vaccine_pdf_WHO	
вирус бешенства	lyssin		reference_only	baldwin_reference	
вирус бешенства	virus		reference_only	baldwin_reference	
вирус Боливийской лихорадки	fever		reference_only	baldwin_reference	
Вирус ветряной оспы (ВВО	Varicella zoster virus (VZV		reference_only	vaccine_pdf_WHO	
Вирус гепатита B (ВГВ	Hepatitis B virus (HBV		reference_only	vaccine_pdf_WHO	
вирус гепатита А (ВГА	HAV		reference_only	baldwin_reference	
вирус гепатита В	HBV		reference_only	baldwin_reference	
вирус гепатита С	HCV		reference_only	baldwin_reference	
вирус гепатита-дельта	HDV		reference_only	baldwin_reference	
вирус гриппа	virus		reference_only	baldwin_reference	
вирус гриппа	flu virus	other_medical	reference_only	my_medlineplus	
вирус иммунодефицита человека	human immunodeficiency virus	diagnosis	reference_only	my_medlineplus	
вирус иммунодефицита человека (ВИЧ	HIV		reference_only	baldwin_reference	
Вирус иммунодефицита человека (ВИЧ	Human immunodeficiency virus (HIV		reference_only	vaccine_pdf_WHO	
вирус клещевого энцефалита	virus		reference_only	baldwin_reference	
вирус Марбург	Marburg		reference_only	baldwin_reference	
вирус папилломы	papillomavirus		reference_only	baldwin_reference	
вирус папилломы человека	human papillomavirus	diagnosis	reference_only	my_medlineplus	
вирус папилломы человека (ВПЧ	HPV		reference_only	baldwin_reference	
вирус псевдочумы птиц	virus		reference_only	baldwin_reference	
вирус синего языка	BTV		reference_only	baldwin_reference	
вирус Эбола	Ebola		reference_only	baldwin_reference	
Вирус Эпштейна-Барра (EBV	Epstein-Barr virus (EBV/EBv		reference_only	vaccine_pdf_WHO	
вирусная инфекция	infection		reference_only	baldwin_reference	
вирусная инфекция	viral infection	diagnosis	reference_only	my_medlineplus	
вирусная нагрузка	[burden]		reference_only	baldwin_reference	
вирусный антиген	antigen		reference_only	baldwin_reference	
вирусный гепатит	viral		reference_only	baldwin_reference	
вирусный гепатит	hepatitis		reference_only	baldwin_reference	
вирусный менингит	meningitis		reference_only	baldwin_reference	
вирусный энтерит	viral		reference_only	baldwin_reference	
вирусный энтерит	enteritis		reference_only	baldwin_reference	
вирусный энцефалит	encephalitis		reference_only	baldwin_reference	
вирусы	virus	other_medical	reference_only	my_medlineplus	
вирусы	viruses	other_medical	reference_only	my_medlineplus	
височная доля	temporal		reference_only	baldwin_reference	
височная кость	temporal		reference_only	baldwin_reference	
височный	temporal		reference_only	baldwin_reference	
висцеральная плевра	visceral		reference_only	baldwin_reference	
висцеральный лейшманиоз	leishmaniasis		reference_only	baldwin_reference	
висцеральный лейшманиоз, кала-азар	kala-azar		reference_only	baldwin_reference	
висцеральный рефлекс	visceral		reference_only	baldwin_reference	
висячее сердце	heart		reference_only	baldwin_reference	
висячее сердце	hanging		reference_only	baldwin_reference	
висячий зоб	hanging		reference_only	baldwin_reference	
витамин a	vitamin a	medication	reference_only	my_medlineplus	
витамин b6	vitamin b6	medication	reference_only	my_medlineplus	
витамин C	acid		reference_only	baldwin_reference	
витамин d	vitamin d	medication	reference_only	my_medlineplus	
витамин E, токоферол	tocopherol		reference_only	baldwin_reference	
витамин F, Омега-3 кислоты	acids		reference_only	baldwin_reference	
витамин PP, никотиновая кислота, ниацин	PP		reference_only	baldwin_reference	
витамин а	vitamin a	medication	reference_only	my_medlineplus	
витамин А, ретинол	retinol		reference_only	baldwin_reference	
витамин В1, тиамин	thiamine		reference_only	baldwin_reference	
витамин В2, рибофлавин	riboflavin		reference_only	baldwin_reference	
витамин В3, никотиновая кислота	niacin		reference_only	baldwin_reference	
витамин В6, пиридоксин	acid		reference_only	baldwin_reference	
витамин В9, фолиевая кислота	acid		reference_only	baldwin_reference	
витамин е	vitamin e	medication	reference_only	my_medlineplus	
витамин с	vitamin c	medication	reference_only	my_medlineplus	
витамины	vitamins	medication	reference_only	my_medlineplus	
витамины группы в	vitamin b complex	medication	reference_only	my_medlineplus	
витамины для беременных	prenatal vitamin	medication	reference_only	my_medlineplus	
витамины для беременных	prenatal vitamins	medication	reference_only	my_medlineplus	
витилиго, пегая кожа	vitiligo		reference_only	baldwin_reference	
вич	hiv	diagnosis	reference_only	my_medlineplus	
ВИЧ (вирус иммунодефицита человека	Virus		reference_only	baldwin_reference	
ВИЧ-инфекция	infection		reference_only	baldwin_reference	
ВИЧ-инфицированный	infected		reference_only	baldwin_reference	
ВИЧ-инфицированный (человек	HIV-positive		reference_only	baldwin_reference	
ВИЧ-положительный (результат	HIV-positive		reference_only	baldwin_reference	
ВИЧ-статус	status		reference_only	baldwin_reference	
Вклад; вложение средств	Inputs		reference_only	vaccine_pdf_WHO	
вкладыш слухового аппарата	earpiece		reference_only	baldwin_reference	
вклиненный	impacted		reference_only	baldwin_reference	
включающий	inclusive		reference_only	baldwin_reference	
включение	inclusion		reference_only	baldwin_reference	
включённый	included		reference_only	baldwin_reference	
вколоченный	impacted		reference_only	baldwin_reference	
вкус	flavor		reference_only	baldwin_reference	
вкус	taste		reference_only	baldwin_reference	
вкусовая агнозия	agnosia		reference_only	baldwin_reference	
вкусовая клетка	taste		reference_only	baldwin_reference	
вкусовая чувствительность	gustation		reference_only	baldwin_reference	
вкусовой рецептор	receptor		reference_only	baldwin_reference	
вкусовой рецептор	gustatory		reference_only	baldwin_reference	
вкусовые галлюцинации	hallucinations		reference_only	baldwin_reference	
влагалище	sheath		reference_only	baldwin_reference	
влагалищная артерия	vaginal		reference_only	baldwin_reference	
влагалищная артерия	artery		reference_only	baldwin_reference	
влагалищная грыжа	hernia		reference_only	baldwin_reference	
влагалищная диафрагма	diaphragm	other_medical	reference_only	baldwin_reference|my_medlineplus	
влагалищная родоразрешающая операция	AVD		reference_only	baldwin_reference	
влагалищная трихомонада	vaginalis		reference_only	baldwin_reference	
влагалищное зеркало	speculum	procedure	reference_only	baldwin_reference|my_medlineplus	
влагалищное исследование	vaginal		reference_only	baldwin_reference	
влагалищное кесарево сечение	vaginal		reference_only	baldwin_reference	
влагалищное кесарево сечение	section		reference_only	baldwin_reference	
влагалищное кольцо с прогестагеном	ring		reference_only	baldwin_reference	
влагалищное кровотечение	bleeding		reference_only	baldwin_reference	
влагалищное родоразрешение	birth		reference_only	baldwin_reference	
влагалищное родоразрешение	vaginal delivery	procedure	reference_only	my_medlineplus	
влагалищное спринцевание	vaginal		reference_only	baldwin_reference	
влагалищное спринцевание	irrigation		reference_only	baldwin_reference	
влагалищные выделения	discharge		reference_only	baldwin_reference	
влагалищные выделения	vaginal discharge	symptom	reference_only	my_medlineplus	
влагалищный	vaginal		reference_only	baldwin_reference	
влагалищный аминоцентез	amniocentesis		reference_only	baldwin_reference	
влажность, сырость	humidity		reference_only	baldwin_reference	
влажные хрипы	rales		reference_only	baldwin_reference	
влажные хрипы	moist		reference_only	baldwin_reference	
влажный	moist		reference_only	baldwin_reference	
влажный	wet		reference_only	baldwin_reference	
влажный компресс	compress		reference_only	baldwin_reference	
власть	power		reference_only	baldwin_reference	
влечение	attraction		reference_only	baldwin_reference	
влечение	drive		reference_only	baldwin_reference	
вливание	infusion		reference_only	baldwin_reference	
вливание физиологического	saline		reference_only	baldwin_reference	
вливание физиологического раствора	infusion		reference_only	baldwin_reference	
влияние	influence		reference_only	baldwin_reference	
влияние алкоголя на развитие плода	FAE		reference_only	baldwin_reference	
влиять,оказывать влияние	influence		reference_only	baldwin_reference	
вмешательство	interference		reference_only	baldwin_reference	
вмешательство	interruption		reference_only	baldwin_reference	
вмешательство	intervention		reference_only	baldwin_reference	
Вмешательство; мера вмешательства	Intervention, syn. Procedure		reference_only	vaccine_pdf_WHO	
Внедрение, осуществление	Implementation		reference_only	vaccine_pdf_WHO	
внедрять(ся	invade		reference_only	baldwin_reference	
внезапная боль	sudden		reference_only	baldwin_reference	
внезапная боль	pain		reference_only	baldwin_reference	
внезапная/резкая боль	pang		reference_only	baldwin_reference	
внезапные позывы к мочеиспусканию	urinary urgency	symptom	reference_only	my_medlineplus	
внезапный	sudden		reference_only	baldwin_reference	
внезапный позыв к мочеиспусканию	sudden urge to urinate	symptom	reference_only	my_medlineplus	
внезапный прилив	flush		reference_only	baldwin_reference	
внезапный припадок	ictus		reference_only	baldwin_reference	
внеклеточный фермент	extracellular		reference_only	baldwin_reference	
внеклеточный фермент	enzyme		reference_only	baldwin_reference	
внематочная беременность	[gestation]		reference_only	baldwin_reference	
внематочная беременность	pregnancy		reference_only	baldwin_reference	
внематочная беременность	ectopic		reference_only	baldwin_reference	
внематочная трубная	fallopian		reference_only	baldwin_reference	
внематочная трубная беременность	pregnancy		reference_only	baldwin_reference	
внепечёночная желтуха, ангепатическая желтуха	jaundice		reference_only	baldwin_reference	
внесердечный, экзокардиальный (о шумах	exocardial		needs_human_review	baldwin_reference	lost_qualifier:сердечный
внесосудистая жидкость	fluid		reference_only	baldwin_reference	
внесосудистая жидкость	extravascular		reference_only	baldwin_reference	
внесосудистый, экстраваскулярный	extravascular		reference_only	baldwin_reference	
внешнее вращение	external rotation	procedure	reference_only	my_medlineplus	
внешний	outer		reference_only	baldwin_reference	
внешний	outside		reference_only	baldwin_reference	
внешний [наружный] геморрой	hemorrhoids		reference_only	baldwin_reference	
внешний фактор	factor		reference_only	baldwin_reference	
внешний, наружный	external		reference_only	baldwin_reference	
внешний, наружный	extrinsic		reference_only	baldwin_reference	
внешняя лучевая терапия	external radiation therapy	procedure	reference_only	my_medlineplus	
внешняя подвздошная артерия	artery		reference_only	baldwin_reference	
внешняя секреция	exocrine		reference_only	baldwin_reference	
вниз лицом	down		reference_only	baldwin_reference	
внимание	attention		reference_only	baldwin_reference	
внимательность	alertness		reference_only	baldwin_reference	
внутреннее кровотечение	bleeding		reference_only	baldwin_reference	
внутреннее отверстие	opening		reference_only	baldwin_reference	
внутреннее ухо	inner		reference_only	baldwin_reference	
внутреннее ухо	labyrinth		reference_only	baldwin_reference	
внутренние болезни	internal		reference_only	baldwin_reference	
внутренние болезни	diseases		reference_only	baldwin_reference	
внутренние органы, внутренности	viscus		reference_only	baldwin_reference	
внутренний	visceral		reference_only	baldwin_reference	
внутренний геморрой	internal		reference_only	baldwin_reference	
внутренний геморрой	hemorrhoid		reference_only	baldwin_reference	
внутренний мениск	meniscus		reference_only	baldwin_reference	
внутренний мениск	medial		reference_only	baldwin_reference	
внутренний мыщелок плечевой кости	bone		reference_only	baldwin_reference	
внутренний орган	viscera		reference_only	baldwin_reference	
внутренний отит	[labyrinthitis]		reference_only	baldwin_reference	
внутренности	gut		reference_only	baldwin_reference	
внутренности, внутренние органы брюшной полости	alvus		reference_only	baldwin_reference	
внутренняя грудная артерия	artery		reference_only	baldwin_reference	
внутренняя грыжа	entocele		reference_only	baldwin_reference	
внутренняя жизнь	life		reference_only	baldwin_reference	
внутренняя жизнь	inner		reference_only	baldwin_reference	
внутренняя лучевая терапия	internal radiation therapy	procedure	reference_only	my_medlineplus	
внутренняя подвздошная артерия	artery		reference_only	baldwin_reference	
внутренняя секреция	endocrine		reference_only	baldwin_reference	
внутренняя среда	internal		reference_only	baldwin_reference	
внутриартериальное вливание	infusion		reference_only	baldwin_reference	
внутриартериальное переливание	transfusion		reference_only	baldwin_reference	
внутрибольничная инфекция	infection		reference_only	baldwin_reference	
внутривагинальный осмотр	examination		reference_only	baldwin_reference	
внутривенная анестезия	intravenous		reference_only	baldwin_reference	
внутривенная инъекция	injection		reference_only	baldwin_reference	
внутривенная капельница	intravenous line	procedure	reference_only	my_medlineplus	
внутривенная пиелография	IVP		reference_only	baldwin_reference	
внутривенная терапия	therapy		reference_only	baldwin_reference	
внутривенная урография	urography		reference_only	baldwin_reference	
внутривенная химиотерапия	chemotherapy		reference_only	baldwin_reference	
внутривенно	intravenous	other_medical	reference_only	my_medlineplus	
внутривенно	iv	procedure	reference_only	my_medlineplus	
внутривенно (в/в	IV		reference_only	baldwin_reference	
внутривенное введение	intravenous	procedure	reference_only	my_medlineplus	
внутривенное вливание	infusion		reference_only	baldwin_reference	
внутривенное вливание	intravenous		reference_only	baldwin_reference	
внутривенное контрастное вещество	iv contrast	medication	reference_only	my_medlineplus	
внутривенный	IV		reference_only	baldwin_reference	
внутривенный катетер	intravenous	procedure	reference_only	my_medlineplus	
внутривенный катетер	iv catheter	procedure	reference_only	my_medlineplus	
внутривенных вливаний	intravenous	procedure	reference_only	my_medlineplus	
внутриглазная жидкость	fluid		reference_only	baldwin_reference	
внутриглазная жидкость	aqueous		reference_only	baldwin_reference	
внутриглазная опухоль	tumor		reference_only	baldwin_reference	
внутриглазная опухоль	intraocular		reference_only	baldwin_reference	
внутриглазное давление	intraocular pressure	symptom	reference_only	my_medlineplus	
внутриглазное давление (ВГД	IOP		reference_only	baldwin_reference	
внутриглазное кровоизлияние	ocular		reference_only	baldwin_reference	
внутриглазное кровоизлияние	hemorrhage		reference_only	baldwin_reference	
внутригрудное давление	pressure		reference_only	baldwin_reference	
внутригрудной зоб	intrathoracic		reference_only	baldwin_reference	
внутригрудной зоб	goiter		reference_only	baldwin_reference	
внутрижелудочковое давление	pressure		reference_only	baldwin_reference	
внутрижелудочковое кровоизлияние	intraventricular hemorrhage	diagnosis	reference_only	my_medlineplus	
внутрикапиллярное давление	pressure		reference_only	baldwin_reference	
внутриклеточная жидкость	intracellular		reference_only	baldwin_reference	
внутриклеточная жидкость	fluid		reference_only	baldwin_reference	
Внутриклеточные возбудители	Intracellular pathogens		reference_only	vaccine_pdf_WHO	
внутрикожная инъекция	injection		reference_only	baldwin_reference	
внутрикожная проба	test		reference_only	baldwin_reference	
внутрикожная проба	intracuteneous		reference_only	baldwin_reference	
внутрикожная реакция	reaction		reference_only	baldwin_reference	
Внутрикожная туберкулиновая проба	Skin test, syn. Tuberculin test, Mantoux test		reference_only	vaccine_pdf_WHO	
внутрикожно	intracuteneous		reference_only	baldwin_reference	
внутрикожно (в/к	intradermal		reference_only	baldwin_reference	
внутрикожный	endermic		reference_only	baldwin_reference	
внутрикожный	intracuteneous		reference_only	baldwin_reference	
внутрикожный	intradermal		reference_only	baldwin_reference	
Внутрикожный тест	Intradermal (intracutaneous) test		reference_only	vaccine_pdf_WHO	
внутрикостный наркоз	intraosseous		reference_only	baldwin_reference	
внутриматочная гормональная система	IUS		reference_only	baldwin_reference	
внутриматочная инсеминация (ВИ	IUI		reference_only	baldwin_reference	
внутриматочная спираль (ВМС	IUD		reference_only	baldwin_reference	
внутриматочный контрацептив (МЛА	contraceptive		reference_only	baldwin_reference	
внутримозговая гематома	intracerebral hematoma	diagnosis	reference_only	my_medlineplus	
внутримозговое кровоизлияние	intracerebral hemorrhage	diagnosis	reference_only	my_medlineplus	
внутримышечная инъекция	injection		reference_only	baldwin_reference	
Внутримышечная инъекция (в/м	Intramuscular injection (IM/im/i.m. injection		reference_only	vaccine_pdf_WHO	
внутримышечно (в/м	IM		reference_only	baldwin_reference	
внутримышечный	IM		reference_only	baldwin_reference	
внутримышечный наркоз	intramuscular		reference_only	baldwin_reference	
внутриплазматическая инъекция сперматозоида (ИКСИ	ICSI		reference_only	baldwin_reference	
внутрипротоковая карцинома in situ	DCIS		reference_only	baldwin_reference	
внутрисердечный шум	cardiac		reference_only	baldwin_reference	
внутрисуставная инъекция	injection		reference_only	baldwin_reference	
Внутритиповая дифференциация (ВТД	Intratypic differentiation (ITD		reference_only	vaccine_pdf_WHO	
внутритрахеальный зоб	intratracheal		reference_only	baldwin_reference	
внутритрахеальный зоб	goiter		reference_only	baldwin_reference	
внутриутробная инфекция	infection		reference_only	baldwin_reference	
внутриутробная пневмония, врождённая пневмония	pneumonia		reference_only	baldwin_reference	
внутриутробная смертность	mortality		reference_only	baldwin_reference	
внутриутробная смерть	utero		reference_only	baldwin_reference	
внутриутробная смерть	death		reference_only	baldwin_reference	
Внутриутробная смерть	Fetal death (stillbirth		reference_only	vaccine_pdf_WHO	
внутриутробная смерть плода	utero		reference_only	baldwin_reference	
внутриутробное дыхание	fetal		reference_only	baldwin_reference	
внутриутробное дыхание	respiration		reference_only	baldwin_reference	
внутриутробное развитие	development		reference_only	baldwin_reference	
внутриутробный	antenatal		reference_only	baldwin_reference	
внутричерепная гипотензия	hypotension		reference_only	baldwin_reference	
внутричерепная окклюзия	occlusion		reference_only	baldwin_reference	
внутричерепная окклюзия	intracranial		reference_only	baldwin_reference	
внутричерепная опухоль	intracranial		reference_only	baldwin_reference	
внутричерепное давление	pressure		reference_only	baldwin_reference	
внутричерепное кровотечение	hemorrhage		reference_only	baldwin_reference	
внушаемый	suggestible		reference_only	baldwin_reference	
внятный	audible		reference_only	baldwin_reference	
во тсдовокуРля дго оксечиткарпча арв spray - ор тазиревьлуп	Practitioner's		needs_review	akzhigitov_dict	
вогнуто-выпуклый	concavoconvex		reference_only	baldwin_reference	
вогнутый	concave		reference_only	baldwin_reference	
вода	water		reference_only	baldwin_reference	
водная оболочка плода	caul		reference_only	baldwin_reference	
водная пыль	mist		reference_only	baldwin_reference	
водный	aqueous		reference_only	baldwin_reference	
водный	hydrous		reference_only	baldwin_reference	
водный	water		reference_only	baldwin_reference	
водный обмен	exchange		reference_only	baldwin_reference	
водный раствор	liquor		reference_only	baldwin_reference	
водолечение, гидротерапия	hydrotherapy		reference_only	baldwin_reference	
водолечение, гидротерапия	water		reference_only	baldwin_reference	
водолечение, гидротерапия	treatment		reference_only	baldwin_reference	
