# label: Wikidata — болезни (ICD-10) и лекарства (ATC)
# lang: RU→EN
# domains: medical, pharma
# tier: auto
# Собрано backend/authority_data/fetch_wikidata.py.
# Только однозначные в обе стороны пары: если у термина нашлось
# несколько соответствий, он выброшен — приказ не может быть
# двусмысленным, такие термины решает человек.
(+)-псевдоэфедрин	(+)-pseudoephedrine
дальнозоркость	hyperopia
даназол	danazol
дантролен	dantrolene
Дапаглифлозин	dapagliflozin
Дапсон	dapsone
даптомицин	(2R)-daptomycin
Даратумумаб	daratumumab
дарунавир	darunavir
дасабувир	dasabuvir
даунорубицин	daunorubicin
двигательное расстройство	movement disorders
ДВС-синдром	disseminated intravascular coagulation
ДДТ	DDT
Дегенеративно-дистрофическое заболевание диска	degenerative disc disease
дезерпидин	deserpidine
дезинфицирующее средство	disinfectant
дезипрамин	desipramine
дезлоратадин	desloratadine
дезоксикортикостерон	deoxycorticosterone
Дезоксихолевая кислота	deoxycholic acid
дезориентация	disorientation
Декаметилендиметилментоксикарбонилметиламмония дихлорид	(RS)-decamethoxin hydrochloride
декомпрессионная болезнь	decompression sickness
дексаметазон	dexamethasone
дексамфетамин	dextroamphetamine
Дексетимид	dexetimide
Декскетопрофен	dexketoprofen
Дексмедетомидин	dexmedetomidine
дексметилфенидат	dexmethylphenidate
Декспантенол	dexpanthenol
Декстрапозиция	Overriding aorta
Декстрометорфан	dextromethorphan
Декстроморамид	dextromoramide
декстропропоксифен	dextropropoxyphene
Делавирдин	delavirdine
Делафлоксацин	delafloxacin
делирий	delirium
дельтаметрин	deltamethrin
деменция	dementia
Демиелинизирующие заболевания	demyelinating disease
демодекоз	demodicosis
Деперсонализация	depersonalization
депренил	(±)-deprenyl
депрессант	depressant
депрессивное расстройство личности	depressive personality disorder
Дереализация	derealization
Дерматансульфат	dermatan sulfate
дерматоз	skin disease
Дерматомиозит	dermatomyositis
дерматотропное средство	dermatologic drug
Дерматофагоидоз	Dermatophagoides allergy
Десвенлафаксин	desvenlafaxine
десквамация	desquamation
Десмоид	aggressive fibromatosis
десмопрессин	desmopressin
Десневая улыбка	gummy smile
десфлуран	desflurane
детский тип шизофрении	childhood schizophrenia
детское ожирение	childhood obesity
деферазирокс	deferasirox
дефицит 5-альфа-редуктазы	5-alpha-reductase deficiency
дефицит гормона роста	growth hormone deficiency
Дефицит селена	selenium deficiency
дефицит цинка	zinc deficiency
деформация стопы	foot deformity
джетлаг	jet lag
Джозамицин	josamycin
диабетическая ангиопатия	diabetic angiopathy
Диабетическая кома	diabetic coma
диабетическая нейропатия	diabetic neuropathy
диабетическая нефропатия	diabetic nephropathy
диабетическая ретинопатия	diabetic retinopathy
Диабетический кетоацидоз	diabetic ketoacidosis
диазепам	diazepam
диазоксид	diazoxide
диарея	diarrhea
Диарея путешественников	traveler's diarrhea
Диастаз прямых мышц живота	diastasis recti
диастаза	diastase
Диацереин	diacerein
дибутилфталат	dibutyl phthalate
Дивертикул пищевода	Zenker's diverticulum
дивертикулёз	diverticulosis
дивертикулит	diverticulitis
дигидрокодеин	dihydrocodeine
дигидротахистерол	dihydrotachysterol
Дигидротестостерон	dihydrotestosterone
дигидроэрготамин	dihydroergotamine
Дигидроэрготоксин	ergoloid mesylate
дигитоксин	digitoxin
дигоксин	digoxin
дидецилдиметиламония хлорид	didecyldimonium chloride
Дидрогестерон	dydrogesterone
Диеногест	dienogest
дизартрия	dysarthria
дизентерия	dysentery
дизурия	dysuria
Диизопропилфторфосфат	isoflurophate
диклофенак	Diclofenac
дикумарин	dicumarol
дилатация камер сердца	dilated cardiac chambers
дилтиазем	diltiazem
Димеркапрол	dimercaprol
Диметиламиноэтанол	deanol
диметилсульфоксид	dimethyl sulfoxide
Диметилфталат	dimethyl phthalate
диметилфумарат	dimethyl fumarate
динамическая кишечная непроходимость	ileus
динатрия фолинат	Sodium folinate
Динутуксимаб	dinutuximab
Диосмектит	Diosmectite
Диосмин	diosmin
Дипилидиоз	Dipylidium caninum infectious disease
Дипиридамол	dipyridamole
диплопия	diplopia
диритромицин	dirithromycin
Дисгевзия	dysgeusia
Дисгенезия гонад	gonadal dysgenesis
Дисгидроз	pompholyx
дискалькулия	dyscalculia
дискинезия	dyskinesia
дискинетическая форма дцп	dyskinetic cerebral palsy
дислипидемия	lipid metabolism disorder
Дислокация мозга	brain herniation
дисменорея	dysmenorrhea
дисморфомания	delusional dysmorphophobia
дисморфофобия	body dysmorphic disorder
Дисплазия тазобедренного сустава	hip dysplasia
Дисплазия шейки матки	cervical intraepithelial neoplasia
диспрозий	dysprosium
диссоциальное расстройство личности	antisocial personality disorder
Диссоциативная амнезия	dissociative amnesia
Диссоциативная фуга	dissociative fugue
диссоциативное расстройство	dissociative disorder
Диссоциативные конвульсии	psychogenic non-epileptic seizures
дистальный прикус	overjet
Дистигмина бромид	distigmine bromide
дистимия	dysthymic disorder
Дистихиаз	distichia
дистония	dystonia
дистресс плода	fetal distress
Дистрофия колбочек	cone dystrophy
Дистрофия роговицы	corneal dystrophy
дисульфид селена	selenium disulfide
дисульфирам	disulfiram
Дисфагия	dysphagia
дисфония	dysphonia
дисфункциональное маточное кровотечение	abnormal uterine bleeding
дитирозин	nitrendipine
диуретик	diuretic
Дифаллия	diphallia
дифенгидрамин	diphenhydramine
Дифеноксин	difenoxin
дифлунисал	diflunisal
дифтерия	diphtheria
дицикломин	dicyclomine
Диэтиламинопропионилэтоксикарбониламинофенотиазин	ethacizine
диэтиловый эфир	diethyl ether
Диэтилстильбестрол	diethylstilbestrol
диэтилтолуамид	diethyltoluamide
Дневная слепота	hemeralopia
доброкачественное новообразование кожи	skin benign neoplasm
Доброкачественное позиционное пароксизмальное головокружение	benign paroxysmal positional nystagmus
Добутамин	(RS)-dobutamine
додекафторпентан	perfluoropentane
Докозанол-1	docosanol
доксазозин	doxazosin
доксепин	cidoxepin
доксиламин	doxylamine
доксициклин	doxycycline
доксорубицин	doxorubicin
Доласетрон	dolasetron
долгосрочные эффекты бензодиазепинов	long-term effects of benzodiazepines
Долихокефалия	dolichocephaly
Долихоколон	dolichocolon
долутегравир	dolutegravir
домашнее насилие	domestic violence
домперидон	domperidone
донепезил	donepezil
дополнительное ребро	extra rib
Доравирин	doravirine
дорзоламид	dorzolamide
дорожно-транспортное происшествие	traffic collision
Дорсопатия	dorsopathy
дофамин	dopamine
дофаминомиметик	dopamine agonist
доцетаксел	docetaxel
дроперидол	droperidol
дротаверин	drotaverine
другое уточнённое диссоциативное расстройство	dissociative disorder not otherwise specified
дряхлость	senility
Дупилумаб	dupilumab
Дыхание Чейна — Стокса	Cheyne–Stokes respiration
желатин	gelatin
Железа глюконат	iron(II) gluconate
Железодефицитная анемия	iron deficiency anemia
желтуха	jaundice
Желудочковая экстрасистолия	premature ventricular contraction
желудочно-кишечное кровотечение	gastrointestinal bleeding
Желудочно-кишечные средства	gastrointestinal agent
желудочное кровотечение	stomach bleeding
желчнокаменная непроходимость кишечника	gallstone ileus
жёлчные камни	gallstone
женское бесплодие	female infertility
жир печени трески	cod liver oil
заболевание	illness
заболевание брюшины	peritoneal disease
заболевание вегетативной нервной системы	autonomic nervous system disease
заболевание желудка	stomach disease
заболевание периферических артерий	peripheral artery disease
заболевание яичников	ovarian disease
заболевание, передающиеся половым путём	sexually transmitted infection
заболевания женской репродуктивной системы	female reproductive system disease
заболевания мочеполовой системы	genitourinary system disease
забрюшинное кровотечение	retroperitoneal hemorrhage
зависимое расстройство личности	dependent personality disorder
Заглоточный абсцесс	retropharyngeal abscess
Задержка полового созревания	delayed puberty
задержка роста плода	intrauterine growth restriction
заикание	stuttering
Залеплон	zaleplon
Заменитель молока	milk substitute
заместительная гормональная терапия	menopausal hormone therapy
занамивир	zanamivir
запах тела	body odor
затруднённые роды	obstructed labor
зафирлукаст	zafirlukast
Зверобой продырявленный	Hypericum perforatum
зидовудин	zidovudine
Зиконотид	ziconotide
Зимелидин	zimelidine
зипрасидон	ziprasidone
злокачественная опухоль	cancer
злокачественный нейролептический синдром	neuroleptic malignant syndrome
злоупотребление анаболическими андрогенными стероидами	anabolic-androgenic steroids abuse
злоупотребление веществом	substance abuse
злоупотребление тианептином	tianeptine abuse
змеиный укус	snakebite
золедроновая кислота	zoledronic acid
золпидем	zolpidem
Зомепирак	zomepirac
Зонисамид	zonisamide
зоофилия	zoophilia
зоофобия	animal phobia
зопиклон	zopiclone
зотепин	zotepine
зрительная галлюцинация	visual hallucination
зубная болезнь	dental disease
зубная боль	toothache
зуд	itch
зуклопентиксол	zuclopenthixol
Ибализумаб	ibalizumab
Ибандроновая кислота	ibandronic acid
ибрутиниб	ibrutinib
ибупрофен	ibuprofen
ивабрадин	ivabradine
ивермектин	ivermectin
идарубицин	idarubicin
Идаруцизумаб	Idarucizumab
Идебенон	idebenone
Идиопатическая гиперсомния	idiopathic hypersomnia
Идиосинкразическая реакция на лекарство	idiosyncratic drug reaction
идиот	idiot
идоксуридин	idoxuridine
избыточная масса тела	overweight
изжога	heartburn
изменение личности	personality change
изменение текстуры кожи	change in skin texture
Изоамилнитрит	n-pentyl nitrite
изокарбоксазид	isocarboxazid
изониазид	isoniazid
изопреналин	isoprenaline
изопропиловый спирт	isopropyl alcohol
изосорбида динитрат	isosorbide dinitrate
изосорбида мононитрат	isosorbide mononitrate
Изоспороз	cystoisosporiasis
изотретиноин	isotretinoin
изофлуран	isoflurane
икота	hiccups
икотиниб	icotinib
Иксекизумаб	ixekizumab
Иксодиоз	tick infestation
Илоперидон	iloperidone
иматиниб	imatinib
имиглюцераза	imiglucerase
имипрамин	imipramine
Иммерсионная стопа	immersion foot syndrome
иммунное расстройство	immune disorder
иммунодепрессант	immunosuppressive drug
иммунодефицит	immunodeficiency
Иммуностимуляторы	immunostimulant
имунная сыворотка	antiserum
инвертный сахар	invert sugar
ингибитор АПФ	ACE inhibitor
ингибитор моноаминоксидазы	monoamine oxidase inhibitor
ингибитор протеинкиназ	protein kinase inhibitors
Ингибиторы нейраминидазы	neuraminidase inhibitor
ингибиторы фибринолиза	antifibrinolytic
индапамид	indapamide
индигокармин	indigotindisulfonate sodium
индометацин	indomethacin
Индурация	Induration
индуцированное бредовое расстройство	folie à deux
инкатибант	icatibant
Инклисиран	inclisiran
Инозин	inosine
Инозин пранобекс	inosine pranobex
инозитол	inositol
инородное тело	foreign body
Инотузумаб озогамицин	inotuzumab ozogamicin
инсулин Лиспро	Insulin Lispro
инсулинома	insulinoma
интенционный тремор	intention tremor
Интерлейкины	interleukins
Интерстициальный нефрит	interstitial nephritis
Интерферон	interferon
интоксикационный психоз	substance-induced psychosis
инфаркт миокарда	myocardial infarction
Инфаркт мышцы конечности	limb infarction
инфекционное заболевание	infectious disease
Инфекционный мононуклеоз	infectious mononucleosis
инфекционный психоз	infective psychosis
инфекционный эндокардит	infective endocarditis
инфекция верхних дыхательных путей	upper respiratory tract infection
инфестация	infestation
инфликсимаб	infliximab
Инфлювак	Influvac
иодид калия	potassium iodide
иодоформ	iodoform
Иопромид	iopromide
Иохимбин	yohimbine
ипидакрин	ipidacrine
ипилимумаб	ipilimumab
ипохондрическая шизофрения	hypochondriacal schizophrenia
Ипратропия бромид	ipratropium bromide
Ипрониазид	iproniazid
Иридодиализ	Iridodialysis
иринотекан	irinotecan
ирит	iritis
искривление перегородки носа	deviated septum
истерическое расстройство личности	histrionic personality disorder
истинный гермафродитизм	true hermaphroditism
итраконазол	itraconazole
ифосфамид	ifosfamide
Ихтиоз	ichthyosis
ишемическая болезнь сердца	arteriosclerotic heart disease
Ишемическая оптическая нейропатия задняя	posterior ischemic optic neuropathy
ишемия мозга	brain ischemia
ишиас	sciatica
Йодинол	Iodinolum
Йододефицит	iodine deficiency
Йодолипол	ethiodized oil
Йодсодержащие контрастные препараты	Iodinated contrast
каберголин	cabergoline
Кабивен	Kabiven
казнь через повешение	execution by hanging
калий	potassium
кальцитриол	calcitriol
Кальция добезилат	calcium dobesilate
Каменноугольная смола	coal tar
Камостат	camostat
кампилобактериоз	campylobacteriosis
камфора	camphor
Канакинумаб	canakinumab
Канамицин	kanamycin
кангрелор	cangrelor
кандесартан	candesartan
каннабидиол	cannabidiol
Капецитабин	capecitabine
Капиллярит	Capillaritis
Каплацизумаб	caplacizumab
Капреомицин	capreomycin
капсаицин	capsaicin
Капсикам	Kapsikam
каптоприл	captopril
карбамазепин	carbamazepin
Карбапенемы	carbapenem antibiotic
Карбахол	carbachol
карбетоцин	carbetocin
карбонат кальция	calcium carbonate
карбонат магния	magnesium carbonate
карбоплатин	carboplatin
карбофос	malathion
Карбункул	carbuncle
карведилол	carvedilol
Кардиогенный шок	cardiogenic shock
Кардиомегалия	cardiomegaly
кардиомиопатия	cardiomyopathy
Карельская лихорадка	Pogosta disease
кариес зубов	Dental caries
карипразин	cariprazine
карисопродол	carisoprodol
карликовость	dwarfism
Кармустин	carmustine
карциноид	carcinoid tumor
карциноидный синдром	carcinoid syndrome
карцинома	carcinoma
касторовое масло	castor oil
каталепсия	catalepsy
Катаплексия	cataplexy
кататоническая шизофрения	catatonic schizophrenia
кататонический синдром	catatonia
Катафрения	catathrenia
катин	(+)-norpseudoephedrine
Кахексия	cachexia
Квадрантанопия	quadrantanopia
квазепам	quazepam
Квассия	Quassia
квасцы	alum
Квашиоркор	kwashiorkor
кверулянтная паранойя	querulous paranoia
кветиапин	quetiapine
келоид	keloid
Кератоглобус	Keratoglobus
Кератолиз	pitted keratolysis
кераунопатия	keraunopathy
кетамин	(RS)-ketamine
кетансерин	ketanserin
кетобемидон	ketobemidone
кетоконазол	ketoconazole
Кетонурия	ketonuria
кетопрофен	(RS)-ketoprofen
кеторолак	ketorolac
Кетотифен	ketotifen
Кефалогематома	cephalohematoma
Кивательный синдром	nodding disease
кислород	oxygen
кислородное отравление	oxygen toxicity
Киста Бейкера	Baker's cyst
Киста жёлтого тела	corpus luteum cyst
Киста поджелудочной железы	pancreatic cyst
Кифоз	abnormal kyphosis
Кифосколиоз	kyphoscoliosis
Кишечный каппиляриоз	intestinal capillariasis
Кишечный миаз	gastrointestinal myiasis
кладрибин	cladribine
кларитромицин	clarithromycin
кластерные головные боли	cluster headache
клаустрофобия	claustrophobia
клемастин	clemastine
кленбутерол	(RS)-clenbuterol
Клетки Гюртле	Hurthle cell
клещевая сенсибилизация	dust mite allergy
Клещевой паралич	tick paralysis
климакс	climacteric
клиндамицин	clindamycin
Клинический анализ мочи	urinalysis
клинический вампиризм	clinical vampirism
Клиторомегалия	clitoromegaly
клобазам	clobazam
клобетазол	clobetasol
Клодроновая кислота	clodronic acid
клозапин	clozapine
кломипрамин	clomipramine
клоназепам	clonazepam
клонидин	clonidine
Клопидогрел	clopidogrel
Клоразепат	clorazepic acid
Клостилбегит	clomifene
клотиапин	clotiapine
клотримазол	clotrimazole
коарктация аорты	coarctation of the aorta
кобамамид	cobamamide
кобицистат	cobicistat
Ковыряние в носу	nose-picking
кодеин	codeine
Кожевниковская эпилепсия	epilepsia partialis continua
Кожная аутосенсибилизация	Autosensitization dermatitis
Кожный миаз	dermal myiasis
кокаин	cocaine
кокаиновая интоксикация	cocaine intoxication
коклюш	pertussis
Кокцигодиния	coccydynia
кокцидиомикоз	coccidioidomycosis
колестирамин	colestyramine
колика	colic
колистин	colistin
коллаген	collagen
колоректальный рак	colorectal cancer
колото-резаная рана	stab wound
кольпит	vaginitis
Кольца Кайзера — Флейшера	Kayser–Fleischer ring
кома	coma
Комедогенность	acne cosmetica
Кондуктивная тугоухость	conductive hearing loss
констриктивный перикардит	constrictive pericarditis
Консультация по питанию	dietary counselling
Контрактура	contracture
Контрактура Дюпюитрена	Dupuytren's contracture
контрастно-индуцированная нефропатия	contrast-induced nephropathy
контрастное вещество	contrast agent
конъюнктивит	conjunctivitis
копаксон	glatiramer acetate
копрофилия	coprophilia
корабельная авария	maritime accident
корень алтея	althea root
коронавирусная инфекция	coronavirus disease
коронавирусы	Coronavirus
Короткая уздечка языка	ankyloglossia
кортизол	cortisol
кортизон	cortisone
кортикостероиды	corticosteroid
косметика	cosmetics
костная резорбция	bone resorption
костный морфогенетический белок	bone morphogenetic protein
кофеин	caffeine
кофеинизм	caffeine dependence
Краниофарингиома	craniopharyngioma
крапивница	urticaria
Крауроз вульвы	kraurosis vulvae
креатинфосфорная кислота	phosphocreatine
креозот	creosote
Кретинизм	cretinism
Кривошея	torticollis
Криптококкоз	cryptococcosis
криптоспоридиоз	cryptosporidiosis
Криптотия	Cryptotia
Криптофтальм	cryptophthalmos
кристаллический фиолетовый	crystal violet
Кровоизлияние в сетчатку	retinal haemorrhage
Кровоизлияние в стекловидное тело	vitreous hemorrhage
кровотечение	bleeding
кровохарканье	hemoptysis
Кромоглициевая кислота	cromoglicic acid
Крофелемер	crofelemer
Круп	croup
Крупнобляшечный парапсориаз	Large plaque parapsoriasis
Ксантелазма	xanthelasma
ксантин	xanthines
ксенон	xenon
ксенон-127	xenon-127
ксенон-133	xenon-133
ксеростомия	xerostomia
Ксилометазолин	xylometazoline
Куриный клещ	Dermanyssus gallinae
лабеталол	labetalol
Лавандовое масло	lavender oil
Лактитол	lactitol
лактобациллы	Lactobacillus
лактостаз	Milk stasis
Лактулоза	β-lactulose
Ламеллярный ихтиоз	lamellar ichthyosis
Ламивудин	lamivudine
Ламивудин/Зидовудин	lamivudine/zidovudine
ламотриджин	lamotrigine
лансопразол	lansoprazole
лапатиниб	lapatinib
Лаппаконитина гидробромид	lappaconitine hydrobromide
ларингит	laryngitis
Ларингоспазм	laryngospasm
латанопрост	latanoprost
латентная шизофрения	latent schizophrenia
Латентный туберкулёз	latent tuberculosis
Латиризм	lathyrism
Латродектизм	Latrodectism
лаурилсульфат натрия	sodium lauryl sulfate
Левамизол	levamisole
Левацетилметадол	levomethadyl acetate
Левобупивакаин	levobupivacaine
леводопа	levodopa
Леводропропизин	levodropropizine
Левокарнитин	carnitine
левомепромазин	levomepromazine
левоноргестрел	levonorgestrel
Левосимендан	levosimendan
левосульпирид	levosulpiride
левофлоксацин	levofloxacin
левоцетиризин	levocetirizine
легастения	dysorthography
лёгочный сурфактант	pulmonary surfactant
Лёгочный талькоз	pneumoconiosis due to talc
лёгочный фиброз	pulmonary fibrosis
Лейкодистрофия	leukodystrophy
Лейконихия	leukonychia
Лейкоплакия	leukoplakia
Лейкоцитоз	leukocytosis
Лейкоцитурия	pyuria
лейомиома	leiomyoma
лекарственная аллергия	drug allergy
леналидомид	(RS)-lenalidomide
лефлуномид	leflunomide
лечение облысения	management of baldness
Лиганды рецептора инсулина	insulin analog
лидокаин	lidocaine
лиздексамфетамин	lisdexamfetamine
Лизергол	lisuride
лизиноприл	lisinopril
Лизосомные болезни накопления	lysosomal storage disease
лимонная кислота	citric acid
лимфаденопатия	lymphadenopathy
лимфатическая мальформация	vascular malformation
лимфома	lymphoma
лимфома Беркитта	Burkitt lymphoma
Лимфома щитовидной железы	thyroid lymphoma
Лимфостаз	lymphedema
Лимфоцитарная инфильтрация Джесснера–Канофа	cutaneous lymphoid hyperplasia
Лимфоцитоз	lymphocytosis
линаглиптин	linagliptin
Линаклотид	linaclotide
Лингватулёз	Linguatulosis
линезолид	linezolid
линкозамиды	lincosamides
линкомицин	lincomycin
липоевая кислота	(RS)-thioctic acid
Липома	lipoma
Липотропные препараты	lipotropic
литейная лихорадка	metal fume fever
лихорадка	fever
лихорадка денге	dengue fever
Лихорадка Западного Нила	West Nile fever
Лихорадка Зика	Zika fever
Лихорадка неясного генеза	fever of unknown origin
лихорадка от кошачьих царапин	cat-scratch disease
Лихорадка паппатачи	phlebotomus fever
Лобно-височная деменция	frontotemporal dementia
ловастатин	lovastatin
логорея	logorrhea
ложная беременность	false pregnancy
лозартан	losartan
локсапин	loxapine
Локсосцелизм	loxoscelism
ломефлоксацин	lomefloxacin
Ломустин	lomustine
Лонидамин	lonidamine
Лоперамид	loperamide
Лопинавир/Ритонавир	lopinavir/ritonavir
лоразепам	lorazepam
лоратадин	loratadine
Лорноксикам	lornoxicam
Лубипростон	lubiprostone
лудомания	problem gambling
Лумиракоксиб	lumiracoxib
луразидон	lurasidone
лучевая болезнь	radiation sickness
Лучевой ожог	radiation burn
льняное семя	flaxseed
люмбаго	lower back pain
мазохистическое расстройство личности	self-defeating personality disorder
макроглобулинемия Вальденстрёма	Waldenström macroglobulinemia
Макроглоссия	macroglossia
Макропсия	macropsia
Макроцефалия	macrocephaly
макулярная эдема	macular retinal edema
Мальабсорбция	malabsorption
Мальабсорбция фруктозы	fructose malabsorption
Мальформация Арнольда — Киари	Arnold-Chiari malformation
малярия и беременность	pregnancy-associated malaria
Мангафодипир	mangafodipir
маниакальный синдром	mania
маниакальный эпизод	manic episode
Манносульфан	mannosulfan
мантийноклеточная лимфома	mantle cell lymphoma
мапротилин	maprotiline
Маравирок	maraviroc
Марсельская лихорадка	boutonneuse fever
масса в грудной клетке	mass in chest
Мастит	mastitis
материнская смертность	maternal death
Матка Кувелера	Couvelaire uterus
маточное кровотечение	vaginal bleeding
Мебгидролин	mebhydrolin
Мебеверин	mebeverine
Мебендазол	mebendazole
Мебикар	Mebicar
мегалобластная анемия	megaloblastic anemia
мегауретер	megaureter
мегестрол ацетат	megestrol acetate
Медазепам	medazepam
медроксипрогестерон	medroxyprogesterone
Медуллярный рак щитовидной железы	thyroid medullary carcinoma
Межпозвоночная грыжа	spinal disc herniation
Межрёберная невралгия	intercostal neuralgia
Мезаденит	mesenteric adenitis
Меклофеноксат	meclofenoxate
Мекониевый илеус	meconium ileus
меланома	melanoma
Меларсопрол	melarsoprol
мелатонин	melatonin
мелена	melena
мелоксикам	meloxicam
мелореостоз	melorheostosis
мелфалан	melphalan
Мельдоний	meldonium
мемантин	memantine
менадион	menadione
менингизм	meningism
менингококковая вакцина	meningococcal vaccine
Менингококковая инфекция	meningococcal disease
менопауза	menopause
менопаузальные и постменопаузальные расстройства	menopausal and postmenopausal disorder
меноррагия	menorrhagia
менструальное расстройство	menstrual disorder
Мепакрин	quinacrine
Мепартрицин	mepartricin
Мепивакаин	mepivacaine
Меполизумаб	mepolizumab
мепробамат	meprobamate
Мептазинол	meptazinol
меркаптопурин	mercaptopurine
меркурохром	merbromin
меропенем	meropenem
Меропенем/Ваборбактам	meropenem/vaborbactam
мертворождаемость	stillbirth
Мертиолят	thiomersal
месалазин	mesalazine
месоридазин	mesoridazine
Местеролон	mesterolone
местный анестетик	local anesthetic
метаболический алкалоз	metabolic alkalosis
метаболический ацидоз	metabolic acidosis
метаболическое заболевание	metabolic disease
метадон	(RS)-methadone
Метаквалон	methaqualone
метамизол натрия	metamizole sodium
Метандиенон	methandrostenolone
метастазы в костях	bone metastasis
Метастронгилёз	metastrongylosis
метатарзалгия	metatarsalgia
метеоризм	tympanites
метилдопа	methyldopa
метиленовый синий	methylene blue
метилкобаламин	methylcobalamin
Метилналтрексона бромид	methylnaltrexone bromide
Метилоксипропилцеллюлоза	hypromellose
метилпентинол	meparfynol
метилпреднизолон	methylprednisolone
метилтестостерон	methyltestosterone
метилфенидат	methylphenidate
метилцеллюлоза	methyl cellulose
Метилэргометрин	methylergonovine
Метисазон	metisazone
Метисергид	methysergide
метициллин	methicillin
Метогекситал	methohexital
метокарбамол	methocarbamol
метоклопрамид	metoclopramide
Метоксифлуран	methoxyflurane
метопимазин	metopimazine
метопролол	(RS)-metoprolol
метотрексат	methotrexate
Метрелептин	metreleptin
метронидазол	metronidazole
метформин	metformin
мефенамовая кислота	mefenamic acid
Мефенорекс	mefenorex
мефлохин	mefloquine
Мехлоретамин	mechlorethamine
миалгия	myalgia
миансерин	(RS)-mianserin
мибефрадил	mibefradil
мивакурия хлорид	mivacurium
мигрень	migraine
мидазолам	midazolam
Мидекамицин	midecamycin
Мидодрин	midodrine
мидриаз	mydriasis
Миелит	myelitis
миелодиспластический синдром	myelodysplastic syndrome
мизопростол	misoprostol
Микафунгин	micafungin
микоплазма	Mycoplasma
Микропсия	micropsia
микроскопический полиангиит	microscopic polyangiitis
Микростомия	microstomia
Микротия	microtia
Микседематозная кома	Myxedema coma
миксома сердца	myxoma
Милиум	Milium
Милнаципран	milnacipran
милтефозин	miltefosine
Минамата	Minamata disease
Миндальная кислота	(RS)-mandelic acid
минералокортикоид	mineralocorticoid
миноксидил	minoxidil
миноциклин	minocycline
Миоглобинурия	myoglobinuria
миоз	miosis
Миокимия	myokymia
Миоклония	myoclonus
миорелаксанты	muscle relaxant
Миотония	myotonia
миристилсульфат	myristyl sulfate
миртазапин	mirtazapine
митоксантрон	mitoxantrone
митомицин	mitomycins
митотан	(RS)-mitotane
мифепристон	mifepristone
Младенческая колика	baby colic
многоплодная беременность	multiple pregnancy
Многоформная экссудативная эритема	erythema multiforme
Множественная эндокринная неоплазия	multiple endocrine neoplasia
множественные отклонения	multiple abnormalities
модафинил	modafinil
Мозжечковая атаксия	cerebellar ataxia
моклобемид	moclobemide
моксифлоксацин	moxifloxacin
моксонидин	moxonidine
молоткообразная деформация пальцев стопы	hammer toe
молочная болезнь Педжета	mammary Paget's disease
Молочная смесь	infant formula
Мометазон	mometasone furoate
Монгольское пятно	Mongolian spot
монобензон	monobenzone
Моноклональная гаммапатия	monoclonal gammopathy
монокулярная диплопия	monocular diplopia
Монорхизм	Monorchism
моносомия	monosomy
Монофторофосфат натрия	sodium monofluorophosphate
Моноцитоз	monocytosis
монтелукаст	montelukast
морская болезнь	seasickness
морфин	morphine
моторное расстройство	motor disorder
мочевина	urea
моэксиприл	moexipril
Мраморность кожи	cutis marmorata telangiectatica congenita
муковисцидоз	cystic fibrosis
муколипидоз	mucolipidosis
Муколитические средства	mucolytic
мукормикоз	mucormycosis
мультисистемная атрофия	multiple system atrophy
мупироцин	mupirocin
мушки летающие	floater
мышечная атрофия	muscle atrophy
мышечная гипотония	hypotonia
Мышечная дистрофия Беккера	Becker muscular dystrophy
Наботова киста	Nabothian cyst
набуметон	nabumetone
Надифлоксацин	nadifloxacin
надолол	nadolol
Назальный миаз	nasopharyngeal myiasis
назофарингит	nasopharyngitis
налбуфин	nalbuphine
Налдемедин	naldemedine
налидиксовая кислота	nalidixic acid
Налмефен	nalmefene
Налоксегол	naloxegol
налоксон	naloxone
налорфин	Nalorphine
налтрексон	naltrexone
Нандролона деканоат	nandrolone
Нанофиетоз	Nanophyetiasis
нападение	assault
напроксен	naproxen
наратриптан	naratriptan
нарколепсия	narcolepsy
Наркотин	noscapine
наружный отит	otitis externa
наруше́ния фетального алкогольного спектра	fetal alcohol spectrum disorders
нарушение пигментации	pigmentation disorder
нарушение слуха	deafness
нарушения зрения	visual impairment
нарушенное сердцебиение	palpitation
Наследственная остеодистрофия Олбрайта	Albright's hereditary osteodystrophy
Наследственный ангионевротический отёк	hereditary angioedema
наследственный центральный несахарный диабет	hereditary central diabetes insipidus
насморк	runny nose
натамицин	natamycin
Натрия ауротиомалат	gold monosodium thiomalate
Натрия салицилат	sodium salicylate
Натрия фосфаты	sodium phosphates
натуральная оспа	smallpox
Нафазолин	naphazoline
Неалкогольная жировая болезнь печени	metabolic dysfunction–associated steatotic liver disease
небиволол	nebivolol
Невербальное расстройство обучения	non-verbal learning disorder
Невирапин	nevirapine
Невралгия	neuralgia
неврастения	neurasthenia
Невринома	neurilemmoma
невринома слухового нерва	vestibular schwannoma
неврит	neuritis
невроз	neurosis
неврома мортона	Morton's neuroma
невротическая экскориация	excoriation disorder
Невус Беккера	Becker's nevus
невысокий рост	short stature
Негонококковый уретрит	non-gonococcal urethritis
недержание кала	fecal incontinence
недержание мочи	urinary incontinence
недифференцированная шизофрения	undifferentiated schizophrenia
недоедание	malnutrition
недоношенный ребёнок	preterm infant
недостаточная масса тела	underweight
Недостаточность конвергенции	convergence insufficiency
Недостаточность тетрагидробиоптерина	tetrahydrobiopterin deficiency
