source_text,target_text,quality,notes,tm_status
раздвоение сознания,consciousness,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
клизма с двойным контрастированием,enema,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
исследование методом двойного контрастирования,examination,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
рентгенография с двойным контрастированием,radiography,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
рентгенография с двойным контрастированием,roentgenography,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
двойное перекрёстное исследование,trial,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
чашка Петри,dish,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
двойное оплодотворение,fertilization,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
двойной перелом,fracture,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
гистаминовая двойная проба,test,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
индуцированный психоз,insanity,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
удвоенная почка,double kidney,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
двойная жизнь,life,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
раздвоение личности,double personality,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
двусторонняя пневмония,pneumonia,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
двойная окраска,double stain,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
двойной желудок,double stomach,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
двунаправленная тахикардия,tachycardia,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
двойной мочеточник,double ureter,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"диплопия, двоение зрения",vision,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"диплофония, дифтонгия",double voice,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
метод двойных,double-antibody assay,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
радиоиммуноанализ методом двойных антител/двойной системы антител,double-antibody radioimmunoassay,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
иммуноферментный анализ методом двойных антител/двойной системы антител,double-antibody enzyme immunoassay,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
двуствольная энтеростомия,enterostomy,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
двойной слепой метод,double-blind method,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
двойное перекрёстное,double-crossover trial,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
зажим с двойной кривизной,forceps,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
скальпель/нож с двойным лезвием,knife,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
мостовидный лоскут,graft,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
двулоскутная ампутация,amputation,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
двузубчатые щипцы,forceps,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
двухступенчатая операция,surgery,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
двуспиральная ДНК,DNA,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
двуспиральный,double-stranded,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
спринцевание,douche,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
спринцовка,bag,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"дула, специалист по сопровождению родов",doula,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
синдром Дауна,Down syndrome,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
волочащийся; тянущий,dragging,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
волочащаяся походка,gait,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
дренаж; дренировать,drain,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
дренирование,drainage,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
дренажная трубка,tube,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
серозное отделяемое,serous,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
трубчатый дренаж,tube,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
венозный отток,venous,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
драмамин,dramamine,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
(surgical) хирургическая простыня/ ширма/салфетка; защитная плёнка,drape,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
натягивать; растягивать; вытягивать; удлинять,draw,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
вдыхать; вбирать; втягивать,in,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
забор крови; забирать кровь,blood,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"сновидение, сон; видеть сон; сниться",dream,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"серповидный эритроцит, дрепаноцит",drepanocyte,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
одевать(ся); перевязывать (рану),dress,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
перевязать рану,wound,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
одевание; перевязочный материал; повязка,dressing,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
передвижной инструментальный [медицинский] столик,cart,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
корнцанг,forceps [packer],strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
перевязочная,room,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
перевязочный стол,table,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
адгезивная повязка,adhesive,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
сухая повязка,dry,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
давящая повязка,pressure,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"бурав, дрель, сверло; бормашина; сверлить; буравить",drill,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
бормашина,dental,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
пить,drink,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
употреблять алкоголь,alcohol,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
алкоголик; больной алкоголизмом,drinker,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
боксовый респиратор,Drinker respirator,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
пьянство; алкоголизм,drinking,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
культура употребления алкогольных напитков,culture,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
фонтанчик с питьевой водой,fountain,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
питьевая вода,water,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
капать; капающая жидкость; капельное внутривенное вливание; капельная клизма,drip,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
капельный наркоз,anesthesia,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
капельное переливание,transfusion,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
побуждение; драйв; влечение; стремление; потребность,drive,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
вторичная потребность,learned,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
первичная потребность,primary,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
дромограф,dromograph,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
дромомания (патологическое влечение к перемене мест),dromomania,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
дромофобия,dromophobia,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
пускать слюну,drool,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
слюнотечение,drooling,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
свисать; склоняться,droop,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
капля,drop,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
капельное сердце,heart,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
капля; капелька,droplet,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
капельная культура,culture,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
пипетка,dropper,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
капли,drops,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
капли от кашля,cough,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
капли в нос,nasal,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
водянка,dropsy,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
сонливость; дремота,drowsiness,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
засыпающий; сонный,drowsy,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"лекарство, лекарственное средство, медикамент, лекарственный препарат; наркотик",drug,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
наркоман; наркозависимый,addict,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"лекарственная зависимость; наркотическая зависимость, наркозависимость",addiction,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
врач-нарколог,physician,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"аллергия на лекарственные препараты, лекарственная [медикаментозная] аллергия",allergy,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
лекарственная лихорадка,fever,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
взаимодействие с другими лекарственными средствами,interaction,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
лекарственная непереносимость,intolerance,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
лекарственная интоксикация,intoxication,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
передозировка,overdose,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
лекарственная [медикаментозная] сыпь,rash,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"отзыв лекарственного средства, снятие с продажи",recall,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
схема медикаментозного лечения,regimen,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
устойчивость к медикаментам,resistance,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
безопасность лекарства,safety,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
побочное действие лекарственного препарата,effect,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
аптека,store,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
фармакотерапия,therapy,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
лекарственная переносимость,tolerance,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
наркомания,use,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
стент с лекарственным покрытием (элюирующий лекарство),-eluting stent,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
лекарственно-устойчивый,-fast,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"лекарственно вызванный, лекарственно индуцированный, фармакогенный",-induced,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
медикаментозный запор,constipation,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
фармакогенный делирий,delirium,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
лекарственно индуцированное заболевание,disease,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
медикаментозная гипогликемия,hypoglycemia,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
медикаментозная желтуха,jaundice,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
лекарственно индуцированный псориаз,psoriasis,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
медикаментозный сон,sleep,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
лекарственная крапивница,urticaria,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
лекарственно-устойчивый,-resistant,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
лекарственно-устойчивый штамм,strain,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
антинаркотический тест; допинг- контроль,test,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
антинаркотическое тестирование; допинг-контроль,testing,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
наркоман,user,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
наркоманы,users,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
анализ использования лекарственных средств,review,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
болеутоляющее средство,analgesic,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
анестезирующее средство,anesthetic,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
противогрибковое средство,antifungal,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
препарат для лечения,anti-obesity,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
антиретровирусное средство,antiretroviral,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
базисные препараты при ревматоидном артрите,disease-modifying antirheumatic s (DMARDS),strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
гемостатическое средство,hemostatic,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
гипотензивное средство,hypotensive,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
инъекционный наркотик,injecting,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
употребление наркотиков,injecting use,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
психотропное средство,(MAD),strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
употребление наркотиков неинъекционным путём; неинъекционная наркомания,non-injecting use,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
нестероидные противовоспалительные препараты (НПВП),(NSAIDs),strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
допинг,performance-enhancing,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
рецептурный препарат,prescription,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
психоактивное вещество,psychoactive,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
успокаивающее средство,sedative,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
наркотик,street,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
аптека,drugstore,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
среднее ухо; барабанная перепонка; стерилизационная коробка,drum,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
пьяный; алкоголик,drunk,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
пьянство; алкоголизм; алкогольное опьянение,drunkenness,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"старческая бляшка, друза",druse,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
сухой; сушить,dry,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
сухой компресс,compress,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
непродуктивный кашель; сухой кашель,cough,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
сухая повязка,dressing,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
сухая экзема,dry eczema,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
сухость в глазах,dry eyes,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
стерилизация сухим жаром,sterilization,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
сухие роды,labor,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
сухой ларингит,dry laryngitis,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
сухость во рту,dry mouth,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
сухой перикардит,pericarditis,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
сухой фарингит,dry pharyngitis,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
сухой плеврит,dry pleurisy,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
сухие хрипы,dry rales,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
сухая кожа,dry skin,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
сухой язык,tongue,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
сухая вакцина,dry vaccine,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
сухость,dryness,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
двойной; двойственный,dual,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
проток; канал; ход,duct,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
семявыносящий проток,deferent,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
семявыбрасывающий проток,ejaculatory,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
выводящий проток,excretory,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
жёлчный проток,gall,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
слёзный проток,lacrimal,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
лимфатический проток,lymphatic,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
слёзно-носовой проток,nasolacrimal,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
проточек; каналец,ductule,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
срок родов,due date,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
группа крови Даффи,blood group,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
тупой; приглушённый,dull,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
тупая боль,pain,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"немой; скрытый, латентный",dumb,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
немота,dumbness,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"плацебо; макет, модель",dummy,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
дуоденальный; относящийся к двенадцатиперстной кишке,duodenal,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
дуоденальный сок,duodenal juice,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
дуоденальный зонд,duodenal tube,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
язва двенадцатиперстной,ulcer,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"дуоденит, воспаление двенадцатиперстной кишки",duodenitis,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
дуоденохолангит,duodenocholangitis,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
дуоденоэктомия,duodenoectomy,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
дуоденоэнтеростомия,duodenoenterostomy,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
дуоденограмма,duodenogram,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
дуоденография,duodenography,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
дуоденорафия,duodenorrhaphia,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
дуоденоскопия (глотание,duodenoscopy,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
дуоденостомия,duodenostomy,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
дуоденотомия,duodenotomy,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
двенадцатиперстная кишка,duodenum,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
твёрдая оболочка головного мозга,dura mater,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
пазуха твёрдой мозговой оболочки,sinus,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
прочный; длительного пользования,durable,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
медицинское,durable medical equipment,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
доверенность (бессрочная) на случай утраты дееспособности (физической или умственной),durable power of attorney for health care,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
пластическая операция на твёрдой мозговой оболочке,duraplasty,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
продолжительность; длительность,duration,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
пыль,dust,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
клещ домашней пыли,mite,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
карлик,dwarf,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"карликовость, нанизм",dwarfism,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
диада,dyad,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
краситель; контрастное вещество; красить; окрашивать,dye,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
умирание; умирающий,dying,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
функциональное заболевание,disease,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
функциональный шум сердца,murmur,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
динамическая психиатрия,psychiatry,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
динамическая психология,psychology,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
динамическая система,dynamic system,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
динамокардиограмма,dynamocardiogram,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
динамокардиография,dynamocardiograph,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
динамогенез,dynamogenesis,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
динамограф,dynamograph,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
динамометр,dynamometer,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
динорфины,dynorphins,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
дизопия,dyopia,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
патология тактильных ощущений,dysaphia,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
дизартрия,dysarthria,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
дизартроз; псевдоартроз,dysarthrosis,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
дисбактериоз,dysbacteriosis,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
дисбазия,dysbasia,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
дисбиоз,dysbiosis,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"абулия, дисбулия",dysbulia,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
дисхезия,dyschezia,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
дискория,dyscoria,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
дискразия,dyscrasia,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
дискриния,dyscrinia,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
дизентерийный,dysenteric,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
дизентерийный артрит,arthritis,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
дизентерийный бактериофаг,bacteriophage,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
дизентерия,dysentery,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
дизергия,dysergia,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
дизестезия,dysesthesia,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"дисфункция, нарушение функции; нарушение нормальной деятельности",dysfunction,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
дисфункциональное маточное кровотечение (ДМК),dysfunctional uterine bleeding,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
дисгенезия,dysgenesia,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
дисгевзия (расстройства вкуса),dysgeusia,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
дисгнозия (нарушение познавательной способности),dysgnosia,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
дисграфия (неспособность или сложность овладеть письмом),dysgraphia,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"дисгидроз, водяница",dyshidrosis,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
дискератома,dyskeratoma,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
