Russian	English	Category	Confidence	Sources	Issues	_reject_reason
изохронный	isochronal, isochronic, isochronous		needs_human_review	akzhigitov_2_5		tilde_artifact: 'изохронный' → 'isochronal, isochronic, isochronous'
иктеричеекий	bile-stained, bile-tinged		needs_human_review	akzhigitov_2_5		tilde_artifact: 'иктеричеекий' → 'bile-stained, bile-tinged'
иммунокомпрометированный	immune-compromised		needs_human_review	akzhigitov_2_5		tilde_artifact: 'иммунокомпрометированный' → 'immune-compromised'
иммунонефелометрический	immunoturbidimetric method		needs_human_review	akzhigitov_2_5		tilde_artifact: 'иммунонефелометрический' → 'immunoturbidimetric method'
иммунопролиферативный	immunoproliferative fib		needs_human_review	akzhigitov_2_5		tilde_artifact: 'иммунопролиферативный' → 'immunoproliferative fib'
иммунореактнвный	immunologically measurable insulin		needs_human_review	akzhigitov_2_5		tilde_artifact: 'иммунореактнвный' → 'immunologically measurable insulin'
иммуносорбентный	enzyme-linked immunospot		needs_human_review	akzhigitov_2_5		tilde_artifact: 'иммуносорбентный' → 'enzyme-linked immunospot'
иммуноферментный	enzyme modulator-mediated immunoassay		needs_human_review	akzhigitov_2_5		tilde_artifact: 'иммуноферментный' → 'enzyme modulator-mediated immunoassay'
иммуноферментный	enzyme-linked coagulation assay		needs_human_review	akzhigitov_2_5		tilde_artifact: 'иммуноферментный' → 'enzyme-linked coagulation assay'
иммунохимический	tumor marker immunoassay		needs_human_review	akzhigitov_2_5		tilde_artifact: 'иммунохимический' → 'tumor marker immunoassay'
импульсивный	quick on trigger		needs_human_review	akzhigitov_2_5		tilde_artifact: 'импульсивный' → 'quick on trigger'
инвазивный	aggressive approach		needs_human_review	akzhigitov_2_5		tilde_artifact: 'инвазивный' → 'aggressive approach'
индуцированный	communicated insanity		needs_human_review	akzhigitov_2_5		tilde_artifact: 'индуцированный' → 'communicated insanity'
интактный	healthy patient		needs_human_review	akzhigitov_2_5		tilde_artifact: 'интактный' → 'healthy patient'
инфекционный	infectious jaundice		needs_human_review	akzhigitov_2_5		tilde_artifact: 'инфекционный' → 'infectious jaundice'
инфекционный	infectious, infective		needs_human_review	akzhigitov_2_5		tilde_artifact: 'инфекционный' → 'infectious, infective'
ипсилатеральный	homolateral reflex		needs_human_review	akzhigitov_2_5		tilde_artifact: 'ипсилатеральный' → 'homolateral reflex'
искусственное оплодотворение			reference_only	baldwin_reference		empty_en_after_fix
искусственный	man-made		reference_only	baldwin_reference		tilde_artifact: 'искусственный' → 'man-made'
использованный	"plilogisticated"" open"		needs_human_review	akzhigitov_2_5		"tilde_artifact: 'использованный' → 'plilogisticated"" open'"
испытанный	time-tested, time-tried		needs_human_review	akzhigitov_2_5		tilde_artifact: 'испытанный' → 'time-tested, time-tried'
йодорезистентный	iodine-fast		needs_human_review	akzhigitov_2_5		tilde_artifact: 'йодорезистентный' → 'iodine-fast'
каловый	stercoraceous, stercoral, stercorous		needs_human_review	akzhigitov_2_5		tilde_artifact: 'каловый' → 'stercoraceous, stercoral, stercorous'
кандидоз полости рта			reference_only	baldwin_reference		empty_en_after_fix
кардиально-эзофагеальный	cardio-esophageal		needs_human_review	akzhigitov_2_5		tilde_artifact: 'кардиально-эзофагеальный' → 'cardio-esophageal'
кверулянтый	querulent, querulous		needs_human_review	akzhigitov_2_5		tilde_artifact: 'кверулянтый' → 'querulent, querulous'
кипятить(ся)			reference_only	baldwin_reference		empty_en_after_fix
кислотно-основный	acid-base		needs_human_review	akzhigitov_2_5		tilde_artifact: 'кислотно-основный' → 'acid-base'
кислотостойкий	acidproof, acid-resistant, acid-seal		needs_human_review	akzhigitov_2_5		tilde_artifact: 'кислотостойкий' → 'acidproof, acid-resistant, acid-seal'
кислотоупорный	acid-fast		needs_human_review	akzhigitov_2_5		tilde_artifact: 'кислотоупорный' → 'acid-fast'
классический	combined version		needs_human_review	akzhigitov_2_5		tilde_artifact: 'классический' → 'combined version'
классический	epidemic poliomyelitis		needs_human_review	akzhigitov_2_5		tilde_artifact: 'классический' → 'epidemic poliomyelitis'
клеточнообусловленный	cell-mediated		needs_human_review	akzhigitov_2_5		tilde_artifact: 'клеточнообусловленный' → 'cell-mediated'
Клеточный	Cellular immunity, syn. Cell-bound or cell-mediated immunity (CMI)		reference_only	vaccine_pdf_WHO		tilde_artifact: 'Клеточный' → 'Cellular immunity, syn. Cell-bound or cell-mediated immunity (CMI)'
клешнеобразный	lobster-clow		needs_human_review	akzhigitov_2_5		tilde_artifact: 'клешнеобразный' → 'lobster-clow'
клинический	clinical diabetes mellitus		needs_human_review	akzhigitov_2_5		tilde_artifact: 'клинический' → 'clinical diabetes mellitus'
клинический [общий] анализ мочи			reference_only	baldwin_reference		empty_en_after_fix
клиновидный	cuneate(d), cuneiform		needs_human_review	akzhigitov_2_5		tilde_artifact: 'клиновидный' → 'cuneate(d), cuneiform'
клинообразный	wedge-shaped		needs_human_review	akzhigitov_2_5		tilde_artifact: 'клинообразный' → 'wedge-shaped'
кожно-мышечный	musculocutaneous, musculodermic		needs_human_review	akzhigitov_2_5		tilde_artifact: 'кожно-мышечный' → 'musculocutaneous, musculodermic'
коленный [пателлярный] рефлекс			reference_only	baldwin_reference		empty_en_after_fix
Коллективный	Herd immunity, syn. Population immunity, community immunity		reference_only	vaccine_pdf_WHO		tilde_artifact: 'Коллективный' → 'Herd immunity, syn. Population immunity, community immunity'
Коллективный	Population immunity, syn. Herd immunity, community immunity		reference_only	vaccine_pdf_WHO		tilde_artifact: 'Коллективный' → 'Population immunity, syn. Herd immunity, community immunity'
колликвативный	scrofuloderma, scrofulotuberculosis		needs_human_review	akzhigitov_2_5		tilde_artifact: 'колликвативный' → 'scrofuloderma, scrofulotuberculosis'
колониеобразуюший	colony-forming		needs_human_review	akzhigitov_2_5		tilde_artifact: 'колониеобразуюший' → 'colony-forming'
кольцевидный	ring-shaped		needs_human_review	akzhigitov_2_5		tilde_artifact: 'кольцевидный' → 'ring-shaped'
компенсаторный	compensating alter		needs_human_review	akzhigitov_2_5		tilde_artifact: 'компенсаторный' → 'compensating alter'
компенсаторный	flattening daylight		needs_human_review	akzhigitov_2_5		tilde_artifact: 'компенсаторный' → 'flattening daylight'
комплексный	holistic approach		needs_human_review	akzhigitov_2_5		tilde_artifact: 'комплексный' → 'holistic approach'
комплементустойчивый	complement-resistant strain21		needs_human_review	akzhigitov_2_5		tilde_artifact: 'комплементустойчивый' → 'complement-resistant strain21'
композиционный	composite material		needs_human_review	akzhigitov_2_5		tilde_artifact: 'композиционный' → 'composite material'
компьютеризированный	computer-aided infrared cluster		needs_human_review	akzhigitov_2_5		tilde_artifact: 'компьютеризированный' → 'computer-aided infrared cluster'
компьютерный	computer cluster		needs_human_review	akzhigitov_2_5		tilde_artifact: 'компьютерный' → 'computer cluster'
компьютерный	computer-based		needs_human_review	akzhigitov_2_5		tilde_artifact: 'компьютерный' → 'computer-based'
кондиционированный	antigen-free air conditioning		needs_human_review	akzhigitov_2_5		tilde_artifact: 'кондиционированный' → 'antigen-free air conditioning'
конический	pencil-point		needs_human_review	akzhigitov_2_5		tilde_artifact: 'конический' → 'pencil-point'
конкордантный	concordant countertransference		needs_human_review	akzhigitov_2_5		tilde_artifact: 'конкордантный' → 'concordant countertransference'
констриктивный	chronic cardial compression		needs_human_review	akzhigitov_2_5		tilde_artifact: 'констриктивный' → 'chronic cardial compression'
Консультативный	Advisory Committee on Immunization Practices (ACIP)		reference_only	vaccine_pdf_WHO		tilde_artifact: 'Консультативный' → 'Advisory Committee on Immunization Practices (ACIP)'
контрольно-измерительный	reference instrument		needs_human_review	akzhigitov_2_5		tilde_artifact: 'контрольно-измерительный' → 'reference instrument'
коренастый	thick-set		needs_human_review	akzhigitov_2_5		tilde_artifact: 'коренастый' → 'thick-set'
кортикопетальный	corticipetal, corticoafferent		needs_human_review	akzhigitov_2_5		tilde_artifact: 'кортикопетальный' → 'corticipetal, corticoafferent'
косоглазый	cross-eyed		reference_only	baldwin_reference		tilde_artifact: 'косоглазый' → 'cross-eyed'
костно-мышечный	trapezius osteomyocutaneous flap		needs_human_review	akzhigitov_2_5		tilde_artifact: 'костно-мышечный' → 'trapezius osteomyocutaneous flap'
кратковременный	short term		reference_only	baldwin_reference		tilde_artifact: 'кратковременный' → 'short term'
краткосрочный	short term		reference_only	baldwin_reference		tilde_artifact: 'краткосрочный' → 'short term'
краткосрочный	short-course		needs_human_review	akzhigitov_2_5		tilde_artifact: 'краткосрочный' → 'short-course'
крепкий	able-bodied		needs_human_review	akzhigitov_2_5		tilde_artifact: 'крепкий' → 'able-bodied'
кроветворный	hematogenic, hematogenous		needs_human_review	akzhigitov_2_5		tilde_artifact: 'кроветворный' → 'hematogenic, hematogenous'
кровянистый	blood-tinged		needs_human_review	akzhigitov_2_5		tilde_artifact: 'кровянистый' → 'blood-tinged'
крупномасштабный	large-scale		needs_human_review	akzhigitov_2_5		tilde_artifact: 'крупномасштабный' → 'large-scale'
лактогенный	lactigenic, lactigenous		needs_human_review	akzhigitov_2_5		tilde_artifact: 'лактогенный' → 'lactigenic, lactigenous'
лакунарный	lacnnal, lacunar		needs_human_review	akzhigitov_2_5		tilde_artifact: 'лакунарный' → 'lacnnal, lacunar'
ламинарный	turbulence free		needs_human_review	akzhigitov_2_5		tilde_artifact: 'ламинарный' → 'turbulence free'
леворукий	left-handed		needs_human_review	akzhigitov_2_5		tilde_artifact: 'леворукий' → 'left-handed'
легкораненый	slightly wounded		needs_human_review	akzhigitov_2_5		tilde_artifact: 'легкораненый' → 'slightly wounded'
лекарственноустойчивый	drug-resistant		needs_human_review	akzhigitov_2_5		tilde_artifact: 'лекарственноустойчивый' → 'drug-resistant'
лептосоматический	leptosomatic, leptosomic		needs_human_review	akzhigitov_2_5		tilde_artifact: 'лептосоматический' → 'leptosomatic, leptosomic'
лечебно-профилактический	medico-prophylactic		needs_human_review	akzhigitov_2_5		tilde_artifact: 'лечебно-профилактический' → 'medico-prophylactic'
лечебный	iatric(al)		reference_only	baldwin_reference		tilde_artifact: 'лечебный' → 'iatric(al)'
лимфоцитотоксический	microlymphocytotoxicity enzyme-linked immunospot		needs_human_review	akzhigitov_2_5		tilde_artifact: 'лимфоцитотоксический' → 'microlymphocytotoxicity enzyme-linked immunospot'
Лиофилизированный	Deep-frozen, syn. Lyophilized, freeze-dried		reference_only	vaccine_pdf_WHO		tilde_artifact: 'Лиофилизированный' → 'Deep-frozen, syn. Lyophilized, freeze-dried'
липогенный	adipogenic, adipogenous		needs_human_review	akzhigitov_2_5		tilde_artifact: 'липогенный' → 'adipogenic, adipogenous'
лишённый	amyelencephalic, amyelencephalous mepam		needs_human_review	akzhigitov_2_5		tilde_artifact: 'лишённый' → 'amyelencephalic, amyelencephalous mepam'
лобно-затылочный	fronto-occipital		needs_human_review	akzhigitov_2_5		tilde_artifact: 'лобно-затылочный' → 'fronto-occipital'
Ложно-отрицательный	False negative		reference_only	vaccine_pdf_WHO		tilde_artifact: 'Ложно-отрицательный' → 'False negative'
Ложно-положительный	False positive		reference_only	vaccine_pdf_WHO		tilde_artifact: 'Ложно-положительный' → 'False positive'
ложноотрицательный	false-negative		needs_human_review	akzhigitov_2_5		tilde_artifact: 'ложноотрицательный' → 'false-negative'
ложноположительный	false-positive		needs_human_review	akzhigitov_2_5		tilde_artifact: 'ложноположительный' → 'false-positive'
маловесный	low-birth-weight		needs_human_review	akzhigitov_2_5		tilde_artifact: 'маловесный' → 'low-birth-weight'
маниакально-депрессивный	affective insanity		needs_human_review	akzhigitov_2_5		tilde_artifact: 'маниакально-депрессивный' → 'affective insanity'
марантический	marantic, marasmic		needs_human_review	akzhigitov_2_5		tilde_artifact: 'марантический' → 'marantic, marasmic'
маточно-яичниковый	utero-ovarian		needs_human_review	akzhigitov_2_5		tilde_artifact: 'маточно-яичниковый' → 'utero-ovarian'
маточное кровотечение, метроррагия			reference_only	baldwin_reference		empty_en_after_fix
машинный	machinery-like		needs_human_review	akzhigitov_2_5		tilde_artifact: 'машинный' → 'machinery-like'
маятниковый	to-and-fro absorption system		needs_human_review	akzhigitov_2_5		tilde_artifact: 'маятниковый' → 'to-and-fro absorption system'
маятникообразный	pendulum rhythm		needs_human_review	akzhigitov_2_5		tilde_artifact: 'маятникообразный' → 'pendulum rhythm'
мгновенный	instantaneons vector1		needs_human_review	akzhigitov_2_5		tilde_artifact: 'мгновенный' → 'instantaneons vector1'
медико-социальный	medical-political		needs_human_review	akzhigitov_2_5		tilde_artifact: 'медико-социальный' → 'medical-political'
медицинский	iatric(al)		reference_only	baldwin_reference		tilde_artifact: 'медицинский' → 'iatric(al)'
медленный	tardive, tardy		needs_human_review	akzhigitov_2_5		tilde_artifact: 'медленный' → 'tardive, tardy'
медуллярный	cellular cancer		needs_human_review	akzhigitov_2_5		tilde_artifact: 'медуллярный' → 'cellular cancer'
Межведомственный	Inter-agency Coordinating Committee (ICC)		reference_only	vaccine_pdf_WHO		tilde_artifact: 'Межведомственный' → 'Inter-agency Coordinating Committee (ICC)'
Международный	International Finance Facility for Immunization (IFFIm/IFFim)		reference_only	vaccine_pdf_WHO		tilde_artifact: 'Международный' → 'International Finance Facility for Immunization (IFFIm/IFFim)'
межкультурный	cross-cultural		reference_only	baldwin_reference		tilde_artifact: 'межкультурный' → 'cross-cultural'
межмыщелковый	intercondylar, intercondylous		needs_human_review	akzhigitov_2_5		tilde_artifact: 'межмыщелковый' → 'intercondylar, intercondylous'
межсонный	intercarotic, intercarotid		needs_human_review	akzhigitov_2_5		tilde_artifact: 'межсонный' → 'intercarotic, intercarotid'
мезентериальный	mesaraic, mesareic		needs_human_review	akzhigitov_2_5		tilde_artifact: 'мезентериальный' → 'mesaraic, mesareic'
мембранный	membrane oxygenator		needs_human_review	akzhigitov_2_5		tilde_artifact: 'мембранный' → 'membrane oxygenator'
мембранозный	membranous glomerulonephritis		needs_human_review	akzhigitov_2_5		tilde_artifact: 'мембранозный' → 'membranous glomerulonephritis'
менструальное кровотечение			reference_only	baldwin_reference		empty_en_after_fix
мечевидный	sword-shaped		needs_human_review	akzhigitov_2_5		tilde_artifact: 'мечевидный' → 'sword-shaped'
меченый	target-attaching		needs_human_review	akzhigitov_2_5		tilde_artifact: 'меченый' → 'target-attaching'
мешкообразный	sacciform, saccular		needs_human_review	akzhigitov_2_5		tilde_artifact: 'мешкообразный' → 'sacciform, saccular'
микротитрационный	antistreptolysin microtitration test		needs_human_review	akzhigitov_2_5		tilde_artifact: 'микротитрационный' → 'antistreptolysin microtitration test'
мионевральный	axomuscular synapse		needs_human_review	akzhigitov_2_5		tilde_artifact: 'мионевральный' → 'axomuscular synapse'
многослойный	sandwich-type		needs_human_review	akzhigitov_2_5		tilde_artifact: 'многослойный' → 'sandwich-type'
многотяжевый	multistranded bilayer		needs_human_review	akzhigitov_2_5		tilde_artifact: 'многотяжевый' → 'multistranded bilayer'
многоячейковый	multitrack immunoblotting		needs_human_review	akzhigitov_2_5		tilde_artifact: 'многоячейковый' → 'multitrack immunoblotting'
модифицированный	modified japanese		needs_human_review	akzhigitov_2_5		tilde_artifact: 'модифицированный' → 'modified japanese'
молниеносный	fulminant hepatic necrosis		needs_human_review	akzhigitov_2_5		tilde_artifact: 'молниеносный' → 'fulminant hepatic necrosis'
монетовидный	nummiform, nummular		needs_human_review	akzhigitov_2_5		tilde_artifact: 'монетовидный' → 'nummiform, nummular'
монодетерминантный	monovalent hepatitis		needs_human_review	akzhigitov_2_5		tilde_artifact: 'монодетерминантный' → 'monovalent hepatitis'
морфометрический	morphometric point-counting method		needs_human_review	akzhigitov_2_5		tilde_artifact: 'морфометрический' → 'morphometric point-counting method'
мумифицированный	papyraceous fetus		needs_human_review	akzhigitov_2_5		tilde_artifact: 'мумифицированный' → 'papyraceous fetus'
мышечно-мембранозный	musculomembranous passage		needs_human_review	akzhigitov_2_5		tilde_artifact: 'мышечно-мембранозный' → 'musculomembranous passage'
мягкий	phagedenic chancre		needs_human_review	akzhigitov_2_5		tilde_artifact: 'мягкий' → 'phagedenic chancre'
мёртвый	stone-dead		needs_human_review	akzhigitov_2_5		tilde_artifact: 'мёртвый' → 'stone-dead'
надломленный	broken-down		needs_human_review	akzhigitov_2_5		tilde_artifact: 'надломленный' → 'broken-down'
надмыщелковый	supracondylar, supracondyloid		needs_human_review	akzhigitov_2_5		tilde_artifact: 'надмыщелковый' → 'supracondylar, supracondyloid'
надёжный	fail-safe		needs_human_review	akzhigitov_2_5		tilde_artifact: 'надёжный' → 'fail-safe'
наркоз, анестезия, обезболивание			reference_only	baldwin_reference		empty_en_after_fix
наркотический	psychedelic drug		needs_human_review	akzhigitov_2_5		tilde_artifact: 'наркотический' → 'psychedelic drug'
неблагоприятный	grave prognosis		needs_human_review	akzhigitov_2_5		tilde_artifact: 'неблагоприятный' → 'grave prognosis'
неблагоприятный	poor outcome		needs_human_review	akzhigitov_2_5		tilde_artifact: 'неблагоприятный' → 'poor outcome'
негнойный	apy(et)ous		needs_human_review	akzhigitov_2_5		tilde_artifact: 'негнойный' → 'apy(et)ous'
недоношенный	permaturely born		needs_human_review	akzhigitov_2_5		tilde_artifact: 'недоношенный' → 'permaturely born'
недоразвитый	half-grown		needs_human_review	akzhigitov_2_5		tilde_artifact: 'недоразвитый' → 'half-grown'
незначительный	of no account		needs_human_review	akzhigitov_2_5		tilde_artifact: 'незначительный' → 'of no account'
нейропаралитический	neuroparalytic keratitis		needs_human_review	akzhigitov_2_5		tilde_artifact: 'нейропаралитический' → 'neuroparalytic keratitis'
нейропсихологический	neuropsychological test battery		needs_human_review	akzhigitov_2_5		tilde_artifact: 'нейропсихологический' → 'neuropsychological test battery'
нейтрофильный	segmentated secondary		needs_human_review	akzhigitov_2_5		tilde_artifact: 'нейтрофильный' → 'segmentated secondary'
неквалифицированный	unqualified nursing carditis		needs_human_review	akzhigitov_2_5		tilde_artifact: 'неквалифицированный' → 'unqualified nursing carditis'
некомпетентный	incompetent vessel		needs_human_review	akzhigitov_2_5		tilde_artifact: 'некомпетентный' → 'incompetent vessel'
некрогенный	necrogenic, necrogenous		needs_human_review	akzhigitov_2_5		tilde_artifact: 'некрогенный' → 'necrogenic, necrogenous'
неопущение яичка в мошонку, крипторхизм			reference_only	baldwin_reference		empty_en_after_fix
несостоятельный	without validity		needs_human_review	akzhigitov_2_5		tilde_artifact: 'несостоятельный' → 'without validity'
неспецифический	heterologous stimulus,pi. stimuli		needs_human_review	akzhigitov_2_5		tilde_artifact: 'неспецифический' → 'heterologous stimulus,pi. stimuli'
несращённый	unco-ossified		needs_human_review	akzhigitov_2_5		tilde_artifact: 'несращённый' → 'unco-ossified'
несъедобный	non-nutritive		needs_human_review	akzhigitov_2_5		tilde_artifact: 'несъедобный' → 'non-nutritive'
нетрудоспособный	incapable of work		needs_human_review	akzhigitov_2_5		tilde_artifact: 'нетрудоспособный' → 'incapable of work'
нешинированный	nonstented anastomosis		needs_human_review	akzhigitov_2_5		tilde_artifact: 'нешинированный' → 'nonstented anastomosis'
низкокалорийный	calorie-free		needs_human_review	akzhigitov_2_5		tilde_artifact: 'низкокалорийный' → 'calorie-free'
низкомолекулярный	low-molecular		needs_human_review	akzhigitov_2_5		tilde_artifact: 'низкомолекулярный' → 'low-molecular'
низкопольный	low-field		needs_human_review	akzhigitov_2_5		tilde_artifact: 'низкопольный' → 'low-field'
низкофоновый	low-background		needs_human_review	akzhigitov_2_5		tilde_artifact: 'низкофоновый' → 'low-background'
новейший	up-to-date		needs_human_review	akzhigitov_2_5		tilde_artifact: 'новейший' → 'up-to-date'
новорожденный	suckling negligence		needs_human_review	akzhigitov_2_5		tilde_artifact: 'новорожденный' → 'suckling negligence'
новорождённый	critically ill newborn		needs_human_review	akzhigitov_2_5		tilde_artifact: 'новорождённый' → 'critically ill newborn'
нормокалиемический	sodium-responsive periodic paralysis		needs_human_review	akzhigitov_2_5		tilde_artifact: 'нормокалиемический' → 'sodium-responsive periodic paralysis'
носоглоточный	nasopharyngeal airway		needs_human_review	akzhigitov_2_5		tilde_artifact: 'носоглоточный' → 'nasopharyngeal airway'
носослёзный	nasal duct		needs_human_review	akzhigitov_2_5		tilde_artifact: 'носослёзный' → 'nasal duct'
обезжиренный	fat-extracted, fat-free		needs_human_review	akzhigitov_2_5		tilde_artifact: 'обезжиренный' → 'fat-extracted, fat-free'
облучённый	radiation-exposed		needs_human_review	akzhigitov_2_5		tilde_artifact: 'облучённый' → 'radiation-exposed'
обмороженный	frost-bitten		needs_human_review	akzhigitov_2_5		tilde_artifact: 'обмороженный' → 'frost-bitten'
оболочечный	velamentous, velar		needs_human_review	akzhigitov_2_5		tilde_artifact: 'оболочечный' → 'velamentous, velar'
обработанный	arsenic-cured		needs_human_review	akzhigitov_2_5		tilde_artifact: 'обработанный' → 'arsenic-cured'
обрамлённый	frame-mounted		needs_human_review	akzhigitov_2_5		tilde_artifact: 'обрамлённый' → 'frame-mounted'
обсессивно-компульсивный	obsessive-compulsive syndrome		needs_human_review	akzhigitov_2_5		tilde_artifact: 'обсессивно-компульсивный' → 'obsessive-compulsive syndrome'
объятый	terror-stricken, terror-struck		needs_human_review	akzhigitov_2_5		tilde_artifact: 'объятый' → 'terror-stricken, terror-struck'
объёмный	volu(mo)metric		needs_human_review	akzhigitov_2_5		tilde_artifact: 'объёмный' → 'volu(mo)metric'
обязательный	obligate, obligatory		needs_human_review	akzhigitov_2_5		tilde_artifact: 'обязательный' → 'obligate, obligatory'
овариальный	ovarian, ovaric		needs_human_review	akzhigitov_2_5		tilde_artifact: 'овариальный' → 'ovarian, ovaric'
овсяно-клеточный	oat-cell		needs_human_review	akzhigitov_2_5		tilde_artifact: 'овсяно-клеточный' → 'oat-cell'
огнестойкий	fire-proof		needs_human_review	akzhigitov_2_5		tilde_artifact: 'огнестойкий' → 'fire-proof'
огнестойкий	flame-proof		needs_human_review	akzhigitov_2_5		tilde_artifact: 'огнестойкий' → 'flame-proof'
одновозрастный	even-aged		needs_human_review	akzhigitov_2_5		tilde_artifact: 'одновозрастный' → 'even-aged'
однодневный	ephemeral, ephemerous		needs_human_review	akzhigitov_2_5		tilde_artifact: 'однодневный' → 'ephemeral, ephemerous'
однокамерный	unicameral, unicamerate		needs_human_review	akzhigitov_2_5		tilde_artifact: 'однокамерный' → 'unicameral, unicamerate'
одноканальный	single-channel		needs_human_review	akzhigitov_2_5		tilde_artifact: 'одноканальный' → 'single-channel'
однонейронный	mononeural, mononeuric		needs_human_review	akzhigitov_2_5		tilde_artifact: 'однонейронный' → 'mononeural, mononeuric'
одноразовый	single-use		reference_only	baldwin_reference		tilde_artifact: 'одноразовый' → 'single-use'
однорукий	one-armed		needs_human_review	akzhigitov_2_5		tilde_artifact: 'однорукий' → 'one-armed'
однорукий	single-handed		needs_human_review	akzhigitov_2_5		tilde_artifact: 'однорукий' → 'single-handed'
однослойный	single-layered		needs_human_review	akzhigitov_2_5		tilde_artifact: 'однослойный' → 'single-layered'
однослойный	unilaminar, unilaminate		needs_human_review	akzhigitov_2_5		tilde_artifact: 'однослойный' → 'unilaminar, unilaminate'
одностадийный	one-shot		needs_human_review	akzhigitov_2_5		tilde_artifact: 'одностадийный' → 'one-shot'
одностадийный	one-stage		needs_human_review	akzhigitov_2_5		tilde_artifact: 'одностадийный' → 'one-stage'
одноцепочечный	one chain		needs_human_review	akzhigitov_2_5		tilde_artifact: 'одноцепочечный' → 'one chain'
одноядерный	uninuclear, uninucleate		needs_human_review	akzhigitov_2_5		tilde_artifact: 'одноядерный' → 'uninuclear, uninucleate'
однояйцовый	monovular, monozygotic		needs_human_review	akzhigitov_2_5		tilde_artifact: 'однояйцовый' → 'monovular, monozygotic'
однояйцовый	unioval, uniovular		needs_human_review	akzhigitov_2_5		tilde_artifact: 'однояйцовый' → 'unioval, uniovular'
околомочеточниковый	periureteral, periureteric		needs_human_review	akzhigitov_2_5		tilde_artifact: 'околомочеточниковый' → 'periureteral, periureteric'
околосуставный	juxta-articular		needs_human_review	akzhigitov_2_5		tilde_artifact: 'околосуставный' → 'juxta-articular'
околоэпифизарный	juxta-epiphyseal		needs_human_review	akzhigitov_2_5		tilde_artifact: 'околоэпифизарный' → 'juxta-epiphyseal'
околояичниковый	parovarial, parovarian		needs_human_review	akzhigitov_2_5		tilde_artifact: 'околояичниковый' → 'parovarial, parovarian'
окончательный	final impression		needs_human_review	akzhigitov_2_5		tilde_artifact: 'окончательный' → 'final impression'
олигогенный	discontinuous character		needs_human_review	akzhigitov_2_5		tilde_artifact: 'олигогенный' → 'discontinuous character'
операционно-перевязочный	medical management softwear		needs_human_review	akzhigitov_2_5		tilde_artifact: 'операционно-перевязочный' → 'medical management softwear'
описание			reference_only	baldwin_reference		empty_en_after_fix
оптический	optic(al)		reference_only	baldwin_reference		tilde_artifact: 'оптический' → 'optic(al)'
опухолеспецифический	tumor-associated		needs_human_review	akzhigitov_2_5		tilde_artifact: 'опухолеспецифический' → 'tumor-associated'
опухолеспецифичный	tumor-specific		needs_human_review	akzhigitov_2_5		tilde_artifact: 'опухолеспецифичный' → 'tumor-specific'
ортогенический	edge-to-edge bite		needs_human_review	akzhigitov_2_5		tilde_artifact: 'ортогенический' → 'edge-to-edge bite'
ортогенический	edge-to-edge occlusion		needs_human_review	akzhigitov_2_5		tilde_artifact: 'ортогенический' → 'edge-to-edge occlusion'
осадочный	sedimental, sedimentary		needs_human_review	akzhigitov_2_5		tilde_artifact: 'осадочный' → 'sedimental, sedimentary'
основной	final host		needs_human_review	akzhigitov_2_5		tilde_artifact: 'основной' → 'final host'
остеогенный	ossiferous [ossiflcj		needs_human_review	akzhigitov_2_5		tilde_artifact: 'остеогенный' → 'ossiferous [ossiflcj'
остеогенный	osteogenic, osteogenous		needs_human_review	akzhigitov_2_5		tilde_artifact: 'остеогенный' → 'osteogenic, osteogenous'
остроконечный	sharp-pointed		needs_human_review	akzhigitov_2_5		tilde_artifact: 'остроконечный' → 'sharp-pointed'
остроумный	witty intellect		needs_human_review	akzhigitov_2_5		tilde_artifact: 'остроумный' → 'witty intellect'
острый	pungent taste		needs_human_review	akzhigitov_2_5		tilde_artifact: 'острый' → 'pungent taste'
отдалённый	long-term		reference_only	baldwin_reference		tilde_artifact: 'отдалённый' → 'long-term'
отдельный	selected cassette		needs_human_review	akzhigitov_2_5		tilde_artifact: 'отдельный' → 'selected cassette'
отогенный	otogenic, otogenous		needs_human_review	akzhigitov_2_5		tilde_artifact: 'отогенный' → 'otogenic, otogenous'
отёчный	fluid-overloaded		needs_human_review	akzhigitov_2_5		tilde_artifact: 'отёчный' → 'fluid-overloaded'
охваченный	covered person		needs_human_review	akzhigitov_2_5		tilde_artifact: 'охваченный' → 'covered person'
павловский	miniature stomach		needs_human_review	akzhigitov_2_5		tilde_artifact: 'павловский' → 'miniature stomach'
палочкообразный	rod-like		needs_human_review	akzhigitov_2_5		tilde_artifact: 'палочкообразный' → 'rod-like'
пальцевидный	dactylate, dactylic		needs_human_review	akzhigitov_2_5		tilde_artifact: 'пальцевидный' → 'dactylate, dactylic'
парамезонефрический	paramesonephric duct		needs_human_review	akzhigitov_2_5		tilde_artifact: 'парамезонефрический' → 'paramesonephric duct'
паратиреопривный	parathyroprivie, parathyroprivous		needs_human_review	akzhigitov_2_5		tilde_artifact: 'паратиреопривный' → 'parathyroprivie, parathyroprivous'
паренхиматозный	interstitial keratitis		needs_human_review	akzhigitov_2_5		tilde_artifact: 'паренхиматозный' → 'interstitial keratitis'
паренхиматозный	parenchymal, parenchymatous		needs_human_review	akzhigitov_2_5		tilde_artifact: 'паренхиматозный' → 'parenchymal, parenchymatous'
пассивно-агрессивный	passive-aggressive		needs_human_review	akzhigitov_2_5		tilde_artifact: 'пассивно-агрессивный' → 'passive-aggressive'
