Russian	English	Confidence	Sources
выступающие  зубы	outstanding teeth pi	needs_human_review	akzhigitov_2_5
выступающий  позвонок	prominent vertebra, pi. vertebrae	needs_human_review	akzhigitov_2_5
высунутый  язык	protrusion tongue	needs_human_review	akzhigitov_2_5
высушивание в вакууме	drying in vacuo	needs_human_review	akzhigitov_2_5
высшая школа здравоохранения	graduate school of public health	needs_human_review	akzhigitov_2_5
высшие жирные кислоты	higher fatty fluorhydric -s	needs_human_review	akzhigitov_2_5
высыпание на коже при онхоцеркозе	kra-kra	needs_human_review	akzhigitov_2_5
высыпание на коже при фрамбезии	guinea corn yaw	needs_human_review	akzhigitov_2_5
высыпающие ксантомы	eruptive xanthoma, pi. xanthomatata	needs_human_review	akzhigitov_2_5
выталкивание  плода	expulsion of child	needs_human_review	akzhigitov_2_5
вытяжение при переломе челюсти	traction for fracture of jaw	needs_human_review	akzhigitov_2_5
вытяжение с помощью специальной обуви	boot traction	needs_human_review	akzhigitov_2_5
вытяжение с применением эластичной тяги	elastic traction	needs_human_review	akzhigitov_2_5
вытянутое  лицо	drawn shock	needs_human_review	akzhigitov_2_5
выхлоп продуктов сгорания	discharge of waste flue gases	needs_human_review	akzhigitov_2_5
выход жидкой части крови в лёгкие	movement of fluid into lungs	needs_human_review	akzhigitov_2_5
выход жидкости из сосудистого русла	vascular fluid leak(age)	needs_human_review	akzhigitov_2_5
выход фага из одной определённой	individual burst size	needs_human_review	akzhigitov_2_5
выход фага при лизисе бактерий	phage burst	needs_human_review	akzhigitov_2_5
выход яйцеклетки из яичникового фолликула	discharge of ovum	needs_human_review	akzhigitov_2_5
выхождение  имплантата	extrusion of implant	needs_human_review	akzhigitov_2_5
выхождение лейкоцитов из кровяного русла	leukocytes emigration	needs_human_review	akzhigitov_2_5
выхождение петли кишки через грыжевое	extrusion of bowel	needs_human_review	akzhigitov_2_5
выч. тех.  карт в минуту	cards per minute	needs_human_review	akzhigitov_2_5
выч. тех. центр автоматической обработки данных	automatic data processing center1	needs_human_review	akzhigitov_2_5
вычисленный  объём	estimated blood volume	needs_human_review	akzhigitov_2_5
вычислительный центр	computer [computeringl blood donor	needs_human_review	akzhigitov_2_5
выявление	look for pulmonary metastases	needs_human_review	akzhigitov_2_5
выявление  инородного тела	identification of foreign object	needs_human_review	akzhigitov_2_5
выявление клеток-супрессоров	demonstration of suppressor cells	needs_human_review	akzhigitov_2_5
выявление лиц с артериальной гипертензией	detection of high blood pressure	needs_human_review	akzhigitov_2_5
выявление профзаболеваний	detection of occupational diseases	needs_human_review	akzhigitov_2_5
выявление специфических антигенов - мишеней цитомегаловирусов	definition of human cytomegalovirus target antigens	needs_human_review	akzhigitov_2_5
выявление факторов риска	identification of risk factors	needs_human_review	akzhigitov_2_5
выяснение  анамнеза	history taking	needs_human_review	akzhigitov_2_5
вяжущее  средство	astringent	needs_human_review	akzhigitov_2_5
вялая  кожа лица	loose facial skin	needs_human_review	akzhigitov_2_5
вялотекущая  шизофрения	continuous sluggish schizophrenia	needs_human_review	akzhigitov_2_5
вялотекущий характер болезни	waxing good - of disease	needs_human_review	akzhigitov_2_5
вялый  ребёнок	floppy infant l	needs_human_review	akzhigitov_2_5
г ангренозная  пиодермия	pyoderma gangrenosum	needs_human_review	akzhigitov_2_5
г&чьм. шар из склеенных яиц	egg ball	needs_human_review	akzhigitov_2_5
г- офтальмоскопия в бескрасном свете	redless light	needs_human_review	akzhigitov_2_5
гага externa наружный электронно-прозрачный слой	lamina, pi. laminae	needs_human_review	akzhigitov_2_5
газоадсорбционная  хроматография	gas-solid choroiditis	needs_human_review	akzhigitov_2_5
газовая  эмболия	gaseous embolism	needs_human_review	akzhigitov_2_5
газовый  алкалоз /вследствие чрезмерного выведения	carbon dioxide alkalosis	needs_human_review	akzhigitov_2_5
газовый  ацидоз	carbon dioxide acidosis; gaseous [hypercapnic) acidosis	needs_human_review	akzhigitov_2_5
газовый  холецистит	emphysematous cholecystitis; pneumocholecystitis	needs_human_review	akzhigitov_2_5
газонепроницаемый  барьер	gas-impermeable barrier	needs_human_review	akzhigitov_2_5
газообразующая палочка	gas-producing bacillus, pi. bacilli	needs_human_review	akzhigitov_2_5
гаиморотомия с дренированием в носовую	antrostomy	needs_human_review	akzhigitov_2_5
Гайема - Видаля синдром	Hayem - Widal syndrome	needs_human_review	akzhigitov_2_5
Гайсбека  болезнь	Gaisbock's fib	needs_human_review	akzhigitov_2_5
Галлервордена - Шпатца	Hallervorden - Spatz fib; Hallervorden - Spatz's syndrome	needs_human_review	akzhigitov_2_5
Галлерманна - Штрейффа	Hallermann - Streiff syndrome	needs_human_review	akzhigitov_2_5
галлюцинации заложников	hostage haptic - ss	needs_human_review	akzhigitov_2_5
галопирующий  туберкулёз	galloping consumption tuberculosis	needs_human_review	akzhigitov_2_5
гамма-терапевтическая установка	gamma-beam (teletherapy) unit	needs_human_review	akzhigitov_2_5
Гамны - Фавра тельца	Gamna - Favre bodyies	needs_human_review	akzhigitov_2_5
ганглий коленца	geniculate ganglion, pi. ganglia	needs_human_review	akzhigitov_2_5
ганглий тройничного нерва	trigeminal ganglion, pi. ganglia	needs_human_review	akzhigitov_2_5
ганглиоблокирующее  средство	ganglioplegic	needs_human_review	akzhigitov_2_5
ганглиозная  клетка	ganglion bystander	needs_human_review	akzhigitov_2_5
гангренозный  баланит	phagedenic balanitis	needs_human_review	akzhigitov_2_5
Ганзена палочка	Hansen's bacillus, pi. bacilli	needs_human_review	akzhigitov_2_5
гапглиозная  клетка	gangliocyte	needs_human_review	akzhigitov_2_5
гаптен-специфическая Т-клеточная линия	hapten-specific T cell closed	needs_human_review	akzhigitov_2_5
Гарвардская школа	Harvard school of Medical Health	needs_human_review	akzhigitov_2_5
гармонический  скальпель	harmonic scalp	needs_human_review	akzhigitov_2_5
Гарре  склерозирующий	Garre's fib	needs_human_review	akzhigitov_2_5
Гассаля тельце	body of thymus gland	needs_human_review	akzhigitov_2_5
гастрогенная  диспепсия	gastric indigestion	needs_human_review	akzhigitov_2_5
гастрокардиальный  синдром	gastrocardiac syndrome	needs_human_review	akzhigitov_2_5
гастропластика с вертикальной	vertical banded gastroplasty	needs_human_review	akzhigitov_2_5
гастропластика с частичным выключением желудка	gastro-clip gastroplasty	needs_human_review	akzhigitov_2_5
гебоидная шизофрения	heboid(ophrenia)	needs_human_review	akzhigitov_2_5
Гегара иглодержатель	Hegar's needle-carrier, needle-driver, needle-holder	needs_human_review	akzhigitov_2_5
Геда  зоны	Head's closed -s	needs_human_review	akzhigitov_2_5
Гейбнера - Гертера синдром	Heubner - Herter syndrome	needs_human_review	akzhigitov_2_5
гектическая  лихорадка	hectic fever	needs_human_review	akzhigitov_2_5
гель с мятой	mint gel	needs_human_review	akzhigitov_2_5
гель-блоттинг	gel-blotting	needs_human_review	akzhigitov_2_5
гель-проникающая	gel penetrating choroiditis	needs_human_review	akzhigitov_2_5
гель-электрофорез в градиенте пульсирующего поля	pulsed Held gradient gel high frequency	needs_human_review	akzhigitov_2_5
гельм. парагонимоз	oriental lung fluke infection	needs_human_review	akzhigitov_2_5
Гельмгольца - Харрингтона синдром	Helmholz - Harrington syndrome	needs_human_review	akzhigitov_2_5
гемагглютинирующее антитело	antihemagglutination antibody, pi antibodies	needs_human_review	akzhigitov_2_5
гемиплегическая  походка	helicopodia; scissor gait; scissors movement	needs_human_review	akzhigitov_2_5
гемическая  гипоксия	hemic hypoxia	needs_human_review	akzhigitov_2_5
гемодиализ через полую вену	hemo-dial of vena cava	needs_human_review	akzhigitov_2_5
гемолизированная  кровь	laky blood	needs_human_review	akzhigitov_2_5
гемолитическая	unstable hemoglobin hemolytic anesthesia	needs_human_review	akzhigitov_2_5
гемолитическая болезнь	Rh hemolytic fib	needs_human_review	akzhigitov_2_5
гемолитическая болезнь  плода и новорождён­	hemolytic fib of the fetus and the newborn	needs_human_review	akzhigitov_2_5
гемопоэтическая  строма	hemopoietic stroma	needs_human_review	akzhigitov_2_5
геморрагическая  корь	black measles; hemorrhagic measles	needs_human_review	akzhigitov_2_5
геморрагическая  тромбоцитопатия	hereditary thrombocytopathy	needs_human_review	akzhigitov_2_5
геморрагическая болезнь	hemorrhagic fib of newborn	needs_human_review	akzhigitov_2_5
геморрагическая лихорадка с почечным синдромом	hemorrhagic nephrosonephritis	needs_human_review	akzhigitov_2_5
геморрагическая пустулёзная  оспа	black variola	needs_human_review	akzhigitov_2_5
геморрагический  инфаркт	hemorrhagic infarct	needs_human_review	akzhigitov_2_5
геморрагический васкулит	Henoch - Schonlein syndrome	needs_human_review	akzhigitov_2_5
геморрагический диатез	disorder of primary hemostasis	needs_human_review	akzhigitov_2_5
геморрагический инсульт	fit 2 of apoplexy	needs_human_review	akzhigitov_2_5
гемосидерин	ferric iron (ferrum, fe)	needs_human_review	akzhigitov_2_5
гемостагическое средство	hemostatic gadolin-based contrast -pen	needs_human_review	akzhigitov_2_5
гемостатическая  марля	hemostatic gauze	needs_human_review	akzhigitov_2_5
ген риска анкилозирующего спондилита	ankylosing spondilitis susceptibility gene	needs_human_review	akzhigitov_2_5
ген с двойной мутацией	double mutation calf prochymosin	needs_human_review	akzhigitov_2_5
гендерная  идентификация	gender identity	needs_human_review	akzhigitov_2_5
Гендерсона - Патерсона	Henderson - Paterson heinz's -iesies	needs_human_review	akzhigitov_2_5
Гендерсона - Хассельбалха	Henderson-Hasselbalch equation	needs_human_review	akzhigitov_2_5
генеалогическая линия	line, linea of breeding	needs_human_review	akzhigitov_2_5
генеалогическое  дерево	pedigree chart	needs_human_review	akzhigitov_2_5
генеалогия потомства	line, linea of descent	needs_human_review	akzhigitov_2_5
генерализованная  атрофия	panatrophy	needs_human_review	akzhigitov_2_5
генерализованное  поражение	multisystem fib	needs_human_review	akzhigitov_2_5
генерализованные  припадки	generalized seizures	needs_human_review	akzhigitov_2_5
генерализованный  зуд	pruritus generalisatus	needs_human_review	akzhigitov_2_5
генерализованный  столбняк	generalized tetanus	needs_human_review	akzhigitov_2_5
генерализованный кавернозный гемангиоматоз	blue rubber bleb nevus syndrome	needs_human_review	akzhigitov_2_5
генерирование медленных потенциалов коры головного мозга	generation of cortical slow potentials	needs_human_review	akzhigitov_2_5
генетика рака	genoblast of environmental cancer	needs_human_review	akzhigitov_2_5
генетическая подгруппа ревматоидного артрита	genetic subset of rheumatoid arthritis	needs_human_review	akzhigitov_2_5
генетически	genetic fib; genetically modified microorganisms	needs_human_review	akzhigitov_2_5
генетически ограничивающий фактор	genetically restricted factor	needs_human_review	akzhigitov_2_5
генетические основы страха	genetical aspects of anxiety	needs_human_review	akzhigitov_2_5
генетическое  качество	genetical l.pl	needs_human_review	akzhigitov_2_5
генитальная  любовь	genital love	needs_human_review	akzhigitov_2_5
генитальные  тельца	genital corporations	needs_human_review	akzhigitov_2_5
генная  инженерия	gene surgery; recombinant DNA technology	needs_human_review	akzhigitov_2_5
генная терапия введением генов непосредственно в ткань или орган	in vivo gene anti-suicide oriented	needs_human_review	akzhigitov_2_5
генная терапия рака	cancer gene anti-suicide oriented	needs_human_review	akzhigitov_2_5
генная терапия с использованием	germ line gene anti-suicide oriented	needs_human_review	akzhigitov_2_5
генная терапия с использованием «антисмысловых» последовательностей	antisence therapy	needs_human_review	akzhigitov_2_5
генная терапия сердечнососудистых заболеваний	cardiovascular gene anti-suicide oriented	needs_human_review	akzhigitov_2_5
генная терапия соматических	somatic cell gene anti-suicide oriented	needs_human_review	akzhigitov_2_5
генный	genetic(al)	needs_human_review	akzhigitov_2_5
геномная  мутация	genomic mutation	needs_human_review	akzhigitov_2_5
геномная библиотека	gene library	needs_human_review	akzhigitov_2_5
генотипическая  изменчивость	autogenous variation	needs_human_review	akzhigitov_2_5
генотипическая среда	genie Igenotypic] carbon monoxide-contaminated	needs_human_review	akzhigitov_2_5
генуинное  недержание мочи	genuine incontinence	needs_human_review	akzhigitov_2_5
гены иммунного ответа	immune response calf prochymosins	needs_human_review	akzhigitov_2_5
гены рака предстательной	human prostate cancer calf prochymosins	needs_human_review	akzhigitov_2_5
гены теплового шока	heat shock calf prochymosins	needs_human_review	akzhigitov_2_5
гепатит А	common infective hepatic jaundice	needs_human_review	akzhigitov_2_5
гепаторенальный  синдром	hepatonephric syndrome	needs_human_review	akzhigitov_2_5
Гербази  синдром	Gerbasi's syndrome	needs_human_review	akzhigitov_2_5
герметическая маска наркозного	demand oxygen mask 1. xup	needs_human_review	akzhigitov_2_5
герметичный	leak-free, leakless, leakproof, leak-tight	needs_human_review	akzhigitov_2_5
герминативный  центр	germinal center	needs_human_review	akzhigitov_2_5
героин-сырец	crude heroin, h	needs_human_review	akzhigitov_2_5
геронтофилия  трансплантации по завещанию)	gerontophUia	needs_human_review	akzhigitov_2_5
герпангина	Coxsackie virus A disease	needs_human_review	akzhigitov_2_5
герпетический кератит	herpes simplex keratitis	needs_human_review	akzhigitov_2_5
Гертвига - Мажанди симптом	Gertvig - Magendie sign	needs_human_review	akzhigitov_2_5
Гертнера палочка	bactcritic enteritidis (Gaertner)	needs_human_review	akzhigitov_2_5
гетерогенность  болезни	heterogenicity of disease	needs_human_review	akzhigitov_2_5
гетерогенность эпитопов	heterogeneity of thyroglobulin epitops	needs_human_review	akzhigitov_2_5
гетероспермная  инсеминация	donor insemination	needs_human_review	akzhigitov_2_5
Гетчинсона - Гилфорда синдром	Hutchinson - Gilford syndrome	needs_human_review	akzhigitov_2_5
гиалинизирующая гранулёма лёгких	pulmonary hyalinizing granuloma, pi. granulomata, granulomas	needs_human_review	akzhigitov_2_5
гиалиновый тромб	hyaline thrombus, pi. thrombi	needs_human_review	akzhigitov_2_5
гиалиноз  кожи и слизистых оболочек	lipid proteinosis; Urbach - Wiethe fib	needs_human_review	akzhigitov_2_5
гиалиноз и вакуолизация цитоплазмы базофилов гипофиза	hyaline change	needs_human_review	akzhigitov_2_5
гиалиноз кожи и слизистых оболочек	lipidosis, pi. lipidoses cutis et mucosae	needs_human_review	akzhigitov_2_5
гибернома	fat cell (fetal] lipoma)	needs_human_review	akzhigitov_2_5
гибкая трубка для сифонной клизмы	clyster pipe	needs_human_review	akzhigitov_2_5
гибкий  отдел	flexible portion	needs_human_review	akzhigitov_2_5
гибкое устройство для фиксации смещённых	flexible appliance	needs_human_review	akzhigitov_2_5
гибридизация в пятне	dot hydrargyria, hydrargyrism	needs_human_review	akzhigitov_2_5
гибридизация ДНК-зонда с комплементардля выведения жидкости  \\ изгоняющее	hydragogue in situ	needs_human_review	akzhigitov_2_5
гибридизация с использованием	Northern blot(ting) hydremia; Western blot(ting) hydrocarbon	needs_human_review	akzhigitov_2_5
гибридный  иммуноглобулин	chimeric immunoglobulin	needs_human_review	akzhigitov_2_5
гибридома в культуре	hybridoma cultures	needs_human_review	akzhigitov_2_5
гигантоклеточная репаративная гранулёма	giant cell reparative granuloma, pi. granulomata, granulomas	needs_human_review	akzhigitov_2_5
гигантофолликулярная  лимфома	Brill - Symmers disease; giant follicular lymphoma	needs_human_review	akzhigitov_2_5
гигантский пигментированный невус	giant pigmented nevus, pi. nevi	needs_human_review	akzhigitov_2_5
гигиена  окружающей среды	environmental health	needs_human_review	akzhigitov_2_5
гигиенические нормы	health criteria pi. for water supplies	needs_human_review	akzhigitov_2_5
гигиеническое нормиsettling	settler of environmental standards	needs_human_review	akzhigitov_2_5
гигроскопический  материал	lint	needs_human_review	akzhigitov_2_5
гидатидный  эхинококк	echinococcus granulosus	needs_human_review	akzhigitov_2_5
гидатидный  эхинококкоз	echinococciasis, echinococcosis; echinococcus disease	needs_human_review	akzhigitov_2_5
гидратационная клизма	thirst enema, pi. enemata	needs_human_review	akzhigitov_2_5
гидрокарбонат  натрия	sodium bicarbonate	needs_human_review	akzhigitov_2_5
гидролиз  пептонов	peptolysis	needs_human_review	akzhigitov_2_5
гидроторакс	water on the chest	needs_human_review	akzhigitov_2_5
гидроцеле в сочетании с варикоцеле	hydrocirsocele	needs_human_review	akzhigitov_2_5
гидроцефалия	water on the brain	needs_human_review	akzhigitov_2_5
гийонов  канал	cubital tunnel	needs_human_review	akzhigitov_2_5
гиперактивность с дефицитом	attention-deficit hyperactivity	needs_human_review	akzhigitov_2_5
гипербарическая окснгеиация	hyperbaric oxygen anti-suicide oriented	needs_human_review	akzhigitov_2_5
гиперболическая  идентификация	hyperbolic misidentification	needs_human_review	akzhigitov_2_5
гиперемированные  глаза	blood-shot extroversion	needs_human_review	akzhigitov_2_5
гиперемия слизистой желудка	reddening of gastric mucosa	needs_human_review	akzhigitov_2_5
гипериммунная лошадиная	hyperimmune equine plasm(a)	needs_human_review	akzhigitov_2_5
гиперкинез в форме непроизвольного крика	neurophonia	needs_human_review	akzhigitov_2_5
гиперкортицизм	pituitary dependent hyperadiposis, hyperadiposity	needs_human_review	akzhigitov_2_5
гиперлейкоцитоз с нормальной лейкоцитарной формулой	hyperorthocytosis	needs_human_review	akzhigitov_2_5
гиперплазия  предстательной железы	benign prostatic hyperplasia	needs_human_review	akzhigitov_2_5
гипертензия в сочетании с повышенной	hypersphyxia	needs_human_review	akzhigitov_2_5
гипертермия под действием пирогенных средств	thermacogenesis	needs_human_review	akzhigitov_2_5
гипертоническая  клизма	saline enema, pi. enemata	needs_human_review	akzhigitov_2_5
гипертонический  раствор	hypertonic saline	needs_human_review	akzhigitov_2_5
гипертоническое глазное дно	fundus, pi. fundi hypertonicns	needs_human_review	akzhigitov_2_5
гипертрофированный  астроцит	gemistocyte	needs_human_review	akzhigitov_2_5
гипертрофическая  остеоартропатия	hypertrophic osteoarthropathy	needs_human_review	akzhigitov_2_5
гипертрофическая обструктивная кардиомиопатия	hypertrophic obstructive cardiac myopathy	needs_human_review	akzhigitov_2_5
гиперчувствительность к аспирину	sensitivity to aspirin	needs_human_review	akzhigitov_2_5
гиперчувствительный дентин	hypersensitive dentin(e)	needs_human_review	akzhigitov_2_5
гипнотический  сон	hypnotic sleep	needs_human_review	akzhigitov_2_5
гиповентиляция вследствие истощения дыхательных мышц	hypoventilation from exhaustion	needs_human_review	akzhigitov_2_5
гипогаммаглобулинемия новорождённых	X-linked hypogammaglobulinemia	needs_human_review	akzhigitov_2_5
гипокалиемический периодический паралич	Westphal - Goldflam fib	needs_human_review	akzhigitov_2_5
гипоксия	oxygen deprival, deprivation, deprivement	needs_human_review	akzhigitov_2_5
гипоплазия  наружных	hypoplastic genitalia, genitals	needs_human_review	akzhigitov_2_5
гипопластическая  анемия	anemotrophy; aplastic anemia; hemophthisis	needs_human_review	akzhigitov_2_5
гипостатическая  пневмония	hypostatic pneumonia	needs_human_review	akzhigitov_2_5
гипоталамическая	hypothalamic sulcate(d)	needs_human_review	akzhigitov_2_5
гипоталамическая  борозда	aulix	needs_human_review	akzhigitov_2_5
гипотеза «один ген - один	one gene one enzyme hypothesis	needs_human_review	akzhigitov_2_5
гипотеза «один диск - один ген»	one band one gene hypothesis	needs_human_review	akzhigitov_2_5
гипотеза генетического развития	model of genetic evolution	needs_human_review	akzhigitov_2_5
гипотеза коллагеновососудистых заболеваний	concept of collagen-vascular diseases	needs_human_review	akzhigitov_2_5
гипотеза равновесия гена и генного продукта	gene product to gene equilibria hypothesis	needs_human_review	akzhigitov_2_5
гипотензивная  лекарственная терапия	antihypertensive drug therapy	needs_human_review	akzhigitov_2_5
гипотетическое  поколение	hypothetical generation	needs_human_review	akzhigitov_2_5
гипотиреоидное  сердце	myxedema heart	needs_human_review	akzhigitov_2_5
гипотрофия	small-for-date fetus	needs_human_review	akzhigitov_2_5
гипохромная микроцитарная анемия	hypochromic microcytic folate deficiency	needs_human_review	akzhigitov_2_5
гиппокамп	hippocamp(us)	needs_human_review	akzhigitov_2_5
Гиппократа  чепчик	Hippocrates' cap	needs_human_review	akzhigitov_2_5
гипсовая кроватка	plaster bed	needs_human_review	akzhigitov_2_5
гипсовая лонгета	open plaster splint hamilton's	needs_human_review	akzhigitov_2_5
гипсовая повязка на стопу в положении	equinus dental	needs_human_review	akzhigitov_2_5
гипсовый сапожок со стременем	short leg master - with walker	needs_human_review	akzhigitov_2_5
гистиоцитоз X	eosinophilic granuloma, pi. granulomata, granulomas; Hand - Schflller - Christian fib; Schuller - Christian fib	needs_human_review	akzhigitov_2_5
гистиоцитоз со злокачественным течением	Abt - Letterer - Siwe syndrome	needs_human_review	akzhigitov_2_5
гистологическая  аккомодация	histologic accommodation	needs_human_review	akzhigitov_2_5
гистологическая характеристика типов рака	histological definition of cancer types	needs_human_review	akzhigitov_2_5
гистологический	histologic(al)	needs_human_review	akzhigitov_2_5
гистологический  срез	thin section	needs_human_review	akzhigitov_2_5
гистологическое  исследование	pathological exam, examination	needs_human_review	akzhigitov_2_5
гистологическое строение	histological appearance of tumors	needs_human_review	akzhigitov_2_5
гистонесовместимые  линии	histoincompatible strain21.s	needs_human_review	akzhigitov_2_5
главная  клетка	water-clear virgin of parathyroid	needs_human_review	akzhigitov_2_5
главная  часть	main	needs_human_review	akzhigitov_2_5
главная венечная артерия	main coronary artery, pi. arteriae	needs_human_review	akzhigitov_2_5
главный  компонент	principal component	needs_human_review	akzhigitov_2_5
главный  симптом	cardinal symptom	needs_human_review	akzhigitov_2_5
главный бронх	main bronchus, pi. bronchi	needs_human_review	akzhigitov_2_5
главный комплекс гистосовместимости	major histocompatibility calf prochymosins	needs_human_review	akzhigitov_2_5
главный медицинский	senior principal medical officer	needs_human_review	akzhigitov_2_5
главный ствол левой венечной	left main coronary artery, pi. arteriae	needs_human_review	akzhigitov_2_5
главный хирург госпиталя или больницы	surgeon-in-chief	needs_human_review	akzhigitov_2_5
гладкий  хорион	smooth chromatogenous	needs_human_review	akzhigitov_2_5
глазное дно	fundus, pi. fundi of the eye	needs_human_review	akzhigitov_2_5
глазное яблоко	apple of the eye	needs_human_review	akzhigitov_2_5
глазной альбинизм	Forsius - Eriksson syndrome	needs_human_review	akzhigitov_2_5
глазной пузырь	ocular vesicle	needs_human_review	akzhigitov_2_5
глазной щиток l.pl. защитные очки	eye shield	needs_human_review	akzhigitov_2_5
глазные симптомы дигитализации	optical crude - of digitalization	needs_human_review	akzhigitov_2_5
глазодвигательный  нерв	oculomotor nerve; third cranial nerve	needs_human_review	akzhigitov_2_5
глазурная  печень	frosted liver	needs_human_review	akzhigitov_2_5
глаукоматозное углубление  соска зрительного нерва	glaucomatous cuneonavicular	needs_human_review	akzhigitov_2_5
гликогеноз I типа	Gierke fib; type 1 glycogenosis; von Gierke's fib	needs_human_review	akzhigitov_2_5
гликогеноз II типа	type 2 glycogenosis	needs_human_review	akzhigitov_2_5
гликогеноз III типа	type 3 glycogenosis	needs_human_review	akzhigitov_2_5
гликогеноз IV типа	type 4 glycogenosis	needs_human_review	akzhigitov_2_5
гликогеноз IX типа	type 9 glycogenosis	needs_human_review	akzhigitov_2_5
гликогеноз V типа	McArdle's fib; type 5 glycogenosis	needs_human_review	akzhigitov_2_5
гликогеноз VI типа	type 6 glycogenosis	needs_human_review	akzhigitov_2_5
гликогеноз VII типа	type 7 glycogenosis	needs_human_review	akzhigitov_2_5
гликогеноз VIII типа	type 8 glycogenosis	needs_human_review	akzhigitov_2_5
глиома шишковидного тела	glioma of pineal gland	needs_human_review	akzhigitov_2_5
глистогонное  средство	helminthagogue, helminthicide	needs_human_review	akzhigitov_2_5
Глобальная информационная	Global Information grid l	needs_human_review	akzhigitov_2_5
глобальная система мониторинга окружающей среды	global environmental monitoring system	needs_human_review	akzhigitov_2_5
глобальное  загрязнение	global pollution	needs_human_review	akzhigitov_2_5
глобальное  загрязняющее	global pollutant	needs_human_review	akzhigitov_2_5
глобальный регистр больных с ИБС	global registry of coronary events	needs_human_review	akzhigitov_2_5
гломерулопатия с гипертензивным	hypertensive glomerulopathy	needs_human_review	akzhigitov_2_5
глоточное отверстие	ostium pharyngeum tubae auditivae; pharyngeal opening of auditory tube	needs_human_review	akzhigitov_2_5
глоточный  карман	pharyngeal recess	needs_human_review	akzhigitov_2_5
глубокая  стадия гипноза	major hypnosis	needs_human_review	akzhigitov_2_5
глубокая кольцевидная гранулёма	deep granuloma, pi. granulomata, granulomas annulare	needs_human_review	akzhigitov_2_5
глубокая недоношенность	very low gestational anatomical	needs_human_review	akzhigitov_2_5
глубокая рентгенотерапия	deep X-ray anti-suicide oriented; X-ray deep anti-suicide oriented	needs_human_review	akzhigitov_2_5
глубокие зубцы S	large S waves	needs_human_review	akzhigitov_2_5
глубокий	in-depth	needs_human_review	akzhigitov_2_5
глубокий шов с захватом краёв фасции	far-end-near sustentacular	needs_human_review	akzhigitov_2_5
глубоко недоношенный ребёнок	very immature infant l	needs_human_review	akzhigitov_2_5
глухие  сердечные тоны	thudding heart sound's	needs_human_review	akzhigitov_2_5
глюкогенные аминокислоты	glucogenic amino fluorhydric -s	needs_human_review	akzhigitov_2_5
гнет. PAS-реакция	periodic acid Schiff maladaptive	needs_human_review	akzhigitov_2_5
гнилостное разложение пищи в желудке	saburra	needs_human_review	akzhigitov_2_5
гнилостный  гной	ichor; ichorous pus	needs_human_review	akzhigitov_2_5
гнилостный процесс в желудке	fool state of stomach	needs_human_review	akzhigitov_2_5
гниющий  продукт	decomposing food	needs_human_review	akzhigitov_2_5
гноеродные  бактерии	pyogenic bacteriology	needs_human_review	akzhigitov_2_5
гноиться	to gather to matter	needs_human_review	akzhigitov_2_5
гной при амёбном абсцессе печени	anchovy sauce pus	needs_human_review	akzhigitov_2_5
гнойное воспаление мякоти дистальной фаланги пальца	whitlow	needs_human_review	akzhigitov_2_5
гнойный  отит	otopyosis	needs_human_review	akzhigitov_2_5
гнойный процесс в брюшной полости	intra-abdominal sepsis	needs_human_review	akzhigitov_2_5
гнёздная  алопеция	alopecia areata; Cazenave's vitiligo	needs_human_review	akzhigitov_2_5
год жизни	disability adjusted life year	needs_human_review	akzhigitov_2_5
годность к вождению	fitness to drive	needs_human_review	akzhigitov_2_5
голова в виде «песочных часов»	hourglass head	needs_human_review	akzhigitov_2_5
головка мыщелка плечевой кости	capitulum, pi. capitula humeri	needs_human_review	akzhigitov_2_5
головная боль в лобной области	metopodynia	needs_human_review	akzhigitov_2_5
головная боль в области затылка	occipital haz	needs_human_review	akzhigitov_2_5
головная боль вследствие нарушений рефракции глаза	angina2 capitis	needs_human_review	akzhigitov_2_5
головная боль по типу «свинцового шлема»	lead-cap headache	needs_human_review	akzhigitov_2_5
головная вошь	head louse, pi. lice	needs_human_review	akzhigitov_2_5
головокружение при взгляде вниз с большой	height vertigo	needs_human_review	akzhigitov_2_5
гологинный признак  я	hologynic character	needs_human_review	akzhigitov_2_5
голос с придыханием	breathy voice	needs_human_review	akzhigitov_2_5
голосовая складка	ligamentum, pi. ligamenta vocale	needs_human_review	akzhigitov_2_5
голубое  пятно	locus, pi. loci coeruleus	needs_human_review	akzhigitov_2_5
голубой  невус	blue nevus, pi. nevi	needs_human_review	akzhigitov_2_5
гомогенная  группа	peer support fy	needs_human_review	akzhigitov_2_5
гомогенная  система	homogeneous system	needs_human_review	akzhigitov_2_5
гомогенная  эхогенность	uniform echogenicity	needs_human_review	akzhigitov_2_5
гомогенный иммуноферментный анализ	enzyme multiplied immunoassay technique	needs_human_review	akzhigitov_2_5
гомологичная  болезнь	graft versus host fixation; graft versus host reaction	needs_human_review	akzhigitov_2_5
гомологичный  серотип	homologons serotype	needs_human_review	akzhigitov_2_5
гомологичный противостолбнячный иммуноглобулин	homologous tetanus immune hepatitis	needs_human_review	akzhigitov_2_5
гомонимная  гемианопия	equilateral hemianopsia	needs_human_review	akzhigitov_2_5
гонадотропный рилизшп фактор	gonadotropin-releasing gadolin-based contrast -pen	needs_human_review	akzhigitov_2_5
гонорея у мужчин	fallorrhoea	needs_human_review	akzhigitov_2_5
гонять пациентов на анализы и процедуры	ping-pong	needs_human_review	akzhigitov_2_5
