EN	RU	Category
pcv13	pcv13	medication
penicillin	пенициллин	medication
permethrin	перметрин	medication
piperonyl butoxide	пиперонил бутоксид	medication
pneumococcal conjugate	пневмококковая конъюгированная вакцина	medication
pneumococcal polysaccharide	пневмококковая полисахаридная вакцина	medication
pneumonia vaccine	вакцинация от пневмонии	medication
polyethylene glycol	полиэтиленгликоль	medication
powdered formula	сухая смесь	medication
ppsv23	ppsv23	medication
prenatal vitamin	витамины для беременных	medication
prenatal vitamins	витамины для беременных	medication
prescription medicine	препарат по рецепту	medication
prescription medicines	лекарственные препараты, отпускаемые по рецепту	medication
progestin	прогестин	medication
protein supplement	белковые добавки	medication
radioactive iodine	радиоактивный йод	medication
radioactive medicine	радиоактивное вещество	medication
ready to feed formula	готовая смесь	medication
saccharin	сахарин	medication
salt substitute	заменитель соли	medication
seasonal flu vaccine	вакцина против сезонного гриппа	medication
sedative	успокоительное средство	medication
sedative	успокоительное	medication
sertraline	сертралин	medication
sore throat lozenges	пастилки от боли в горле	medication
steroid injections	инъекции стероидов	medication
steroids	стероиды	medication
stimulants	стимуляторы	medication
stool softener	размягчитель стула	medication
stool softener	слабительное	medication
stool softener	смягчитель стула	medication
sucralose	сукралоза	medication
sulfa	сульфамидные препараты	medication
sunscreen	солнцезащитный крем	medication
testosterone creams	крем с тестостероном	medication
tetanus vaccine	прививка от столбняка	medication
thyroid medicine	лекарства для щитовидной железы	medication
topical medicine	местное лекарство	medication
tracer	контрастное вещество	medication
vaccine	вакцина	medication
vaccines	вакцины	medication
venlafaxine	венлафаксин	medication
vitamin a	витамин а	medication
vitamin a	витамин a	medication
vitamin b complex	витамины группы в	medication
vitamin b6	витамин b6	medication
vitamin c	витамин с	medication
vitamin d	витамин d	medication
vitamin d supplement	препарат витамина d	medication
vitamin e	витамин е	medication
vitamins	витамины	medication
warfarin	варфарин	medication
water-based lubricants	гели-смазки на водной основе	medication
zinc	цинк	medication
active ingredients	активные ингредиенты	other_medical
advance directives	предварительные распоряжения	other_medical
air bubbles	пузырьки воздуха	other_medical
air pollution	загрязнение воздуха	other_medical
alcohol pad	спиртовая салфетка	other_medical
alcohol-based hand sanitizer	спиртовое дезинфицирующее средство	other_medical
amyloid plaques	амилоидные бляшки	other_medical
aneurysm clips	аневризматические клипсы	other_medical
antibodies	антитела	other_medical
appetite suppressant	подавитель аппетита	other_medical
artificial heart valve	искусственный клапан сердца	other_medical
artificial joint	искусственный сустав	other_medical
artificial kidney	искусственная почка	other_medical
asbestos	асбест	other_medical
assistive devices	вспомогательные принадлежности	other_medical
asthma triggers	аллергены	other_medical
baby food	детское питание	other_medical
bacteria	бактерии	other_medical
balloon	баллон	other_medical
band-aid	пластырь	other_medical
battery-powered wheelchair	инвалидное кресло на аккумуляторе	other_medical
biological emergency	биологическая катастрофа	other_medical
blood cholesterol	холестерин	other_medical
blood clot	тромб	other_medical
blood clot filter	кава-фильтр	other_medical
blood flow	кровоток	other_medical
blood flow	кровообращение	other_medical
blood pressure cuff	манжета для измерения давления	other_medical
booster seat	бустер	other_medical
bowel movements	дефекация	other_medical
breast implants	грудные имплантаты	other_medical
breast tissue expander	тканевые расширители груди	other_medical
breastfeeding	грудное вскармливание	other_medical
breastmilk	грудное молоко	other_medical
breastmilk	материнское молоко	other_medical
brisk walking	быстрая ходьба	other_medical
carbon monoxide	угарный газ	other_medical
carbon monoxide detector	детектор угарного газа	other_medical
chemical emergency	химическая катастрофа	other_medical
child safety seats	детские сиденья	other_medical
child's weight	вес ребенка	other_medical
cholesterol	холестерин	other_medical
clear liquid diet	диета прозрачных жидкостей	other_medical
clear liquids	прозрачные жидкости	other_medical
coil	катушка	other_medical
condoms	презервативы	other_medical
cool-mist humidifier	рассеивающий увлажнитель воздуха	other_medical
crutches	костыли	other_medical
cyberbullying	кибербуллинг	other_medical
cycler	циклер	other_medical
dental floss	зубная нить	other_medical
dentures	зубные протезы	other_medical
dermatologist	дерматолог	other_medical
dialysis machine	диализный аппарат	other_medical
diaphragm	влагалищная диафрагма	other_medical
dietitian	диетолог	other_medical
digestion	пищеварение	other_medical
digital thermometer	электронный термометр	other_medical
digital thermometer	цифровой термометр	other_medical
disinfectant cleaner	дезинфицирующее моющее средство	other_medical
disposable respirator	одноразовый респиратор	other_medical
do not resuscitate order	распоряжение об отказе от реанимации	other_medical
dose	дозировка	other_medical
dose	доза	other_medical
dressing	повязка	other_medical
dropper	пипетка	other_medical
drug resistance	устойчивость к лекарствам	other_medical
dwell time	время нахождения жидкости	other_medical
electric breast pump	электрический молокоотсос	other_medical
electrical activity of the brain	электрическая активность мозга	other_medical
electrical impulse	электрический импульс	other_medical
electrodes	электроды	other_medical
emergency department	отделение неотложной помощи	other_medical
exam table	смотровое кресло	other_medical
expiration date	срок годности	other_medical
eye specialist	окулист	other_medical
face shield	защитная повязка	other_medical
facemask	защитная маска	other_medical
family medicine doctor	семейный врач	other_medical
feeding cues	признаки готовности к сосанию	other_medical
fiber	клетчатка	other_medical
flu virus	вирус гриппа	other_medical
food diary	дневник питания	other_medical
fungi	грибки	other_medical
fungus	грибок	other_medical
gauze	салфетка	other_medical
gauze dressing	марлевая повязка	other_medical
gel pad	гелевая подушечка	other_medical
glucose	глюкоза	other_medical
grasping reflex	хватательный рефлекс	other_medical
grounding pad	заземляющая накладка	other_medical
hand sanitizer	дезинфицирующее средство на основе спирта	other_medical
handrail	перила	other_medical
harmful substance	вредные вещества	other_medical
head coil	катушка для головы	other_medical
health care power of attorney	доверенность на принятие медицинских решений	other_medical
health care provider	врач	other_medical
health care proxy	доверенность на право представлять интересы больного	other_medical
healthy diet	здоровое питание	other_medical
healthy weight	здоровый вес	other_medical
heart beat	удар сердца	other_medical
heart pacemaker	кардиостимулятор	other_medical
heart pumps	сердце прокачивает кровь	other_medical
heart rate	сердцебиение	other_medical
heart walls motion	движение стенок сердца	other_medical
high fiber diet	диета с высоким содержанием клетчатки	other_medical
high fiber food	продукты с высоким содержанием клетчатки	other_medical
hospital gown	больничная одежда	other_medical
hospital gown	больничный халат	other_medical
humidifier	увлажнитель	other_medical
ice pack	пакет со льдом	other_medical
icu	отделение интенсивной терапии	other_medical
implanted pump	имплантированная помпа	other_medical
inactive ingredients	неактивные ингредиенты	other_medical
individualized education program	индивидуальная программа обучения	other_medical
inhaler	ингалятор	other_medical
injection site	место укола	other_medical
insulin dose	доза инсулина	other_medical
insulin units	единицы инсулина	other_medical
intensive care unit	отделение интенсивной терапии	other_medical
intravenous	внутривенно	other_medical
intravenous	катетер	other_medical
iud	внутриматочная спираль	other_medical
iv line	капельница	other_medical
iv pump	насос для внутривенных вливаний	other_medical
lactation specialist	специалист по грудному вскармливанию	other_medical
lactation specialist	специалист по вопросам кормления грудью	other_medical
latch on	присасываться	other_medical
lice eggs	яйца вшей	other_medical
living will	завещание на случай недееспособности	other_medical
low fat foods	нежирные продукты	other_medical
lp shunt	пояснично-перитонеальный шунт	other_medical
manual breast pump	ручной молокоотсос	other_medical
medical decisions	медицинские решения	other_medical
medicine bottle	флакон с лекарством	other_medical
medicine dose	дозировка лекарства	other_medical
medicine safety	безопасность при приеме лекарств	other_medical
medicine spoon	мерная ложка	other_medical
menstrual period	менструация	other_medical
mental health professional	специалист по психическому здоровью	other_medical
metal fragments	металлические осколки	other_medical
milk flow	выделение молока	other_medical
milliliter	миллилитр	other_medical
mist	туман	other_medical
monosaturated fats	мононенасыщенные жиры	other_medical
mouthpiece	мундштук	other_medical
nebulizer	небулайзер	other_medical
needle	игла	other_medical
needle disposal	контейнер для использованных игл	other_medical
needle disposal box	контейнер для использованных игл	other_medical
needles and syringes	иглы и шприцы	other_medical
neurofibrillary tangles	нейрофибриллярные клубки	other_medical
nicotine	никотин	other_medical
nits	гниды	other_medical
normal curves in back	правильная осанка	other_medical
obstetrician	гинеколог	other_medical
oxygen concentrator	концентратор кислорода	other_medical
pacemaker	электрокардиостимулятор	other_medical
pacifier	пустышка	other_medical
pandemic	пандемия	other_medical
parasite	паразит	other_medical
parasites	паразиты	other_medical
pasteurized milk	пастеризованное молоко	other_medical
pediatric doctor	педиатр	other_medical
pediatric nurse practitioner	медсестра-помощник педиатра	other_medical
pediatrician	педиатр	other_medical
penile prosthesis	фаллопротез	other_medical
pet dander	аллергены животных	other_medical
pharmacist	фармацевт	other_medical
physical activity	физическая нагрузка	other_medical
physical therapist	физиотерапевт	other_medical
physical therapists	физиотерапевты	other_medical
physically active	активный образ жизни	other_medical
pin electrode	игольчатый электрод	other_medical
plaque	бляшка	other_medical
plunger	поршень	other_medical
pocket mask	дыхательная маска	other_medical
poison control	токсикологическая служба	other_medical
pollen	пыльца	other_medical
porous surface	пористая поверхность	other_medical
portion size	размер порции	other_medical
potassium	калий	other_medical
protective clothing	защитная одежда	other_medical
protein	белок	other_medical
radiation exposure	облучение	other_medical
radon gas	радон	other_medical
rear-facing seat	кресло, обращенное против движения	other_medical
recovery room	послеоперационная палата	other_medical
registered nurse	дипломированный специалист	other_medical
rooting reflex	корневой рефлекс	other_medical
rubber stopper	резиновая пробка	other_medical
saturated fats	насыщенные жиры	other_medical
second trimester	второй триместр	other_medical
secondhand smoke	пассивное курение	other_medical
sharps container	контейнер с острыми предметами	other_medical
side effects	побочные явления	other_medical
side rails	боковые ограждения	other_medical
sleep patterns	режим сна	other_medical
slip resistant socks	нескользящие носки	other_medical
sodium	натрий	other_medical
soft bristle toothbrush	зубная щетка с мягкой щетиной	other_medical
special needs	ограниченные возможности	other_medical
speech language pathologist	врач-логопед	other_medical
staph germ	стафилококк	other_medical
startle reflex	рефлекс испуга	other_medical
stepping reflex	шаговый рефлекс	other_medical
steri strips	полоски steri-strip	other_medical
sterile bandage	стерильная повязка	other_medical
stethoscope	стетоскоп	other_medical
stirrups	подставки	other_medical
stool	кал	other_medical
sucking reflex	сосательный рефлекс	other_medical
suffocate	задохнуться	other_medical
sugar free gum	жевательная резинка без сахара	other_medical
syringe	шприц	other_medical
teaspoon	чайная ложка	other_medical
teething ring	кольцо для прорезывания зубов	other_medical
tobacco free life	жизнь без табака	other_medical
tongue blade	депрессор языка	other_medical
toxic chemicals	токсичные химические вещества	other_medical
transducer	датчик	other_medical
treadmill	беговая дорожка	other_medical
tube	трубка	other_medical
tummy time	время на животике	other_medical
urinating	мочеиспускание	other_medical
urination	мочеиспускание	other_medical
vaporizer	испаритель	other_medical
virus	вирусы	other_medical
viruses	вирусы	other_medical
vp shunt	вентрикуло-перитонеальный шунт	other_medical
walker	ходунки	other_medical
weight loss	похудение	other_medical
weight loss	снижение веса	other_medical
wet diapers	мочеиспускания	other_medical
wheat bran	пшеничные отруби	other_medical
whole grain breads	хлеб из необработанного зерна	other_medical
x-ray table	рентгеновский стол	other_medical
abdomen imaging	обследование брюшной полости	procedure
ablation	абляция	procedure
active labor	активная фаза родов	procedure
active leg range of motion	активная амплитуда движений ног	procedure
active range of motion	активная амплитуда движений	procedure
aerobic exercises	аэробные упражнения	procedure
aerosol treatment	аэрозольная терапия	procedure
amniocentesis	амниоцентез	procedure
angiogram	ангиограмма	procedure
angioplasty	ангиопластика	procedure
ankle circles	круговые движения лодыжками	procedure
ankle exercises	упражнения для лодыжек	procedure
ankle pumps	качающие движения голеностопного сустава	procedure
ankle stretch	вытягивание лодыжки	procedure
antiviral therapy	антивирусная терапия	procedure
apd	апд	procedure
appendectomy	аппендэктомия	procedure
artery is joined to a vein	артерия соединяется с веной	procedure
automated peritoneal dialysis	автоматический перитонеальный диализ	procedure
av fistula	артериовенозный свищ	procedure
balloon angioplasty	баллонная ангиопластика	procedure
bandage	повязка	procedure
behavior modification	изменение привычек	procedure
biofeedback	метод биологической обратной связи	procedure
biopsy	биопсия	procedure
biotherapy	биотерапия	procedure
bladder retraining program	программа тренировки мочевого пузыря	procedure
blood pressure cuff	манжета для измерения кровяного давления	procedure
blood sample	образец крови	procedure
blood transfusion	переливание крови	procedure
bottle-feeding	искусственное вскармливание	procedure
bowel prep	подготовка кишечника	procedure
brachytherapy	брахитерапия	procedure
breast biopsy	биопсия молочной железы	procedure
breast exam	обследование груди	procedure
breast exam	обследование молочных желез	procedure
breast massage	массаж груди	procedure
breast milk expression	сцеживание грудного молока	procedure
breast milk storage	хранение грудного молока	procedure
breast pump	молокоотсос	procedure
breast reconstruction	реконструктивная хирургия груди	procedure
breastfeed	кормить грудью	procedure
breastfeed	кормить ребенка грудью	procedure
breastfeeding	кормление	procedure
breastfeeding	кормление грудью	procedure
breastfeeding	прикладывание к груди	procedure
breastfeeding latch	прикладывание к груди	procedure
breathing exerciser	дыхательный тренажер	procedure
breathing exercises	дыхательная гимнастика	procedure
breathing exercises	дыхательные упражнения	procedure
breathing treatment	ингаляционное лечение	procedure
breathing tube	дыхательная трубка	procedure
bridge	мостик	procedure
bridging	мостик	procedure
bronchoscopy	бронхоскопия	procedure
bulb syringe	аспиратор	procedure
burp	срыгивание	procedure
burp	отрыгнуть	procedure
burp baby	подождать отрыжки	procedure
burping	отрыжка	procedure
bypass surgery	операция шунтирования	procedure
cancer treatment	лечение рака	procedure
cancer treatment	лечение онкологических заболеваний	procedure
cancer treatment	лечение онкологического заболевания	procedure
capd	напд	procedure
cardiac catheterization	коронарография	procedure
cardiac rehab program	курс реабилитации для больных с заболеваниями сердца	procedure
cardiac rehab program	программа реабилитации сердца	procedure
cardiopulmonary resuscitation	реанимация	procedure
cardioversion	кардиоверсия	procedure
cast	гипс	procedure
cast	гипсовая повязка	procedure
cat stretch	выгибание позвоночника	procedure
catheter	катетер	procedure
ccpd	нцпд	procedure
central catheter	центральный катетер	procedure
cesarean birth	кесарево сечение	procedure
cesarean delivery	кесарево сечение	procedure
cheek puff exercise	надувание щек	procedure
chemo	химия	procedure
chemotherapy	химиотерапия	procedure
chest compression	компрессия грудной клетки	procedure
chest surgery	операция на груди	procedure
chorionic villus sampling	проба ворсинчатого хориона	procedure
circumcision	обрезание	procedure
clean catch	чистый сбор	procedure
cold packs	охлаждающий пакет	procedure
cold treatment	холодовое лечение	procedure
colon examination	обследование кишечника	procedure
colonoscopy	колоноскопия	procedure
colostomy	осмотр прямой и ободочной кишки	procedure
colposcope	кольпоскоп	procedure
comfort suck	сосать грудь для успокоения	procedure
continuous ambulatory peritoneal dialysis	непрерывный амбулаторный перитонеальный диализ	procedure
continuous cycling peritoneal dialysis	непрерывный циклический перитонеальный диализ	procedure
continuous positive airway pressure machine	прибор для поддержания постоянного положительного давления в дыхательных путях	procedure
cool down	упражнения на расслабление	procedure
cord care	уход за пупком	procedure
core needle biopsy	толстоигольная биопсия	procedure
coronary angioplasty	коронарная ангиопластика	procedure
coronary artery bypass surgery	аортокоронарное шунтирование	procedure
coughing	прокашливание	procedure
coughing exercises	упражнения по кашлю	procedure
coughing exercises	кашлевые упражнения	procedure
counseling	консультация	procedure
counseling	психологическая помощь	procedure
cpap	сипап	procedure
cpap machine	cpap аппарат	procedure
cpr	реанимация	procedure
curl up	скручивания	procedure
cystoscopy	цистоскопия	procedure
decontamination	санитарная обработка	procedure
decontamination	обеззараживание	procedure
deep breathing	глубокое дыхание	procedure
deep breathing	глубоко дышать	procedure
deep breathing exercises	упражнения по глубокому дыханию	procedure
deep breathing exercises	дыхательные упражнения	procedure
deep breaths	глубокие вдохи	procedure
deep knee bends	глубокие приседания	procedure
defibrillator	дефибриллятор	procedure
delivery	рождение ребенка	procedure
dental care	лечение зубов	procedure
diabetes education	учебные занятия по диабету	procedure
dialysis	диализ	procedure
dialysis access	место подключения	procedure
doppler ultrasound	ультразвуковое доплеровское исследование	procedure
double knee to chest	прижимание колен к груди	procedure
douching	спринцевание	procedure
drain the infection	дренирование	procedure
dye injection	введение красителя	procedure
early labor	ранняя фаза родов	procedure
effortful swallow	глотание с усилием	procedure
elbow flexion and extension	сгибание и разгибание локтя	procedure
elbow press up	отжимание с упором на локти	procedure
electrical shock	электрошок	procedure
electrical stimulation	электростимуляция	procedure
emergency care	скорая помощь	procedure
enemas	клизмы	procedure
episiotomy	эпизиотомия	procedure
ercp	эрхпг	procedure
estrogen replacement therapy	заместительная терапия эстрогеном	procedure
exchange	цикл обмена	procedure
excisional biopsy	эксцизионная биопсия	procedure
exercise	физические упражнения	procedure
exercise bike	велотренажер	procedure
exercise session	занятие упражнениями	procedure
external radiation therapy	внешняя лучевая терапия	procedure
external rotation	внешнее вращение	procedure
eye dilation	осмотр глазного дна	procedure
eye exam	проверка зрения	procedure
eye surgery	хирургическое вмешательство на глазах	procedure
facial strengthening exercises	упражнения на укрепление лица	procedure
facial strengthening exercises	упражнения для укрепления мышц лица	procedure
fasting	натощак	procedure
feeding tube	катетер для энтерального питания	procedure
feeding tubes	кормление через зонд	procedure
female pelvic exam	гинекологический осмотр	procedure
fiberglass cast	стекловолокно	procedure
fine needle aspiration	тонкоигольная аспирационная биопсия	procedure
finger stick	забор крови из пальца	procedure
first aid class	оказание первой помощи	procedure
flu shot	прививка от гриппа	procedure
flu vaccine	вакцинация от гриппа	procedure
follow up visit	контрольный осмотр	procedure
foot care	уход за ногами	procedure
foot check	осмотр ног	procedure
foot press	надавливание на ступню	procedure
forearm pronation and supination	пронация и супинация предплечья	procedure
gastric electrical stimulation	электростимуляция желудка	procedure
glucagon shot	инъекция глюкагона	procedure
gluteal sets	упражнения на ягодицы	procedure
graft	имплантат	procedure
hamstring stretch	растягивание задней поверхности бедра	procedure
hand expression	сцеживание руками	procedure
hand washing	мытье рук	procedure
heart angioplasty	коронарная ангиопластика	procedure
heart cath	коронарография	procedure
heavy exercise	интенсивные физические нагрузки	procedure
heel raises	поднятие пятки	procedure
hemodialysis	гемодиализ	procedure
hip abduction	отведение бедер	procedure
hip abduction	отведение бедра	procedure
hip and knee bending	сгибание ноги в бедре и колене	procedure
hip extension	растяжение мышц бедра	procedure
hip flexion	сгибание бедер	procedure
hip outward and inward	движения бедер внутрь и наружу	procedure
hip rolls	накатывания таза	procedure
hip rotation	поворот бедра	procedure
hold your breath	задержать дыхание	procedure
home care	уход на дому	procedure
hormone replacement therapy	заместительная гормональная терапия	procedure
hormone therapy	гормональная терапия	procedure
hot treatment	тепловое лечение	procedure
hrt	згт	procedure
icd	икд	procedure
ice application	прикладывание льда	procedure
ice therapy	прикладывание льда	procedure
immunotherapy	иммунотерапия	procedure
implant therapy	имплантированная терапия	procedure
incentive spirometer	стимулирующий спирометр	procedure
incision	разрез	procedure
incision	надрез	procedure
infant cpr	искусственное дыхание и непрямой массаж сердца	procedure
infant/child cpr course	курс сердечно-легочной реанимации детей	procedure
injection	инъекция	procedure
injections	инъекции	procedure
insulin injection	инъекция инсулина	procedure
insulin injection	укол инсулина	procedure
insulin syringe	шприц для введения инсулина	procedure
internal radiation therapy	внутренняя лучевая терапия	procedure
intravenous	внутривенный катетер	procedure
intravenous	внутривенное введение	procedure
intravenous	капельница	procedure
intravenous	внутривенных вливаний	procedure
intravenous line	внутривенная капельница	procedure
iv	катетер	procedure
iv	внутривенно	procedure
iv	капельница	procedure
iv	внутривенное введение	procedure
iv	внутривенный катетер	procedure
iv catheter	внутривенный катетер	procedure
jaw strengthening	укрепление челюстей	procedure
joint extension	переразгибание суставов	procedure
joint replacement	замена сустава	procedure
kegel exercises	упражнения кегеля	procedure
kidney transplant	пересадка почек	procedure
knee extension	выпрямление колена	procedure
knee flexion	сгибание коленей	procedure
knee push	прижимание колена	procedure
knee to chest	прижимание колена к груди	procedure
labor and delivery	роды	procedure
laparoscopic	лапароскопическая операция	procedure
laparoscopic appendectomy	лапароскопическая аппендэктомия	procedure
laser treatment	лазерная коррекция	procedure
laser treatment	лазерное лечение	procedure
latch	прикладывание к груди	procedure
latch on	прикладывание к груди	procedure
leads	электроды	procedure
leep	петлевая эксцизия шейки матки	procedure
leep	leep	procedure
leg extensions	вытягивание ног	procedure
light box	лайтбокс	procedure
lip closure	смыкание губ	procedure
lip hold exercise	удержание предмета губами	procedure
liver imaging	обследование печени	procedure
loop electrosurgical excision procedure	петлевая электрохирургическая эксцизия	procedure
low back exercises	упражнения для нижней спины	procedure
low back stretch	растягивание нижнего отдела спины	procedure
lumbar extension	растягивание мышц поясницы	procedure
lumbar puncture	люмбальная пункция	procedure
lumbar spine stretches	растягивание поясничного отдела позвоночника	procedure
lumpectomy	лампэктомия	procedure
masako maneuver	маневр масако	procedure
mastectomy	мастэктомия	procedure
meal planning	планирование приемом пищи	procedure
medical treatment	медицинское лечение	procedure
mini-squats	мини-приседания	procedure
nebulizer treatment	небулайзерная терапия	procedure
nit comb	гребень для вычесывания гнид	procedure
non-weight bearing	без нагрузки на ногу	procedure
occupational therapy	трудовая терапия	procedure
open appendectomy	открытая аппендэктомия	procedure
open heart surgery	операция на открытом сердце	procedure
open procedure	открытая операция	procedure
oxygen therapy	лечение кислородом	procedure
pain control	обезболивание	procedure
pain management	контроль боли	procedure
pain relief	унять боль	procedure
pancreas imaging	обследование поджелудочной железы	procedure
partial weight bearing	частичная нагрузка	procedure
pelvic exam	гинекологический осмотр	procedure
pelvic exam	исследование органов малого таза	procedure
pelvic floor exercises	упражнения для мышц тазового дна	procedure
pelvic tilt	наклоны таза	procedure
percussion	выстукивание	procedure
peri care	уход за промежностью	procedure
peritoneal dialysis	перитонеальный диализ	procedure
pessary	маточное кольцо	procedure
physical exam	обследование	procedure
physical exercise	физическая активность	procedure
physical therapy	физическая терапия	procedure
physical therapy	физиотерапия	procedure
pneumococcal vaccine	вакцинация от пневмококковой инфекции	procedure
pneumonia vaccine	прививка от пневмонии	procedure
postural drainage	постуральный дренаж	procedure
prenatal care	дородовое обследование	procedure
prenatal care	ведение беременности	procedure
prenatal check ups	дородовое обследование	procedure
prenatal visit	посещение женской консультации	procedure
press ups	отжимания	procedure
press-ups	отжимания	procedure
pressure bandage	повязка	procedure
pressure bandage	давящая повязка	procedure
ptca	чрескожная транслюминальная коронарная ангиопластика	procedure
quad sets	упражнение на мышцы бедра	procedure
quarter squat	четверть приседа	procedure
quitting tobacco	отказ от табака	procedure
radiation	облучение	procedure
radiation therapy	лучевая терапия	procedure
radiation therapy	радиотерапия	procedure
range of motion	амплитуда движения	procedure
range of motion	диапазон движения	procedure
range of motion exercises	упражнения на амплитуду движения	procedure
rectal exam	обследование прямой кишки	procedure
rehabilitation therapy	реабилитационная терапия	procedure
rescue breathing	искусственное дыхание	procedure
self breast exam	самостоятельная проверка груди	procedure
short arc quads	упражнение «короткая дуга» на мышцы бедра	procedure
shoulder abduction	отведение плеча	procedure
shoulder external rotation	движение плеча во внешнем направлении	procedure
shoulder flexion	сгибание плеча	procedure
shoulder internal rotation	движение плеча во внутреннем направлении	procedure
shoulder range of motion	подвижность плеча	procedure
shoulder sling	плечевой бандаж	procedure
shoulder strengthening	укрепление плеча	procedure
side clam	разведение коленей лежа на боку	procedure
side-lying position	положение на боку	procedure
sigmoidoscopy	ректороманоскопия	procedure
sitz bath	сидячая ванна	procedure
speculum	зеркало	procedure
speculum	влагалищное зеркало	procedure
spinal puncture	спиномозговая пункция	procedure
spinal tap	поясничный прокол	procedure
splint	шина	procedure
sponge bath	гигиенический душ со смоченной губкой	procedure
sponge bath	обтирание губкой	procedure
sponge bath	протирание влажной губкой	procedure
stages of labor	этапы родов	procedure
staples	скобы	procedure
stent	стент	procedure
stereotactic biopsy	стереотактическая биопсия	procedure
steri-strips	стерильные полоски	procedure
stitch	швы	procedure
stitches	швы	procedure
stomach surgery	операция на животе	procedure
straight leg raise	подъем прямой ноги	procedure
subcutaneous injection	подкожная инъекция	procedure
subcutaneous injection	инъекция под кожу	procedure
subcutaneous injection	подкожный укол	procedure
support group	группа поддержки	procedure
surgery	операция	procedure
surgery	хирургическая операция	procedure
surgery	хирургическое вмешательство	procedure
swallowing check	проверка глотания	procedure
targeted therapy	таргетная терапия	procedure
therapy	психологическое лечение	procedure
tissue biopsy	кусочек ткани для анализа	procedure
toe curls	хватание пальцами ног	procedure
toe raises	поднятие пальцев ног	procedure
tongue stretch	вытягивание языка	procedure
total hip replacement	полная замена тазобедренного сустава	procedure
total knee replacement	полная замена коленного сустава	procedure
touch down weight bearing	касательная нагрузка	procedure
tracheostomy	трахеостомия	procedure
transition	переходная фаза	procedure
transplantation	трансплантация	procedure
treadmill	бегущая дорожка	procedure
tub bath	купание в ванне	procedure
tummy time	положение на животе	procedure
upper endoscopy	эндоскопия верхних отделов жкт	procedure
vaccinations	прививки	procedure
vaccine injection	укол прививки	procedure
vaccines	прививки	procedure
vaginal birth	вагинальные роды	procedure
vaginal delivery	влагалищное родоразрешение	procedure
vaginal estrogen therapy	локальная терапия эстрогенами	procedure
wall slide	скольжение по стене	procedure
wall slide	приседания с упором на стену	procedure
warm compress	теплый компресс	procedure
warm up	разминка	procedure
weight bearing	нагрузка на ногу	procedure
wireless capsule monitor	капсульная эндоскопия	procedure
wound healing	заживление раны	procedure
wrist flexion and extension	сгибание и разгибание запястья	procedure
wrist rotation	вращение запястья	procedure
abdominal cramping	спазмы в животе	symptom
abdominal cramps	схватки в животе	symptom
abdominal distension	вздутие живота	symptom
abdominal pain	боль в животе	symptom
abdominal pain	боль в области живота	symptom
abdominal trauma	травма живота	symptom
abnormal cells	атипичные клетки	symptom
abnormal signs	необычные симптомы	symptom
ache	ломота	symptom
aching joints	боль в суставах	symptom
afterbirth pains	схваткообразные боли в животе	symptom
afterbirth pains	боли при выходе последа	symptom
aggressive behavior	агрессивное поведение	symptom
agitation	беспокойство	symptom
airway collapse	смыкание дыхательных путей	symptom
airway swelling	отек дыхательных путей	symptom
allergic reaction	аллергическая реакция	symptom
allergies	аллергические реакции	symptom
alopecia	алопеция	symptom
ankle swelling	отек лодыжек	symptom
anxiety	тревожность	symptom
anxiety	беспокойство	symptom
apnea	апноэ	symptom
appetite changes	изменение аппетита	symptom
arm soreness	боль в руке	symptom
asthma attack	приступ астмы	symptom
aura	аура	symptom
back pain	боль в спине	symptom
back pain	болит спина	symptom
back strain	напряжение спины	symptom
backache	боль в спине	symptom
bad dreams	ночные кошмары	symptom
bad taste in mouth	неприятный привкус во рту	symptom
balance loss	потеря равновесия	symptom
balance problems	проблемы с равновесием	symptom
behavior problems	проблемы с поведением	symptom
bitter taste	горький привкус	symptom
bladder control	контроль работы мочевого пузыря	symptom
bleeding	кровотечение	symptom
bleeding	кровоточить	symptom
bleeding at the site	кровотечение на месте ввода	symptom
bleeding gums	кровотечение десен	symptom
bleeding problems	кровотечения	symptom
blindness	слепота	symptom
blister	волдырь	symptom
blisters	волдыри	symptom
bloated	вздутие	symptom
bloated	вздутие живота	symptom
bloating	вздутие живота	symptom
blood clots	сгустки крови	symptom
blood in stool	кровь в стуле	symptom
blood in stool	следы крови в стуле	symptom
blood loss	потеря крови	symptom
blood vessel swelling	расширение кровеносных сосудов	symptom
bloody show	отхождение слизистой пробки	symptom
bloody urine	кровь в моче	symptom
blue or gray skin color	кожа синего или серого цвета	symptom
blueness around mouth	посинение вокруг рта	symptom
bluish-gray fingernails	посинение ногтей	symptom
bluish-gray spots	синевато-серые пятна	symptom
blurred vision	размытое зрение	symptom
blurred vision	расплывчатое зрение	symptom
blurred vision	затуманенное зрение	symptom
blurred vision	помутнение зрения	symptom
blurry vision	размытое зрение	symptom
blurry vision	затуманенное зрение	symptom
body aches	боль в теле	symptom
body aches	ломота в теле	symptom
boil	фурункул	symptom
bone loss	потеря костной массы	symptom
bone spurs	костные наросты	symptom
bowel control	контроль работы кишечника	symptom
bowel habits	работа кишечника	symptom
bowel movement	опорожнение кишечника	symptom
bowel movement	испражнение	symptom
bowel movement	стул	symptom
bowel movements	стул	symptom
brain bleeding	кровотечение в мозге	symptom
brain bruising	ушиб головного мозга	symptom
brain damage	повреждение мозга	symptom
brain swelling	отек головного мозга	symptom
brain tissue shrinkage	уменьшение мозговой ткани	symptom
