English	Russian	Source
Sporadic	Спорадичный	covid_dict
Sputum	Мокрота	covid_dict
Steroids	Стероиды	covid_dict
Stomach	Желудок	covid_dict
Stomach ulcer	Язвенная болезнь желудка	covid_dict
Stool	Кал	covid_dict
Strand	Цепь, нить	covid_dict
Streptomycin	Стрептомицин	covid_dict
Stress	Стресс	covid_dict
Structure-activity relationship	Соотношение «структура– активность»	covid_dict
Stupor	Ступор	covid_dict
Subacute	Подострый	covid_dict
Subclinical	Субклинический, преклинический	covid_dict
Subspecies	Подвид	covid_dict
Substance P	Субстанция Р	covid_dict
Substrate	Субстрат	covid_dict
Substrate specificity	Специфичность субстрата	covid_dict
Supportive care	Симптоматическая терапия, поддерживающая терапия	covid_dict
Suppression	Подавление, супрессия	covid_dict
Symptomatic	С клинической симптоматикой, симптоматический	covid_dict
Synaptic	Синаптический	covid_dict
Systemic	Системный	covid_dict
Tenesmus	Тенезм	covid_dict
Terminator	Стоп-кодон, терминатор, терминирующий кодон	covid_dict
Therapeutics	Терапевтический	covid_dict
Thermal	Тепловой, термический	covid_dict
Threonine	Треонин, тре	covid_dict
Thrombin	Тромбин	covid_dict
Thrombomodulin	Тромбомодулин	covid_dict
Thrombosis	Тромбоз	covid_dict
Thymus	Тимус	covid_dict
Thyroid	Тироид, щитовидная железа	covid_dict
Tinnitus	Шум в ушах	covid_dict
Tissue	Ткань	covid_dict
Tissue culture	Культура ткани	covid_dict
Titer	Титр	covid_dict
Tomography	Томография	covid_dict
Topical	Локальный, топический, наружный, для местного применения	covid_dict
Torovirus	Торовирус	covid_dict
Toxic	Токсичный, токсический	covid_dict
Toxicity	Токсичность	covid_dict
Toxicology	Токсикология	covid_dict
Toxin	Токсин	covid_dict
Transcriptase	Транскриптаза	covid_dict
Transduction	Трансдукция	covid_dict
Transfection	Трансфекция	covid_dict
Transfer factor	Фактор переноса	covid_dict
Transferases	Трансферазы	covid_dict
Transfusion	Переливание	covid_dict
Translation	Трансляция	covid_dict
Translational	Трансляционный	covid_dict
Transmitter	Медиатор	covid_dict
Transplantation	Трансплантация	covid_dict
Tropism	Тропизм	covid_dict
Trypsin	Трипсин	covid_dict
Tunica	Плева, оболочка	covid_dict
Tyrosine	Тирозин, тир	covid_dict
Ulcer	Язва	covid_dict
Urea	Мочевина	covid_dict
Ureters	Мочеточники	covid_dict
Urethra	Уретра	covid_dict
Urinary	Мочевой	covid_dict
Urinary tract	Инфекция мочевыводящих путей	covid_dict
Urine	Моча	covid_dict
Uterus	Матка	covid_dict
Vaccination	Иммунизация, вакцинация	covid_dict
Vaccine	Вакцина	covid_dict
Vaccinia	Осповакцина, вакциния	covid_dict
Vaccinia virus	Вирус осповакцины	covid_dict
Vacuoles	Вакуоли	covid_dict
Variola	Натуральная оспа, вариола	covid_dict
Vascular	Сосудистый	covid_dict
Vasodilators	Вазодилататоры	covid_dict
Vector	Переносчик	covid_dict
Vein	Вена	covid_dict
Venous	Венозный	covid_dict
Ventilation	Вентиляция	covid_dict
Ventricles	Желудочки	covid_dict
Vero cells	Клетки Веро	covid_dict
Vertebrae	Позвоночник	covid_dict
Vertigo	Вертиго	covid_dict
Vesicular	Пузырьковидный	covid_dict
Veterinary medicine	Ветеринария	covid_dict
Vial	Флакон	covid_dict
Villi	Ворсинка	covid_dict
Viral	Вирусный	covid_dict
Viral core proteins	Вирусные ядерные белки	covid_dict
Viral hepatitis	Вирусный гепатит	covid_dict
Viral load	Вирусная нагрузка	covid_dict
Viral proteins	Вирусные белки	covid_dict
Viral regulatory proteins	Вирусные регуляторные белки	covid_dict
Viral structural proteins	Вирусные структурные белки	covid_dict
Viremia	Виремия	covid_dict
Virion	Вирион	covid_dict
Virulence	Вирулентность	covid_dict
Virulent	Вирулентный	covid_dict
Virus	Вирус	covid_dict
Virus diseases	Вирусные заболевания	covid_dict
Virus replication	Репликация вируса	covid_dict
War	Военный конфликт, война	covid_dict
White blood cells	Белые кровяные тельца, лейкоциты	covid_dict
X-ray	Рентген, рентгеновский снимок	covid_dict
X-ray therapy	Рентгенотерапия, лучевая терапия	covid_dict
Xenograft	Ксенографт	covid_dict
Yeasts	Дрожжевые грибки, дрожжи	covid_dict
Zymogen	Зимогенность	covid_dict
